
DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1770412818167838208,0.972393,-0.006408,0.005737,-0.233190,1
1770412818267824128,0.972395,-0.006415,0.005735,-0.233184,1
1770412818367858432,0.972395,-0.006418,0.005735,-0.233183,1
1770412818467826432,0.972396,-0.006433,0.005747,-0.233179,1
1770412818567825152,0.972394,-0.006437,0.005754,-0.233187,1
1770412818667899392,0.972394,-0.006422,0.005754,-0.233187,1
1770412818767871488,0.972393,-0.006439,0.005745,-0.233188,1
1770412818867828480,0.972393,-0.006438,0.005742,-0.233188,1
1770412818967882752,0.972391,-0.006442,0.005740,-0.233196,1
1770412819067890176,0.972391,-0.006450,0.005738,-0.233199,1
1770412819167844096,0.972390,-0.006437,0.005738,-0.233203,1
1770412819267880192,0.972390,-0.006437,0.005743,-0.233203,1
1770412819367849216,0.972387,-0.006434,0.005751,-0.233214,1
1770412819467832576,0.972387,-0.006425,0.005759,-0.233213,1
1770412819567872512,0.972387,-0.006434,0.005764,-0.233213,1
1770412819667852032,0.972387,-0.006441,0.005761,-0.233216,1
1770412819767805440,0.972386,-0.006455,0.005754,-0.233218,1
1770412819867842816,0.972385,-0.006456,0.005747,-0.233221,1
1770412819967812352,0.972386,-0.006456,0.005751,-0.233219,1
1770412820067761664,0.972385,-0.006457,0.005752,-0.233223,1
1770412820167814144,0.972384,-0.006453,0.005752,-0.233227,1
1770412820267800832,0.972382,-0.006468,0.005740,-0.233234,1
1770412820367763968,0.972383,-0.006459,0.005740,-0.233233,1
1770412820467804416,0.972382,-0.006441,0.005730,-0.233236,1
1770412820567777792,0.972381,-0.006421,0.005728,-0.233241,1
1770412820667758080,0.972381,-0.006405,0.005725,-0.233240,1
1770412820767843840,0.972379,-0.006408,0.005726,-0.233247,1
1770412820867835392,0.972378,-0.006407,0.005717,-0.233252,1
1770412820967793152,0.972377,-0.006396,0.005730,-0.233259,1
1770412821067860992,0.972374,-0.006401,0.005729,-0.233269,1
1770412821167888384,0.972376,-0.006401,0.005737,-0.233262,1
1770412821267844352,0.972376,-0.006399,0.005749,-0.233260,1
1770412821367882752,0.972375,-0.006400,0.005748,-0.233264,1
1770412821467865856,0.972376,-0.006402,0.005753,-0.233262,1
1770412821567832832,0.972375,-0.006416,0.005739,-0.233264,1
1770412821667914496,0.972374,-0.006418,0.005736,-0.233269,1
1770412821767886592,0.972374,-0.006427,0.005732,-0.233269,1
1770412821867846912,0.972373,-0.006415,0.005731,-0.233275,1
1770412821967885312,0.972372,-0.006416,0.005728,-0.233279,1
1770412822067864576,0.972372,-0.006421,0.005726,-0.233280,1
1770412822167823616,0.972375,-0.006077,0.005633,-0.233277,1
1770412822267869440,0.972373,-0.006632,0.005775,-0.233269,1
1770412822367835392,0.972373,-0.006487,0.005741,-0.233272,1
1770412822467786752,0.972374,-0.006468,0.005743,-0.233269,1
1770412822567841024,0.972384,-0.004417,0.005170,-0.233287,1
1770412822667847168,0.972376,-0.005901,0.005594,-0.233277,1
1770412822767799040,0.972376,-0.005856,0.005580,-0.233278,1
1770412822867867904,0.972385,-0.003984,0.005027,-0.233295,1
1770412822967879680,0.967856,-0.002544,0.004473,-0.251453,1
1770412823067875584,0.941276,-0.002141,0.003769,-0.337610,1
1770412823167925504,0.916572,-0.002301,0.003421,-0.399849,1
1770412823267907840,0.880404,-0.002824,0.003178,-0.474205,1
1770412823367858176,0.851283,-0.002912,0.002794,-0.524692,1
1770412823467893248,0.825215,-0.003187,0.002701,-0.564803,1
1770412823567862016,0.798445,-0.003463,0.002572,-0.602053,1
1770412823667815680,0.768613,-0.003677,0.002292,-0.639700,1
1770412823767857152,0.737033,-0.003908,0.002162,-0.675843,1
1770412823867838976,0.704061,-0.004142,0.001935,-0.710125,1
1770412823967799296,0.659807,-0.004340,0.001626,-0.751421,1
1770412824067875328,0.612778,-0.003175,-0.002206,-0.790246,1
1770412824167843584,0.586724,-0.004406,0.000784,-0.809775,1
1770412824267803136,0.570587,-0.004739,0.001396,-0.821222,1
1770412824367850240,0.539137,-0.004788,0.001188,-0.842204,1
1770412824467822848,0.517488,-0.004763,0.000967,-0.855676,1
1770412824567787776,0.485186,-0.004872,0.001084,-0.874397,1
1770412824667828992,0.478127,-0.004856,0.001180,-0.878277,1
1770412824767795968,0.471890,-0.004870,0.001307,-0.881643,1
