timestamp,q0,qx,qy,qz
1770837203793160704,0.999661,-0.006647,0.004095,0.024837,1
1770837203892972288,0.999662,-0.006279,0.004085,0.024878,1
1770837203992862208,0.999661,-0.006362,0.004093,0.024915,1
1770837204092619776,0.999661,-0.006189,0.004092,0.024947,1
1770837204192272128,0.999663,-0.005736,0.004088,0.024980,1
1770837204292135680,0.999663,-0.005646,0.004079,0.025014,1
1770837204392001280,0.999662,-0.005713,0.004083,0.025042,1
1770837204491690752,0.999663,-0.005400,0.004089,0.025067,1
1770837204591324416,0.999664,-0.005084,0.004083,0.025083,1
1770837204691194112,0.999664,-0.005116,0.004071,0.025100,1
1770837204791065344,0.999663,-0.005278,0.004081,0.025107,1
1770837204890934272,0.999660,-0.005590,0.004064,0.025125,1
1770837204990729216,0.999658,-0.005871,0.004078,0.025138,1
1770837205090354432,0.999658,-0.005935,0.004067,0.025157,1
1770837205190273024,0.999658,-0.005819,0.004069,0.025161,1
1770837205289966080,0.999659,-0.005697,0.004057,0.025167,1
1770837205389611008,0.999659,-0.005600,0.004065,0.025172,1
1770837205489498368,0.999659,-0.005552,0.004071,0.025173,1
1770837205589387520,0.999659,-0.005640,0.004074,0.025179,1
1770837205689277184,0.999658,-0.005752,0.004061,0.025185,1
1770837205789167872,0.999658,-0.005773,0.004054,0.025189,1
1770837205889056768,0.999658,-0.005770,0.004058,0.025200,1
1770837205988945152,0.999657,-0.005817,0.004062,0.025203,1
1770837206088836608,0.999656,-0.005953,0.004061,0.025206,1
1770837206188731136,0.999657,-0.005830,0.004059,0.025215,1
1770837206288625408,0.999657,-0.005846,0.004075,0.025219,1
1770837206388527104,0.999656,-0.005890,0.004085,0.025222,1
1770837206488431872,0.999656,-0.005891,0.004082,0.025219,1
1770837206588325376,0.999656,-0.005925,0.004073,0.025225,1
1770837206688223488,0.999655,-0.006088,0.004077,0.025221,1
1770837206788121856,0.999655,-0.006113,0.004072,0.025215,1
1770837206888018432,0.999656,-0.006032,0.004060,0.025218,1
1770837206987708928,0.999656,-0.005997,0.004050,0.025214,1
1770837207087410688,0.999656,-0.005940,0.004040,0.025212,1
1770837207187066880,0.999657,-0.005870,0.004032,0.025212,1
1770837207286817024,0.999657,-0.005840,0.004022,0.025201,1
1770837207386499840,0.999657,-0.005838,0.004016,0.025196,1
1770837207486168320,0.999657,-0.005935,0.004025,0.025196,1
1770837207585923840,0.999657,-0.005930,0.004020,0.025202,1
1770837207685613568,0.999656,-0.005982,0.004029,0.025196,1
1770837207785295104,0.999657,-0.005990,0.004022,0.025191,1
1770837207885065728,0.999657,-0.005960,0.004006,0.025187,1
1770837207984767744,0.999657,-0.006047,0.004002,0.025183,1
1770837208084462080,0.999657,-0.006041,0.004009,0.025178,1
1770837208184239616,0.999657,-0.006046,0.004021,0.025166,1
1770837208283949824,0.999657,-0.006025,0.004014,0.025163,1
1770837208383652352,0.999658,-0.005929,0.004011,0.025156,1
1770837208483437568,0.999659,-0.005861,0.004004,0.025148,1
1770837208583154432,0.999658,-0.005939,0.004009,0.025145,1
1770837208682863616,0.999659,-0.005852,0.004005,0.025135,1
1770837208782655488,0.999659,-0.005814,0.004005,0.025128,1
1770837208882379776,0.999659,-0.005863,0.004005,0.025125,1
1770837208982095872,0.999660,-0.005754,0.004006,0.025111,1
1770837209081799168,0.999661,-0.005678,0.003999,0.025107,1
1770837210057179392,0.999658,-0.006315,0.003993,0.025042,1
1770837210156915968,0.999659,-0.006339,0.003995,0.025031,1
1770837210256643584,0.999659,-0.006307,0.003989,0.025022,1
1770837210356454400,0.999657,-0.006617,0.004009,0.025012,1
1770837210456198656,0.999658,-0.006557,0.004002,0.024998,1
1770837210555932928,0.999658,-0.006523,0.004004,0.024988,1
1770837210655752192,0.999659,-0.006461,0.004014,0.024979,1
1770837210755506432,0.999661,-0.006203,0.004010,0.024978,1
1770837210855246336,0.999661,-0.006177,0.004011,0.024966,1
1770837210955072512,0.999660,-0.006324,0.004008,0.024959,1
1770837211054833664,0.999662,-0.006144,0.004011,0.024951,1
1770837211154579712,0.999663,-0.006014,0.004015,0.024943,1
1770837211254412032,0.999664,-0.005889,0.004010,0.024939,1
1770837211354178560,0.999664,-0.005760,0.004004,0.024936,1
1770837211453931520,0.999664,-0.005801,0.004010,0.024926,1
1770837211553768192,0.999663,-0.006085,0.004002,0.024919,1
1770837211653541376,0.999663,-0.006045,0.003998,0.024916,1
1770837211753304320,0.999664,-0.005994,0.003998,0.024906,1
1770837211853156608,0.999664,-0.006055,0.003989,0.024904,1
1770837211952941824,0.999663,-0.006171,0.003993,0.024905,1
1770837212052734720,0.999665,-0.005928,0.003981,0.024896,1
1770837212152598016,0.999665,-0.005962,0.003978,0.024885,1
1770837212252403200,0.999664,-0.006060,0.003982,0.024870,1
1770837212352186368,0.999664,-0.006115,0.003980,0.024871,1
1770837212452059904,0.999664,-0.006057,0.003972,0.024869,1
1770837212551864320,0.999665,-0.006089,0.003969,0.024858,1
1770837212651677952,0.999665,-0.006110,0.003976,0.024849,1
1770837212751557888,0.999666,-0.005906,0.003972,0.024840,1
1770837212851388928,0.999666,-0.005961,0.003980,0.024824,1
1770837212951195904,0.999666,-0.005984,0.003975,0.024825,1
1770837213051151360,0.999666,-0.005941,0.003972,0.024825,1
1770837213150992128,0.999666,-0.005936,0.003968,0.024825,1
1770837213250814720,0.999667,-0.005885,0.003965,0.024822,1
1770837213350771200,0.999668,-0.005754,0.003967,0.024815,1
1770837213450656256,0.999667,-0.005859,0.003973,0.024808,1
1770837213550465280,0.999667,-0.005885,0.003973,0.024801,1
1770837213650341120,0.999668,-0.005874,0.003963,0.024792,1
1770837213750151168,0.999668,-0.005846,0.003958,0.024788,1
1770837213849956096,0.999668,-0.005892,0.003954,0.024781,1
1770837213949840640,0.999668,-0.005909,0.003957,0.024766,1
1770837214049651456,0.999669,-0.005815,0.003957,0.024763,1
1770837214149469440,0.999670,-0.005664,0.003945,0.024747,1
1770837214249356032,0.999669,-0.005869,0.003950,0.024745,1
1770837214349168384,0.999669,-0.005916,0.003953,0.024738,1
1770837214448977152,0.999670,-0.005809,0.003960,0.024727,1
1770837214548875776,0.999665,-0.006601,0.003965,0.024724,1
1770837214648702976,0.999662,-0.007089,0.003959,0.024716,1
1770837214748510720,0.999655,-0.008004,0.003959,0.024714,1
1770837214848405248,0.999669,-0.005937,0.003943,0.024702,1
1770837214948235008,0.999682,-0.003150,0.003893,0.024702,1
1770837215048047104,0.999684,-0.002761,0.003839,0.024705,1
1770837215147947776,0.999683,-0.002770,0.003855,0.024717,1
1770837215247803904,0.999684,-0.002871,0.003882,0.024659,1
1770837215347686400,0.999685,-0.002810,0.003867,0.024639,1
1770837215447605504,0.999686,-0.002746,0.003865,0.024623,1
1770837215547456768,0.999686,-0.002758,0.003876,0.024603,1
1770837215647296000,0.999687,-0.002779,0.003870,0.024567,1
1770837215747248384,0.999688,-0.002780,0.003857,0.024538,1
1770837215847111168,0.999688,-0.002801,0.003853,0.024508,1
1770837215946971904,0.999689,-0.002820,0.003861,0.024477,1
1770837216046954496,0.999690,-0.002796,0.003856,0.024440,1
1770837216146819328,0.999691,-0.002799,0.003858,0.024408,1
1770837216246659072,0.999692,-0.002781,0.003856,0.024371,1
1770837216346624512,0.999693,-0.002763,0.003860,0.024330,1
1770837216446490624,0.999694,-0.002737,0.003849,0.024297,1
1770837216546354688,0.999695,-0.002725,0.003838,0.024254,1
1770837216646274816,0.999696,-0.002726,0.003838,0.024208,1
1770837216746123264,0.999697,-0.002713,0.003835,0.024172,1
1770837216845971200,0.999698,-0.002721,0.003827,0.024128,1
1770837216945894912,0.999699,-0.002728,0.003842,0.024091,1
1770837217045749248,0.999700,-0.002722,0.003848,0.024052,1
1770837217145609472,0.999700,-0.002727,0.003846,0.024014,1
1770837217245532928,0.999702,-0.002727,0.003846,0.023971,1
1770837217345397248,0.999702,-0.002733,0.003855,0.023938,1
1770837217445253376,0.999703,-0.002724,0.003850,0.023892,1
1770837217545180160,0.999704,-0.002726,0.003848,0.023849,1
1770837217645036288,0.999705,-0.002731,0.003864,0.023812,1
1770837217744883456,0.999706,-0.002733,0.003860,0.023772,1
1770837217844812032,0.999707,-0.002778,0.003868,0.023740,1
1770837217944676352,0.999707,-0.002970,0.003906,0.023685,1
1770837218044542976,0.999670,-0.009490,0.003957,0.023539,1
1770837218144476160,0.999534,-0.018254,0.003511,0.024196,1
1770837218244337920,0.999315,-0.025693,0.003473,0.026394,1
1770837218344196352,0.999185,-0.030876,0.003484,0.025753,1
1770837218444130560,0.999157,-0.035784,0.003636,0.019801,1
1770837218543996672,0.999138,-0.039440,0.003941,0.012329,1
1770837218643857152,0.999358,-0.034660,0.004022,0.008122,1
1770837218743798784,0.999982,-0.002449,0.003714,0.004040,1
1770837218843675136,0.999977,-0.002653,0.003819,0.004971,1
1770837218943533824,0.999955,-0.007724,0.004076,0.003830,1
1770837219043482368,0.999006,-0.041646,0.003940,0.015376,1
1770837219143358976,0.998723,-0.042445,0.003475,0.027197,1
1770837219243218944,0.998908,-0.028910,0.003400,0.036539,1
1770837219343164928,0.999909,-0.002943,0.003995,0.012533,1
1770837219443044864,0.999929,-0.003009,0.003887,-0.010863,1
1770837219542907648,0.999984,-0.003006,0.003916,-0.002893,1
1770837219642854144,0.999637,-0.002884,0.004079,0.026471,1
1770837219742734592,0.999624,-0.002828,0.004073,0.026977,1
1770837219842607616,0.999625,-0.002805,0.004066,0.026929,1
1770837219942572544,0.999603,-0.002824,0.004093,0.027721,1
1770837220042493952,0.999605,-0.002809,0.004088,0.027648,1
1770837220142372352,0.999607,-0.002832,0.004088,0.027580,1
1770837220242331136,0.999651,-0.003023,0.004076,0.025923,1
1770837220342217984,0.999655,-0.002907,0.004084,0.025801,1
1770837220442102528,0.999656,-0.002865,0.004078,0.025757,1
1770837220542062848,0.999657,-0.002838,0.004069,0.025699,1
1770837220641985024,0.999887,-0.002801,0.003975,0.014229,1
1770837220741867008,0.999971,-0.002815,0.003922,0.005957,1
1770837220841828352,0.999988,-0.002849,0.003883,0.001245,1
1770837220941750272,0.999968,-0.002916,0.003878,-0.006307,1
1770837221041639424,0.999967,-0.002934,0.003872,-0.006530,1
1770837221141602048,0.999986,-0.002955,0.003898,-0.002254,1
1770837221241493760,0.999988,-0.002935,0.003903,-0.000508,1
1770837221341380864,0.999988,-0.002934,0.003905,-0.000349,1
1770837221441354496,0.999988,-0.002946,0.003915,-0.000349,1
1770837221541251328,0.999988,-0.002944,0.003913,-0.000426,1
1770837221641139200,0.999988,-0.002948,0.003916,-0.000520,1
1770837221741107712,0.999988,-0.002953,0.003927,-0.000627,1
1770837221841008384,0.999988,-0.002956,0.003925,-0.000744,1
1770837221940894720,0.999988,-0.002948,0.003921,-0.000874,1
1770837222040861440,0.999987,-0.002959,0.003931,-0.001010,1
1770837222140771840,0.999987,-0.002958,0.003932,-0.001178,1
1770837222240659968,0.999987,-0.002967,0.003928,-0.001352,1
1770837222340629248,0.999987,-0.002964,0.003931,-0.001533,1
1770837222440530688,0.999986,-0.002959,0.003918,-0.001736,1
1770837222540423424,0.999986,-0.002958,0.003913,-0.001958,1
1770837222640396800,0.999986,-0.002958,0.003912,-0.002192,1
1770837222740298752,0.999985,-0.002960,0.003922,-0.002441,1
1770837222840206336,0.999984,-0.002976,0.003921,-0.002705,1
1770837222940181504,0.999983,-0.002971,0.003923,-0.002990,1
1770837223040093184,0.999982,-0.002975,0.003925,-0.003284,1
1770837223139987456,0.999981,-0.002986,0.003929,-0.003604,1
1770837223239972096,0.999980,-0.002958,0.003943,-0.003930,1
1770837223339884544,0.999979,-0.002956,0.003942,-0.004271,1
1770837223439795968,0.999977,-0.002951,0.003936,-0.004620,1
1770837223539773696,0.999976,-0.002962,0.003926,-0.004970,1
1770837223639685376,0.999974,-0.002977,0.003931,-0.005340,1
1770837223739585536,0.999972,-0.002954,0.003927,-0.005658,1
1770837223839570432,0.999970,-0.002968,0.003937,-0.005952,1
1770837223939483648,0.999968,-0.002970,0.003938,-0.006288,1
1770837224039382528,0.999966,-0.003022,0.003942,-0.006626,1
1770837224139364096,0.999964,-0.003050,0.003944,-0.006915,1
1770837224239310592,0.999972,-0.003468,0.004014,-0.005185,1
1770837224339306240,0.999972,-0.003832,0.004042,-0.005010,1
1770837224439219968,0.999970,-0.003825,0.004051,-0.005296,1
1770837224539125504,0.999969,-0.003833,0.004058,-0.005538,1
1770837224639115520,0.999968,-0.003842,0.004063,-0.005751,1
