FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,02/11/26 22:43:09.093996544
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,10Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,10Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1770849789093996544,0.997938,0.005579,0.000121,0.063947,1
1770849789193972992,0.997960,0.004805,0.000439,0.063666,1
1770849789294030080,0.997993,0.003957,0.000697,0.063200,1
1770849789394016768,0.998096,0.003909,0.000697,0.061556,1
1770849789493991680,0.998123,0.003799,0.000702,0.061118,1
1770849789594049024,0.998152,0.003509,0.000698,0.060668,1
1770849789694034432,0.998181,0.003268,0.000687,0.060199,1
1770849789794011392,0.998214,0.002988,0.000657,0.059658,1
1770849789894067200,0.998181,0.003583,0.000660,0.060175,1
1770849789994052352,0.998684,0.003230,0.000695,0.051187,1
1770849790094026240,0.999386,0.002016,0.000693,0.034975,1
1770849790194081024,0.999726,-0.000557,0.000623,0.023378,1
1770849790394021888,0.999587,0.001957,0.000570,0.028658,1
1770849790494075648,0.999653,-0.000571,0.000496,0.026344,1
1770849790594059776,0.999834,-0.000579,0.000470,0.018200,1
1770849790694035456,0.999843,-0.001877,0.000495,0.017585,1
1770849790794088448,0.999855,-0.001146,0.000484,0.016969,1
1770849790894070528,0.999865,-0.001532,0.000482,0.016373,1
1770849790994044928,0.999918,-0.001694,0.000438,0.012718,1
1770849791094097920,0.999967,-0.000176,0.000389,0.008155,1
1770849791194081024,0.999959,0.000703,0.000199,-0.008994,1
1770849791294054144,0.999564,-0.000334,0.000245,-0.029527,1
1770849791394106880,0.998690,-0.002310,0.000391,-0.051110,1
1770849791494088448,0.997415,-0.002383,0.000485,-0.071816,1
1770849791594060032,0.996478,0.002927,0.000161,-0.083800,1
1770849791993847040,0.998065,0.005296,-0.000964,-0.061938,1
1770849792093784576,0.996702,0.004599,-0.000767,-0.081019,1
1770849792193839360,0.995689,0.004584,-0.001015,-0.092636,1
1770849792293827584,0.994967,0.004585,-0.001068,-0.100089,1
1770849792393800192,0.995218,0.004081,-0.001327,-0.097587,1
1770849792493857024,0.995589,0.004170,-0.001354,-0.093716,1
1770849792593842432,0.996661,0.004067,-0.001651,-0.081530,1
1770849792693812992,0.997850,0.004069,-0.001492,-0.065394,1
1770849792793868544,0.998740,0.004121,-0.001347,-0.049987,1
1770849792893854464,0.999384,0.004038,-0.001218,-0.034852,1
1770849792993823488,0.999747,0.004887,-0.001600,-0.021895,1
1770849793093877248,0.999910,0.004859,-0.001487,-0.012383,1
1770849793193864192,0.999971,0.004974,-0.001487,-0.005584,1
1770849793293832704,0.999985,0.005118,-0.001343,-0.001116,1
1770849793393888256,0.999978,0.005135,-0.001188,0.004002,1
1770849793493876992,0.999943,0.005130,-0.001072,0.009335,1
1770849793593853952,0.999906,0.005208,-0.001021,0.012661,1
1770849793693912576,0.999809,0.005222,-0.000961,0.018815,1
1770849793793901056,0.999711,0.005191,-0.000889,0.023450,1
1770849793893880320,0.999588,0.005094,-0.000802,0.028251,1
1770849793993886976,0.999511,0.005011,-0.000816,0.030849,1
1770849794493691904,0.999996,0.002292,-0.001227,-0.001352,1
1770849794593681664,0.999979,0.002200,-0.001448,0.005838,1
1770849794693659648,0.999979,0.002039,-0.001450,0.006035,1
1770849794793717504,0.999972,0.001468,-0.001276,0.007202,1
1770849794893705472,0.999906,0.001571,-0.001262,0.013538,1
1770849794993682176,0.999871,0.001681,-0.001222,0.015931,1
1770849795093739776,0.999861,0.001770,-0.001147,0.016530,1
1770849795193726464,0.999923,0.002305,-0.001430,0.012070,1
1770849795293701888,0.999982,0.002328,-0.001360,0.005277,1
1770849795393758976,0.999930,0.002329,-0.001648,-0.011468,1
1770849795493746176,0.999719,0.003785,-0.002177,-0.023293,1
1770849795693753088,0.997761,0.005924,-0.002140,-0.066577,1
1770849795793739520,0.998125,0.006609,-0.001879,-0.060826,1
1770849795893717248,0.998669,0.007241,-0.001962,-0.051025,1
1770849795993774592,0.998016,0.006698,-0.001850,-0.062583,1
1770849796093758208,0.997493,0.006344,-0.001669,-0.070459,1
1770849796193731072,0.997171,0.005682,-0.002242,-0.074914,1
1770849796293785600,0.996858,0.005136,-0.001977,-0.079019,1
1770849796393768192,0.997141,0.004418,-0.002368,-0.075391,1
1770849796493741824,0.997608,0.004136,-0.002113,-0.068964,1
1770849796593797888,0.998164,0.003726,-0.002074,-0.060422,1
1770849796693794560,0.998678,0.003527,-0.001828,-0.051245,1
1770849796793773568,0.999073,0.003379,-0.001685,-0.042882,1
1770849796893839360,0.999389,0.003258,-0.001486,-0.034753,1
1770849796993834496,0.999610,0.003171,-0.001346,-0.027709,1
1770849797093810432,0.999871,0.003066,-0.001198,-0.015734,1
1770849797193864448,0.999987,0.002960,-0.001063,0.003969,1
1770849797293850112,0.999925,0.002857,-0.000920,0.011841,1
1770849797393821184,0.999481,0.002732,-0.000873,0.032093,1
1770849797493874944,0.998505,0.002713,-0.000802,0.054579,1
1770849797593859840,0.998170,0.002713,-0.000706,0.060404,1
1770849797693829888,0.997917,0.002712,-0.000618,0.064456,1
1770849797793881856,0.997676,0.002601,-0.000554,0.068092,1
1770849797893868288,0.997663,0.002206,-0.000483,0.068289,1
1770849797993840128,0.999324,0.004366,-0.000965,0.036484,1
1770849798093898240,0.999654,0.003099,-0.000276,0.026126,1
1770849798193886208,0.999579,0.002929,-0.000165,0.028856,1
1770849798293864448,0.999502,0.000634,-0.000108,0.031539,1
1770849798393922560,0.999421,-0.003535,-0.000115,0.033849,1
1770849798493909504,0.999388,-0.000701,-0.000019,0.034976,1
1770849798593885952,0.999457,0.003062,0.000028,0.032816,1
1770849798693942528,0.999410,0.003059,0.000062,0.034219,1
1770849798793928704,0.999372,0.003064,0.000082,0.035316,1
1770849798893905664,0.999335,0.003110,0.000110,0.036317,1
1770849798993962240,0.999307,0.003117,0.000123,0.037082,1
1770849799093947648,0.999281,0.003143,0.000140,0.037773,1
1770849799193923328,0.999261,0.003146,0.000154,0.038299,1
1770849799293980672,0.999243,0.003135,0.000166,0.038777,1
1770849799393964288,0.999229,0.003152,0.000172,0.039122,1
1770849799493938432,0.999219,0.002490,0.000187,0.039434,1
1770849799593993728,0.999209,0.003210,0.000210,0.039637,1
1770849799693977600,0.999202,0.003243,0.000214,0.039815,1
1770849799893915136,0.999193,0.003284,0.000230,0.040033,1
1770849799993889280,0.999193,0.003118,0.000247,0.040053,1
1770849800093942272,0.999195,0.002220,0.000240,0.040056,1
1770849800193894400,0.999197,0.002383,0.000250,0.040000,1
1770849804393971712,0.893951,-0.418425,-0.073146,0.142903,1
1770849804493955840,0.893581,-0.418544,-0.073885,0.144482,1
1770849804593928704,0.895617,-0.413745,-0.075648,0.144781,1
1770849804693981952,0.897330,-0.407028,-0.075188,0.153210,1
1770849804793964800,0.901636,-0.390390,-0.077208,0.169373,1
1770849804893937408,0.905848,-0.378059,-0.073030,0.176573,1
1770849804993989888,0.908876,-0.368315,-0.069800,0.182802,1
1770849805093972480,0.909371,-0.360785,-0.068621,0.195371,1
1770849805193943296,0.910042,-0.346551,-0.075543,0.214520,1
1770849805293995264,0.911003,-0.326692,-0.085775,0.236621,1
1770849805393978880,0.912745,-0.304109,-0.094188,0.256014,1
1770849805493949696,0.916024,-0.297229,-0.086312,0.255156,1
1770849805594000896,0.920156,-0.288686,-0.079498,0.252297,1
1770849805693980928,0.922057,-0.286448,-0.069538,0.250845,1
1770849805793952256,0.922800,-0.282873,-0.061139,0.254332,1
1770849805894005504,0.922141,-0.282590,-0.061316,0.256980,1
1770849805993991424,0.922306,-0.279964,-0.060359,0.259478,1
1770849806093964544,0.922417,-0.277154,-0.060016,0.262166,1
1770849806194016768,0.920756,-0.277130,-0.061423,0.267645,1
1770849806294000896,0.918208,-0.279459,-0.062827,0.273587,1
1770849806393970688,0.913601,-0.287061,-0.062927,0.281014,1
1770849806494022400,0.908348,-0.297270,-0.062930,0.287358,1
1770849806594009856,0.905287,-0.302088,-0.071153,0.290061,1
1770849806693978624,0.903285,-0.303249,-0.069995,0.295325,1
1770849806794029312,0.900783,-0.307194,-0.071304,0.298560,1
1770849806894014464,0.899080,-0.307438,-0.073388,0.302907,1
1770849806993981440,0.897807,-0.309254,-0.072372,0.305070,1
1770849807094032896,0.897290,-0.309121,-0.069914,0.307290,1
1770849807194015744,0.895946,-0.309427,-0.070401,0.310772,1
1770849807293984000,0.895180,-0.309171,-0.071124,0.313061,1
1770849807394042624,0.895561,-0.308600,-0.066862,0.313474,1
1770849807494034432,0.895914,-0.307265,-0.063492,0.314477,1
1770849807594008832,0.895910,-0.305053,-0.062226,0.316884,1
1770849807694065152,0.896206,-0.302996,-0.061012,0.318256,1
1770849807794051584,0.896286,-0.300915,-0.058430,0.320481,1
1770849807894025984,0.897280,-0.295432,-0.054588,0.323465,1
1770849807994082304,0.898712,-0.289113,-0.050433,0.325864,1
1770849808094066432,0.898866,-0.285411,-0.053572,0.328193,1
1770849808194040576,0.898771,-0.288405,-0.047684,0.326741,1
1770849808294096896,0.900489,-0.284208,-0.042437,0.326411,1
1770849808394082048,0.903065,-0.278050,-0.036155,0.325353,1
1770849808494054912,0.904094,-0.268584,-0.031725,0.330862,1
1770849808594109440,0.905443,-0.262674,-0.034795,0.331610,1
1770849808694093056,0.911433,-0.253878,-0.026559,0.322693,1
1770849808794065408,0.912352,-0.242540,-0.029166,0.328539,1
1770849808894118656,0.908946,-0.254455,-0.030301,0.328863,1
1770849808994102272,0.908773,-0.259257,-0.025399,0.325994,1
1770849809094073600,0.909600,-0.259561,-0.021305,0.323733,1
1770849809194125824,0.909319,-0.260618,-0.016177,0.323969,1
1770849809294107136,0.907448,-0.263678,-0.010062,0.326972,1
1770849809394079232,0.907920,-0.263687,-0.007530,0.325721,1
1770849809494130432,0.907353,-0.264791,-0.007174,0.326412,1
1770849809594111232,0.907421,-0.264236,-0.004412,0.326723,1
1770849809694081792,0.908056,-0.260459,-0.002325,0.328008,1
1770849809794131200,0.909061,-0.257454,-0.000006,0.327605,1
1770849809894109952,0.912516,-0.248226,0.009185,0.324982,1
1770849809994032640,0.911623,-0.253726,0.020055,0.322746,1
1770849810094027264,0.913828,-0.245612,0.019917,0.322794,1
1770849810593725440,0.918256,-0.212963,-0.004231,0.333820,1
1770849810693696768,0.918215,-0.213814,-0.003786,0.333392,1
1770849810793751808,0.919493,-0.210672,-0.000533,0.331888,1
1770849810893737472,0.919819,-0.203653,0.001552,0.335344,1
1770849810993709312,0.919197,-0.203883,0.001610,0.336906,1
1770849811093764864,0.918330,-0.193227,0.005345,0.345406,1
1770849811193751296,0.916828,-0.192744,0.012144,0.349469,1
1770849811293725952,0.915547,-0.196573,0.020556,0.350301,1
1770849811393780480,0.915772,-0.197760,0.022203,0.348942,1
1770849811493768192,0.915695,-0.195962,0.022536,0.350133,1
1770849811593736704,0.916532,-0.188809,0.028902,0.351404,1
1770849811693788672,0.915304,-0.192910,0.037408,0.351575,1
1770849811793773312,0.914865,-0.196666,0.040393,0.350304,1
1770849811893741056,0.915312,-0.174093,0.030242,0.361912,1
1770849811993796352,0.916800,-0.142177,0.015598,0.372855,1
1770849812093785856,0.918434,-0.096853,-0.002388,0.383526,1
1770849812193762816,0.926105,-0.068947,0.002121,0.370906,1
1770849812293820672,0.935162,-0.047527,0.016595,0.350625,1
1770849812393808384,0.941883,-0.037467,0.021463,0.333153,1
