FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,02/11/26 22:44:09.094118912
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,10Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,10Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
02/11/26 22:44:09.094118912,0.999717,0.000853,0.000166,0.023765,1
02/11/26 22:44:09.194092032,0.999717,0.000850,0.000164,0.023760,1
02/11/26 22:44:09.294147584,0.999717,0.000842,0.000168,0.023764,1
02/11/26 22:44:09.394142208,0.999717,0.000839,0.000169,0.023773,1
02/11/26 22:44:09.494114560,0.999717,0.000833,0.000170,0.023769,1
02/11/26 22:44:09.594164992,0.999717,0.000830,0.000176,0.023769,1
02/11/26 22:44:09.694144256,0.999717,0.000829,0.000179,0.023775,1
02/11/26 22:44:09.794116096,0.999717,0.000824,0.000188,0.023774,1
02/11/26 22:44:09.894169600,0.999717,0.000824,0.000178,0.023777,1
02/11/26 22:44:09.994151168,0.999717,0.000821,0.000175,0.023773,1
02/11/26 22:44:10.094121728,0.999717,0.000819,0.000185,0.023775,1
02/11/26 22:44:10.194173184,0.999717,0.000819,0.000192,0.023783,1
02/11/26 22:44:10.294154240,0.999717,0.000823,0.000192,0.023785,1
02/11/26 22:44:10.394123776,0.999717,0.000813,0.000190,0.023786,1
02/11/26 22:44:10.494173184,0.999717,0.000812,0.000196,0.023785,1
02/11/26 22:44:10.594153216,0.999717,0.000808,0.000189,0.023787,1
