ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
ED9C485C00000000,C1B0A601,3D8FC633,592D0000,12000000,4C000000,01870000,042F0000,C0DCFFFF,D15F0000,DBFEFFFF
539D485C00000000,BBB0A601,538FC633,592D0000,12000000,4C000000,00870000,162F0000,B3DCFFFF,E85F0000,DAFEFFFF
B99D485C00000000,1FA2A601,3BC8C633,592D0000,12000000,4C000000,00870000,2E000000,12000000,33000000,DAFEFFFF
1C9E485C00000000,19A2A601,51C8C633,592D0000,12000000,4C000000,00870000,41000000,05000000,4C000000,DAFEFFFF
7F9E485C00000000,14A2A601,66C8C633,592D0000,12000000,4C000000,00870000,53000000,F9FFFFFF,63000000,DAFEFFFF
E59E485C00000000,0EA2A601,7DC8C633,592D0000,12000000,4C000000,00870000,66000000,ECFFFFFF,7C000000,DAFEFFFF
479F485C00000000,08A2A601,92C8C633,592D0000,12000000,4C000000,FF860000,78000000,DFFFFFFF,93000000,D9FEFFFF
AE9F485C00000000,03A2A601,A7C8C633,592D0000,12000000,4C000000,00870000,8A000000,D2FFFFFF,AB000000,DAFEFFFF
11A0485C00000000,FDA1A601,BDC8C633,592D0000,12000000,4C000000,FF860000,9C000000,C5FFFFFF,C3000000,D9FEFFFF
74A0485C00000000,F8A1A601,D3C8C633,592D0000,12000000,4C000000,FF860000,AE000000,B8FFFFFF,DB000000,D9FEFFFF
DAA0485C00000000,F2A1A601,E8C8C633,592D0000,12000000,4C000000,FF860000,C0000000,ACFFFFFF,F2000000,D9FEFFFF
3DA1485C00000000,ECA1A601,FEC8C633,592D0000,12000000,4C000000,FF860000,D3000000,9EFFFFFF,0B010000,D9FEFFFF
A0A1485C00000000,E7A1A601,14C9C633,592D0000,12000000,4C000000,FF860000,E5000000,92FFFFFF,23010000,D9FEFFFF
03A2485C00000000,E1A1A601,2AC9C633,592D0000,12000000,4C000000,FE860000,F8000000,85FFFFFF,3B010000,D8FEFFFF
