Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1770928206472625500,0.996854,-0.000325,0.003732,-0.079170,1
1770928206572426496,0.996840,-0.000332,0.003741,-0.079346,1
1770928206672316928,0.996826,-0.000327,0.003745,-0.079526,1
1770928206772113920,0.996811,-0.000331,0.003744,-0.079706,1
1770928206871719424,0.996796,-0.000324,0.003746,-0.079896,1
1770928206971359488,0.996781,-0.000327,0.003749,-0.080085,1
1770928207071036160,0.996765,-0.000321,0.003747,-0.080282,1
1770928207170741248,0.996749,-0.000324,0.003744,-0.080477,1
1770928207270561792,0.996733,-0.000326,0.003745,-0.080679,1
1770928207370279168,0.996717,-0.000323,0.003749,-0.080880,1
1770928207470068224,0.996700,-0.000321,0.003743,-0.081081,1
1770928207569671936,0.996684,-0.000318,0.003742,-0.081288,1
1770928207669332992,0.996667,-0.000319,0.003737,-0.081495,1
1770928207768990720,0.996650,-0.000322,0.003745,-0.081704,1
1770928207868893440,0.996633,-0.000318,0.003751,-0.081904,1
1770928207968779008,0.996616,-0.000309,0.003763,-0.082113,1
1770928208068667904,0.996599,-0.000315,0.003768,-0.082316,1
1770928208168559872,0.996583,-0.000320,0.003773,-0.082511,1
1770928208268454144,0.996567,-0.000328,0.003765,-0.082705,1
1770928208368351488,0.996550,-0.000330,0.003766,-0.082905,1
1770928208468251136,0.996533,-0.000342,0.003775,-0.083109,1
1770928208568147456,0.996518,-0.000339,0.003770,-0.083295,1
1770928208668043776,0.996502,-0.000342,0.003781,-0.083483,1
1770928208767938304,0.996486,-0.000342,0.003788,-0.083668,1
1770928208867839744,0.996456,-0.000357,0.003801,-0.084030,1
1770928208967740928,0.996263,-0.001489,0.003912,-0.086267,1
1770928209067642880,0.997707,-0.002580,0.004003,-0.067519,1
1770928209167554560,0.999413,-0.003849,0.004021,-0.033803,1
1770928209267450880,0.999593,-0.000298,0.003797,-0.028261,1
1770928209367350272,0.999590,-0.000217,0.003783,-0.028390,1
1770928209467040512,0.999587,-0.000103,0.003776,-0.028496,1
1770928209566863872,0.999584,-0.000072,0.003763,-0.028579,1
1770928209666547712,0.999583,-0.000079,0.003771,-0.028643,1
1770928209766218496,0.999582,-0.000086,0.003775,-0.028665,1
1770928209865970944,0.999581,-0.000091,0.003778,-0.028686,1
1770928209965658624,0.999582,-0.000082,0.003789,-0.028663,1
1770928210065333248,0.999583,-0.000088,0.003795,-0.028637,1
1770928210165094656,0.999585,-0.000096,0.003801,-0.028559,1
1770928210264791552,0.999587,-0.000101,0.003809,-0.028479,1
1770928210364474112,0.999591,-0.000100,0.003811,-0.028340,1
1770928210464242176,0.999595,-0.000096,0.003815,-0.028200,1
1770928210563945472,0.999601,-0.000100,0.003823,-0.027990,1
1770928210663637248,0.999607,-0.000093,0.003827,-0.027782,1
1770928210763420160,0.999614,-0.000108,0.003828,-0.027499,1
1770928210863135232,0.999623,-0.000108,0.003822,-0.027195,1
1770928210962842624,0.999633,-0.000125,0.003818,-0.026815,1
1770928211062632960,0.999643,-0.000155,0.003822,-0.026432,1
1770928211162354944,0.999656,-0.000175,0.003810,-0.025964,1
1770928211262068992,0.999668,-0.000234,0.003817,-0.025472,1
1770928211361866496,0.999683,-0.000428,0.003829,-0.024886,1
1770928211461596672,0.999698,-0.000767,0.003835,-0.024282,1
1770928211561318144,0.999714,-0.000756,0.003835,-0.023582,1
1770928211661123328,0.999730,-0.000913,0.003836,-0.022883,1
1770928211760860160,0.999747,-0.000973,0.003835,-0.022129,1
1770928211860588288,0.999764,-0.001010,0.003833,-0.021360,1
1770928211960399872,0.999782,-0.001018,0.003843,-0.020519,1
1770928212060144384,0.999799,-0.001031,0.003847,-0.019673,1
1770928212159878400,0.999816,-0.001034,0.003836,-0.018774,1
1770928212259695616,0.999832,-0.001046,0.003842,-0.017873,1
1770928212359444992,0.999849,-0.001049,0.003843,-0.016927,1
1770928212459185920,0.999865,-0.001053,0.003852,-0.015965,1
1770928212559009280,0.999880,-0.001067,0.003851,-0.014994,1
1770928212658764544,0.999894,-0.001084,0.003865,-0.014018,1
1770928212758513152,0.999907,-0.001091,0.003874,-0.013067,1
