Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1772660159585605632,0.999718,0.004654,-0.000659,0.023260,1
1772660159595965952,0.999718,0.004658,-0.000660,0.023259,1
1772660159606227456,0.999718,0.004663,-0.000658,0.023258,1
1772660159616389888,0.999718,0.004668,-0.000659,0.023257,1
1772660159626455040,0.999718,0.004673,-0.000661,0.023256,1
1772660159636423424,0.999718,0.004680,-0.000660,0.023256,1
1772660159646296064,0.999718,0.004684,-0.000662,0.023256,1
1772660159656073216,0.999718,0.004687,-0.000659,0.023258,1
1772660159665755648,0.999718,0.004689,-0.000660,0.023258,1
1772660159675344896,0.999718,0.004695,-0.000664,0.023259,1
1772660159684840704,0.999718,0.004692,-0.000663,0.023257,1
1772660159694247168,0.999718,0.004691,-0.000661,0.023258,1
1772660159703564288,0.999718,0.004682,-0.000661,0.023259,1
1772660159714316288,0.999718,0.004679,-0.000660,0.023258,1
1772660159724964864,0.999718,0.004674,-0.000661,0.023258,1
1772660159735509504,0.999718,0.004674,-0.000663,0.023258,1
1772660159745952256,0.999718,0.004673,-0.000659,0.023260,1
1772660159756297216,0.999718,0.004671,-0.000656,0.023261,1
1772660159766541824,0.999718,0.004674,-0.000658,0.023262,1
1772660159776685056,0.999718,0.004676,-0.000660,0.023263,1
1772660159786732032,0.999718,0.004679,-0.000661,0.023264,1
1772660159796679168,0.999718,0.004678,-0.000659,0.023264,1
1772660159806529792,0.999718,0.004679,-0.000662,0.023264,1
1772660159816284416,0.999718,0.004682,-0.000660,0.023264,1
1772660159825945088,0.999718,0.004686,-0.000657,0.023261,1
1772660159835510016,0.999718,0.004686,-0.000656,0.023260,1
1772660159844981760,0.999718,0.004686,-0.000656,0.023260,1
1772660159854360320,0.999718,0.004685,-0.000658,0.023260,1
1772660159863800320,0.999718,0.004683,-0.000658,0.023260,1
1772660159874519808,0.999718,0.004682,-0.000659,0.023261,1
1772660159885134848,0.999718,0.004683,-0.000661,0.023261,1
1772660159895647744,0.999718,0.004680,-0.000659,0.023258,1
1772660159906058240,0.999718,0.004676,-0.000658,0.023259,1
1772660159916367360,0.999718,0.004670,-0.000656,0.023261,1
1772660159926575104,0.999718,0.004666,-0.000657,0.023262,1
1772660159936681984,0.999718,0.004661,-0.000652,0.023258,1
1772660159946688512,0.999718,0.004657,-0.000648,0.023260,1
1772660159956597760,0.999718,0.004655,-0.000647,0.023262,1
1772660159966408704,0.999718,0.004654,-0.000647,0.023260,1
1772660159976124160,0.999718,0.004649,-0.000647,0.023261,1
1772660159985743360,0.999718,0.004647,-0.000645,0.023263,1
1772660159995266560,0.999718,0.004645,-0.000643,0.023265,1
1772660160004696064,0.999718,0.004642,-0.000642,0.023265,1
1772660160014033152,0.999718,0.004637,-0.000642,0.023266,1
1772660160023896832,0.999718,0.004634,-0.000641,0.023265,1
1772660160034586880,0.999718,0.004637,-0.000642,0.023266,1
1772660160045174016,0.999718,0.004641,-0.000638,0.023266,1
1772660160055659520,0.999718,0.004642,-0.000641,0.023265,1
1772660160066042624,0.999718,0.004639,-0.000642,0.023264,1
1772660160076326400,0.999718,0.004640,-0.000640,0.023265,1
1772660160086510336,0.999718,0.004641,-0.000639,0.023266,1
1772660160096594944,0.999718,0.004639,-0.000639,0.023267,1
1772660160106582784,0.999718,0.004639,-0.000638,0.023268,1
1772660160116474368,0.999718,0.004641,-0.000639,0.023268,1
1772660160126272000,0.999718,0.004639,-0.000638,0.023271,1
1772660160135974912,0.999718,0.004634,-0.000635,0.023268,1
1772660160145582848,0.999718,0.004631,-0.000634,0.023268,1
1772660160155098880,0.999718,0.004626,-0.000634,0.023267,1
1772660160164521472,0.999718,0.004624,-0.000634,0.023268,1
1772660160173852928,0.999718,0.004620,-0.000631,0.023266,1
1772660160184161024,0.999718,0.004620,-0.000630,0.023267,1
1772660160194823680,0.999718,0.004619,-0.000632,0.023268,1
1772660160205382912,0.999718,0.004621,-0.000635,0.023267,1
1772660160215840000,0.999718,0.004623,-0.000632,0.023268,1
1772660160226196992,0.999718,0.004623,-0.000631,0.023267,1
1772660160236450048,0.999718,0.004617,-0.000628,0.023266,1
1772660160246604800,0.999718,0.004615,-0.000629,0.023266,1
1772660160256660224,0.999719,0.004617,-0.000629,0.023263,1
1772660160266620160,0.999718,0.004619,-0.000629,0.023264,1
1772660160276483328,0.999718,0.004621,-0.000632,0.023266,1
1772660160286249984,0.999718,0.004621,-0.000629,0.023266,1
1772660160295923456,0.999718,0.004623,-0.000633,0.023267,1
1772660160305503488,0.999718,0.004621,-0.000632,0.023266,1
1772660160314988288,0.999718,0.004621,-0.000631,0.023265,1
1772660160324380416,0.999718,0.004622,-0.000629,0.023263,1
1772660160333679872,0.999718,0.004620,-0.000630,0.023266,1
1772660160344429568,0.999718,0.004618,-0.000630,0.023266,1
1772660160355074304,0.999718,0.004619,-0.000630,0.023267,1
1772660160365615104,0.999718,0.004618,-0.000627,0.023269,1
1772660160376053504,0.999718,0.004619,-0.000627,0.023269,1
1772660160386389248,0.999718,0.004622,-0.000627,0.023269,1
1772660160396625664,0.999718,0.004622,-0.000629,0.023268,1
1772660160406760704,0.999718,0.004619,-0.000628,0.023266,1
1772660160416796672,0.999718,0.004622,-0.000630,0.023266,1
1772660160426734848,0.999718,0.004619,-0.000629,0.023265,1
1772660160436574976,0.999718,0.004619,-0.000627,0.023268,1
1772660160446321664,0.999718,0.004624,-0.000624,0.023271,1
1772660160455974400,0.999718,0.004622,-0.000621,0.023271,1
1772660160465530880,0.999718,0.004618,-0.000617,0.023273,1
1772660160474994944,0.999718,0.004618,-0.000618,0.023273,1
1772660160484366592,0.999718,0.004619,-0.000619,0.023275,1
1772660160493799424,0.999718,0.004620,-0.000620,0.023278,1
1772660160504519168,0.999718,0.004622,-0.000619,0.023279,1
1772660160515134464,0.999718,0.004623,-0.000617,0.023280,1
1772660160525645824,0.999718,0.004625,-0.000615,0.023278,1
1772660160536060160,0.999718,0.004627,-0.000614,0.023279,1
1772660160546374144,0.999718,0.004628,-0.000614,0.023279,1
1772660160556587776,0.999718,0.004632,-0.000618,0.023280,1
1772660160566701568,0.999718,0.004635,-0.000618,0.023279,1
1772660160576718336,0.999718,0.004636,-0.000620,0.023282,1
1772660160586636544,0.999718,0.004638,-0.000622,0.023282,1
1772660160596459264,0.999718,0.004639,-0.000623,0.023282,1
1772660160606187520,0.999718,0.004641,-0.000622,0.023281,1
1772660160615821312,0.999718,0.004641,-0.000623,0.023282,1
1772660160625361152,0.999718,0.004640,-0.000622,0.023283,1
1772660160634807296,0.999718,0.004642,-0.000623,0.023285,1
1772660160644161024,0.999718,0.004641,-0.000625,0.023284,1
1772660160654034176,0.999718,0.004642,-0.000625,0.023284,1
1772660160664720896,0.999718,0.004644,-0.000623,0.023284,1
1772660160675303680,0.999718,0.004647,-0.000621,0.023282,1
1772660160685780992,0.999718,0.004643,-0.000621,0.023282,1
1772660160696156928,0.999718,0.004643,-0.000622,0.023283,1
1772660160706432768,0.999718,0.004644,-0.000625,0.023285,1
1772660160716608512,0.999718,0.004643,-0.000623,0.023287,1
1772660160726682112,0.999718,0.004642,-0.000624,0.023286,1
1772660160736657664,0.999718,0.004642,-0.000623,0.023286,1
1772660160746534656,0.999718,0.004643,-0.000624,0.023285,1
1772660160756313344,0.999718,0.004642,-0.000623,0.023285,1
1772660160765997056,0.999718,0.004645,-0.000623,0.023285,1
1772660160775584256,0.999718,0.004644,-0.000619,0.023285,1
1772660160785077760,0.999718,0.004643,-0.000615,0.023286,1
1772660160794477568,0.999718,0.004639,-0.000616,0.023286,1
1772660160803795456,0.999718,0.004641,-0.000615,0.023287,1
1772660160814098432,0.999718,0.004644,-0.000615,0.023288,1
1772660160824760320,0.999718,0.004644,-0.000614,0.023288,1
1772660160835319040,0.999718,0.004642,-0.000614,0.023289,1
1772660160845775616,0.999718,0.004643,-0.000611,0.023286,1
1772660160856130304,0.999718,0.004642,-0.000610,0.023285,1
1772660160866385664,0.999718,0.004642,-0.000613,0.023286,1
1772660160876541184,0.999718,0.004642,-0.000614,0.023287,1
1772660160886598144,0.999718,0.004641,-0.000611,0.023288,1
1772660160896559872,0.999718,0.004643,-0.000609,0.023288,1
1772660160906424320,0.999718,0.004642,-0.000607,0.023290,1
1772660160916192512,0.999718,0.004641,-0.000606,0.023291,1
1772660160925866752,0.999718,0.004646,-0.000606,0.023292,1
1772660160935447040,0.999718,0.004643,-0.000607,0.023293,1
1772660160944937472,0.999718,0.004640,-0.000603,0.023293,1
1772660160954335744,0.999718,0.004640,-0.000602,0.023295,1
1772660160963641088,0.999718,0.004641,-0.000601,0.023295,1
1772660160974391552,0.999718,0.004642,-0.000603,0.023294,1
1772660160985038336,0.999718,0.004644,-0.000608,0.023296,1
1772660160995581184,0.999718,0.004643,-0.000611,0.023297,1
1772660161006020352,0.999718,0.004646,-0.000609,0.023296,1
1772660161016357632,0.999718,0.004645,-0.000613,0.023295,1
1772660161026592512,0.999718,0.004648,-0.000615,0.023297,1
1772660161036728064,0.999718,0.004650,-0.000617,0.023295,1
1772660161046766592,0.999718,0.004651,-0.000617,0.023295,1
1772660161056707584,0.999718,0.004652,-0.000620,0.023297,1
1772660161066552064,0.999718,0.004655,-0.000624,0.023297,1
1772660161076302336,0.999718,0.004654,-0.000626,0.023297,1
1772660161085956864,0.999718,0.004652,-0.000625,0.023298,1
1772660161095516672,0.999717,0.004652,-0.000623,0.023302,1
1772660161104991232,0.999717,0.004650,-0.000623,0.023301,1
1772660161114374912,0.999717,0.004651,-0.000624,0.023302,1
1772660161123819264,0.999717,0.004649,-0.000620,0.023302,1
1772660161134536192,0.999717,0.004649,-0.000617,0.023302,1
1772660161145146880,0.999718,0.004647,-0.000617,0.023300,1
1772660161155654912,0.999717,0.004648,-0.000615,0.023302,1
1772660161166060032,0.999717,0.004646,-0.000613,0.023303,1
1772660161176361472,0.999717,0.004648,-0.000613,0.023303,1
1772660161186561536,0.999717,0.004648,-0.000615,0.023302,1
1772660161196660992,0.999717,0.004645,-0.000616,0.023302,1
