FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:timeInfo_deltaTime_estFilter,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:timeInfo_deltaTime_estFilter
02/20/26 19:48:11.927254528,0.01
02/20/26 19:48:11.937250304,0.01
02/20/26 19:48:11.947236096,0.01
02/20/26 19:48:11.957212160,0.01
02/20/26 19:48:11.967177984,0.01
02/20/26 19:48:11.977134336,0.01
02/20/26 19:48:11.987080960,0.01
02/20/26 19:48:11.997017600,0.01
02/20/26 19:48:12.006944256,0.01
02/20/26 19:48:12.016861184,0.01
02/20/26 19:48:12.026768128,0.01
02/20/26 19:48:12.036665344,0.01
02/20/26 19:48:12.046552576,0.01
02/20/26 19:48:12.056667136,0.01
02/20/26 19:48:12.066771712,0.01
02/20/26 19:48:12.076866560,0.01
02/20/26 19:48:12.086951168,0.01
02/20/26 19:48:12.097025792,0.01
02/20/26 19:48:12.107090432,0.01
02/20/26 19:48:12.117145600,0.01
02/20/26 19:48:12.127190528,0.01
02/20/26 19:48:12.137225472,0.01
02/20/26 19:48:12.147250944,0.01
02/20/26 19:48:12.157266432,0.01
02/20/26 19:48:12.167271680,0.01
02/20/26 19:48:12.177267200,0.01
02/20/26 19:48:12.187252224,0.01
02/20/26 19:48:12.197227520,0.01
02/20/26 19:48:12.207193088,0.01
02/20/26 19:48:12.217148672,0.01
02/20/26 19:48:12.227094528,0.01
02/20/26 19:48:12.237030400,0.01
02/20/26 19:48:12.246956288,0.01
02/20/26 19:48:12.256872448,0.01
02/20/26 19:48:12.266778624,0.01
02/20/26 19:48:12.276674816,0.01
02/20/26 19:48:12.286561536,0.01
02/20/26 19:48:12.296674560,0.01
02/20/26 19:48:12.306777600,0.01
02/20/26 19:48:12.316870400,0.01
02/20/26 19:48:12.326953472,0.01
02/20/26 19:48:12.337026304,0.01
02/20/26 19:48:12.347089664,0.01
02/20/26 19:48:12.357143040,0.01
02/20/26 19:48:12.367186432,0.01
02/20/26 19:48:12.377219840,0.01
02/20/26 19:48:12.387243264,0.01
02/20/26 19:48:12.397256960,0.01
02/20/26 19:48:12.407260672,0.01
02/20/26 19:48:12.417254144,0.01
02/20/26 19:48:12.427237888,0.01
02/20/26 19:48:12.437211392,0.01
02/20/26 19:48:12.447175424,0.01
02/20/26 19:48:12.457129472,0.01
02/20/26 19:48:12.467073536,0.01
02/20/26 19:48:12.477007616,0.01
02/20/26 19:48:12.486932224,0.01
