FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/09/26 16:34:49.684481280
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,100Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,100Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
0.000000000,0.997476,0.048857,0.051506,0.001627,1
0.009524224,0.997475,0.048831,0.051543,0.001542,1
0.018955776,0.997475,0.048820,0.051563,0.001455,1
0.028294912,0.997474,0.048833,0.051563,0.001366,1
0.038300417,0.997474,0.048830,0.051574,0.001266,1
0.048963327,0.997473,0.048840,0.051581,0.001166,1
0.059527166,0.997472,0.048864,0.051574,0.001069,1
0.069990143,0.997474,0.048854,0.051563,0.000963,1
0.080351233,0.997475,0.048841,0.051557,0.000854,1
0.090612739,0.997474,0.048861,0.051552,0.000749,1
0.100781821,0.997475,0.048866,0.051538,0.000643,1
0.110854141,0.997477,0.048837,0.051522,0.000531,1
0.120830208,0.997479,0.048818,0.051508,0.000423,1
0.130711555,0.997478,0.048843,0.051493,0.000314,1
0.140497923,0.997479,0.048837,0.051482,0.000199,1
0.150189817,0.997481,0.048801,0.051488,0.000083,1
0.159791097,0.997481,0.048802,0.051485,-0.000023,1
0.169300482,0.997480,0.048815,0.051490,-0.000128,1
0.178718463,0.997480,0.048785,0.051513,-0.000245,1
0.188045561,0.997479,0.048762,0.051547,-0.000354,1
0.198488325,0.997477,0.048785,0.051565,-0.000456,1
0.209131271,0.997477,0.048770,0.051590,-0.000568,1
0.219673082,0.997477,0.048733,0.051615,-0.000680,1
0.230115846,0.997476,0.048738,0.051627,-0.000783,1
0.240459517,0.997474,0.048773,0.051628,-0.000902,1
0.250704139,0.997476,0.048746,0.051624,-0.001029,1
0.260857075,0.997475,0.048741,0.051636,-0.001146,1
0.270910978,0.997472,0.048809,0.051638,-0.001264,1
0.280867845,0.997469,0.048843,0.051655,-0.001395,1
0.290729731,0.997468,0.048840,0.051677,-0.001528,1
0.300496370,0.997465,0.048886,0.051673,-0.001654,1
0.310168326,0.997462,0.048965,0.051654,-0.001785,1
0.319745779,0.997463,0.048958,0.051653,-0.001926,1
0.329231352,0.997463,0.048941,0.051648,-0.002062,1
0.338624775,0.997459,0.049031,0.051636,-0.002195,1
0.348077297,0.997456,0.049088,0.051636,-0.002340,1
0.358801931,0.997457,0.049068,0.051625,-0.002485,1
0.369421571,0.997455,0.049125,0.051616,-0.002623,1
