FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,03/13/26 15:12:50.091623936
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ
1773414770091623936,1.320933915849309e-05,-3.994158760178834e-05,-0.009956488385796547,2.622206238811486e-06,1.060629529092694e-06,2.49169079324929e-06
1773414770101884416,1.416910527041182e-05,-3.987082891399041e-05,-0.009958202019333839,-5.301073997543426e-06,-2.051167342642657e-07,2.505021711840527e-06
1773414770112045056,2.311329444637522e-05,-3.857889896607958e-05,-0.009961421601474285,-9.187556315737311e-06,1.30855846691702e-06,3.137598014291143e-06
1773414770122107904,1.715579674055334e-05,-4.053332304465584e-05,-0.009965008124709129,2.3020688786346e-06,2.268786829517921e-06,3.288208745289012e-06
1773414770132079872,1.76841022039298e-05,-3.756095611606725e-05,-0.009954331442713737,3.453029876254732e-06,-2.495362650734023e-06,1.981838295250782e-06
1773414770141954560,2.098675395245664e-05,-4.233734580338933e-05,-0.009971588850021362,-9.755797236721264e-07,-4.000505384738062e-07,-2.489825419615954e-06
1773414770151733248,1.58424682012992e-05,-4.178457311354578e-05,-0.009946094825863838,1.470772645006946e-06,1.751449531184335e-06,1.81596590209665e-06
1773414770161832448,2.012215190916322e-05,-4.139592056162655e-05,-0.009959842078387737,-2.655819571373286e-06,3.745386493392289e-06,1.554484185817273e-07
1773414770172246016,1.33123994601192e-05,-3.617852416937239e-05,-0.009970218874514103,-3.820972324319882e-06,5.944827535131481e-06,5.537782726605656e-06
1773414770182559744,1.595725552760996e-05,-3.618314804043621e-05,-0.009946988895535469,-3.664468977149227e-06,7.412549166474491e-06,1.767991875567532e-06
1773414770192771840,1.956101914402097e-05,-4.560895831673406e-05,-0.009967836551368237,1.54038328759043e-08,1.616688507510844e-07,3.284297463324037e-06
1773414770202887936,1.916584369610064e-05,-3.896314592566341e-05,-0.009958424605429173,-8.743380021769553e-06,-2.763082875389955e-06,-2.79048958873318e-06
1773414770212908032,1.296144000662025e-05,-3.489641676424071e-05,-0.009965757839381695,-2.359925247219508e-06,-6.40380994809675e-06,2.360753114771796e-06
