Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1773411660502840064,0.999990,0.001484,-0.000225,-0.004129,1
1773411660513119232,0.999990,0.001488,-0.000224,-0.004130,1
1773411660523310080,0.999990,0.001489,-0.000223,-0.004128,1
1773411660533402624,0.999990,0.001489,-0.000225,-0.004130,1
1773411660543403520,0.999990,0.001490,-0.000225,-0.004131,1
1773411660553323520,0.999990,0.001493,-0.000222,-0.004135,1
1773411660563377920,0.999990,0.001491,-0.000224,-0.004137,1
1773411660573897728,0.999990,0.001493,-0.000224,-0.004138,1
1773411660584320768,0.999990,0.001491,-0.000226,-0.004140,1
1773411660594643968,0.999990,0.001491,-0.000227,-0.004140,1
1773411660604867840,0.999990,0.001492,-0.000227,-0.004143,1
1773411660614996736,0.999990,0.001491,-0.000227,-0.004142,1
1773411660625039616,0.999990,0.001488,-0.000224,-0.004146,1
1773411660634986752,0.999990,0.001488,-0.000224,-0.004148,1
1773411660644847872,0.999990,0.001488,-0.000225,-0.004148,1
1773411660655249664,0.999990,0.001493,-0.000224,-0.004148,1
1773411660665714176,0.999990,0.001494,-0.000223,-0.004147,1
1773411660676077056,0.999990,0.001489,-0.000223,-0.004148,1
1773411660686342400,0.999990,0.001488,-0.000225,-0.004149,1
1773411660696519424,0.999990,0.001488,-0.000223,-0.004150,1
1773411660706598912,0.999990,0.001488,-0.000221,-0.004152,1
1773411660716581632,0.999990,0.001486,-0.000222,-0.004153,1
1773411660726469888,0.999990,0.001486,-0.000223,-0.004152,1
1773411660736344064,0.999990,0.001483,-0.000225,-0.004152,1
1773411660746855168,0.999990,0.001483,-0.000225,-0.004151,1
1773411660757266176,0.999990,0.001482,-0.000222,-0.004151,1
1773411660767577344,0.999990,0.001482,-0.000225,-0.004152,1
1773411660777797632,0.999990,0.001482,-0.000228,-0.004153,1
1773411660787924224,0.999990,0.001479,-0.000224,-0.004154,1
1773411660797954304,0.999990,0.001477,-0.000228,-0.004154,1
1773411660807888896,0.999990,0.001476,-0.000230,-0.004153,1
1773411660817728256,0.999990,0.001478,-0.000230,-0.004153,1
1773411660827960576,0.999990,0.001478,-0.000233,-0.004154,1
1773411660838419456,0.999990,0.001476,-0.000232,-0.004156,1
1773411660848778240,0.999990,0.001477,-0.000231,-0.004157,1
1773411660859043584,0.999990,0.001477,-0.000233,-0.004156,1
1773411660869210880,0.999990,0.001476,-0.000234,-0.004154,1
1773411660879279360,0.999990,0.001475,-0.000233,-0.004156,1
1773411660889252096,0.999990,0.001476,-0.000231,-0.004160,1
1773411660899128320,0.999990,0.001472,-0.000233,-0.004162,1
1773411660908908544,0.999990,0.001475,-0.000231,-0.004161,1
1773411660919416320,0.999990,0.001475,-0.000231,-0.004164,1
1773411660929824000,0.999990,0.001473,-0.000233,-0.004163,1
1773411660940136704,0.999990,0.001472,-0.000233,-0.004164,1
1773411660950350848,0.999990,0.001475,-0.000235,-0.004168,1
1773411660960466176,0.999990,0.001476,-0.000238,-0.004170,1
1773411660970485248,0.999990,0.001479,-0.000236,-0.004168,1
1773411660980407296,0.999990,0.001480,-0.000237,-0.004169,1
1773411660990233600,0.999990,0.001479,-0.000235,-0.004166,1
1773411661000294912,0.999990,0.001478,-0.000234,-0.004166,1
1773411661010751232,0.999990,0.001478,-0.000233,-0.004166,1
1773411661021108992,0.999990,0.001477,-0.000233,-0.004168,1
1773411661031369216,0.999990,0.001477,-0.000235,-0.004167,1
1773411661041531648,0.999990,0.001481,-0.000233,-0.004167,1
1773411661051596800,0.999990,0.001482,-0.000232,-0.004169,1
1773411661061566464,0.999990,0.001481,-0.000233,-0.004168,1
1773411661071439616,0.999990,0.001484,-0.000236,-0.004169,1
1773411661081217280,0.999990,0.001484,-0.000236,-0.004171,1
1773411661091559168,0.999990,0.001485,-0.000241,-0.004170,1
1773411661101967872,0.999990,0.001488,-0.000240,-0.004174,1
1773411661139830784,0.999990,0.001488,-0.000237,-0.004174,1
1773411661149768960,0.999990,0.001485,-0.000242,-0.004174,1
1773411661159612928,0.999990,0.001485,-0.000241,-0.004173,1
1773411661169363200,0.999990,0.001486,-0.000242,-0.004173,1
1773411661179021824,0.999990,0.001485,-0.000243,-0.004175,1
1773411661188611840,0.999990,0.001485,-0.000242,-0.004178,1
