Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1773412221353142272,0.999612,0.001423,0.000083,-0.027812,1
1773412221362933504,0.999612,0.001422,0.000085,-0.027814,1
1773412221372630272,0.999612,0.001422,0.000083,-0.027815,1
1773412221382233344,0.999612,0.001423,0.000086,-0.027815,1
1773412221391745280,0.999612,0.001426,0.000085,-0.027814,1
1773412221401165312,0.999612,0.001423,0.000084,-0.027815,1
1773412221411238912,0.999612,0.001423,0.000083,-0.027817,1
1773412221421301248,0.999612,0.001424,0.000079,-0.027817,1
1773412221431267840,0.999612,0.001420,0.000080,-0.027817,1
1773412221441164288,0.999612,0.001421,0.000077,-0.027818,1
1773412221450940672,0.999612,0.001422,0.000080,-0.027818,1
1773412221460626944,0.999612,0.001421,0.000080,-0.027819,1
1773412221470220288,0.999612,0.001416,0.000079,-0.027817,1
1773412221479719936,0.999612,0.001417,0.000076,-0.027819,1
1773412221489293312,0.999612,0.001418,0.000076,-0.027817,1
1773412221499431936,0.999612,0.001421,0.000075,-0.027815,1
1773412221509471744,0.999612,0.001420,0.000076,-0.027816,1
1773412221519416576,0.999612,0.001424,0.000075,-0.027816,1
1773412221529278720,0.999612,0.001426,0.000072,-0.027816,1
1773412221539031552,0.999612,0.001425,0.000071,-0.027815,1
1773412221548690432,0.999612,0.001424,0.000071,-0.027813,1
1773412221558255872,0.999612,0.001421,0.000069,-0.027810,1
1773412221567728384,0.999612,0.001418,0.000070,-0.027809,1
1773412221577694464,0.999612,0.001421,0.000070,-0.027809,1
1773412221587814912,0.999612,0.001422,0.000069,-0.027809,1
1773412221597839872,0.999612,0.001421,0.000070,-0.027808,1
1773412221607770368,0.999612,0.001422,0.000068,-0.027809,1
1773412221617631744,0.999612,0.001418,0.000069,-0.027810,1
1773412221627368704,0.999612,0.001415,0.000067,-0.027806,1
1773412221637011712,0.999612,0.001415,0.000067,-0.027807,1
1773412221646561792,0.999612,0.001415,0.000068,-0.027808,1
1773412221656018176,0.999612,0.001413,0.000067,-0.027808,1
1773412221666208512,0.999612,0.001411,0.000065,-0.027810,1
1773412221676304128,0.999612,0.001412,0.000065,-0.027812,1
1773412221686302976,0.999612,0.001412,0.000064,-0.027812,1
1773412221696210176,0.999612,0.001410,0.000063,-0.027812,1
1773412221706037760,0.999612,0.001409,0.000062,-0.027811,1
1773412221715754752,0.999612,0.001410,0.000065,-0.027811,1
1773412221725378560,0.999612,0.001410,0.000065,-0.027812,1
1773412221734908928,0.999612,0.001412,0.000065,-0.027812,1
1773412221744677120,0.999612,0.001410,0.000064,-0.027814,1
1773412221754845696,0.999612,0.001413,0.000067,-0.027814,1
1773412221764919040,0.999612,0.001413,0.000070,-0.027812,1
1773412221774897664,0.999612,0.001413,0.000072,-0.027811,1
1773412221784786688,0.999612,0.001413,0.000073,-0.027811,1
1773412221794596864,0.999612,0.001409,0.000076,-0.027813,1
1773412221804297216,0.999612,0.001404,0.000076,-0.027816,1
1773412221813906432,0.999612,0.001406,0.000078,-0.027816,1
1773412221823424256,0.999612,0.001406,0.000080,-0.027816,1
1773412221833500416,0.999612,0.001406,0.000083,-0.027817,1
1773412221843641856,0.999612,0.001407,0.000082,-0.027816,1
1773412221853685248,0.999612,0.001405,0.000080,-0.027816,1
1773412221863631360,0.999612,0.001404,0.000078,-0.027813,1
1773412221883261440,0.999612,0.001402,0.000076,-0.027811,1
1773412221892924928,0.999612,0.001401,0.000073,-0.027809,1
1773412221902495744,0.999612,0.001400,0.000072,-0.027810,1
1773412221912139264,0.999612,0.001401,0.000072,-0.027810,1
1773412221922354176,0.999612,0.001403,0.000068,-0.027809,1
1773412221932472064,0.999612,0.001404,0.000070,-0.027809,1
1773412221942492928,0.999612,0.001405,0.000070,-0.027809,1
1773412221952420352,0.999612,0.001403,0.000072,-0.027809,1
1773412221962272768,0.999612,0.001406,0.000073,-0.027809,1
1773412221972010240,0.999612,0.001403,0.000072,-0.027808,1
1773412221981656832,0.999612,0.001403,0.000072,-0.027809,1
1773412221991210752,0.999612,0.001407,0.000074,-0.027811,1
1773412222001166848,0.999612,0.001402,0.000072,-0.027813,1
1773412222011356160,0.999612,0.001400,0.000072,-0.027815,1
1773412222021448704,0.999612,0.001396,0.000073,-0.027813,1
1773412222031443456,0.999612,0.001401,0.000075,-0.027816,1
1773412222041346048,0.999612,0.001400,0.000074,-0.027819,1
1773412222051200512,0.999612,0.001397,0.000075,-0.027819,1
1773412222060920832,0.999612,0.001396,0.000072,-0.027819,1
1773412222070548736,0.999612,0.001396,0.000073,-0.027820,1
1773412222080087808,0.999612,0.001394,0.000073,-0.027817,1
1773412222090343936,0.999612,0.001396,0.000071,-0.027814,1
1773412222100503296,0.999612,0.001394,0.000070,-0.027812,1
1773412222110565376,0.999612,0.001392,0.000070,-0.027810,1
1773412222120530688,0.999612,0.001391,0.000068,-0.027808,1
1773412222130405632,0.999612,0.001393,0.000066,-0.027808,1
1773412222140233728,0.999612,0.001397,0.000067,-0.027808,1
1773412222149922048,0.999612,0.001396,0.000069,-0.027810,1
1773412222159517440,0.999612,0.001397,0.000068,-0.027812,1
1773412222169266432,0.999612,0.001397,0.000067,-0.027812,1
1773412222179492864,0.999612,0.001395,0.000069,-0.027813,1
1773412222189625856,0.999612,0.001394,0.000070,-0.027812,1
1773412222199662592,0.999612,0.001394,0.000071,-0.027811,1
1773412222209605376,0.999612,0.001391,0.000069,-0.027814,1
1773412222219461376,0.999612,0.001397,0.000071,-0.027817,1
1773412222229247232,0.999612,0.001397,0.000069,-0.027818,1
1773412222238916096,0.999612,0.001397,0.000067,-0.027816,1
1773412222248497920,0.999612,0.001395,0.000068,-0.027817,1
1773412222258630144,0.999612,0.001392,0.000072,-0.027815,1
1773412222268825088,0.999612,0.001391,0.000075,-0.027816,1
1773412222278924800,0.999612,0.001389,0.000076,-0.027817,1
1773412222288929024,0.999612,0.001391,0.000074,-0.027817,1
1773412222298837504,0.999612,0.001389,0.000075,-0.027815,1
1773412222308652032,0.999612,0.001389,0.000071,-0.027816,1
1773412222318401536,0.999612,0.001388,0.000076,-0.027817,1
1773412222328030976,0.999612,0.001386,0.000076,-0.027818,1
1773412222337650176,0.999612,0.001383,0.000076,-0.027819,1
1773412222347915008,0.999612,0.001384,0.000075,-0.027818,1
1773412222358082816,0.999612,0.001382,0.000073,-0.027820,1
1773412222368151296,0.999612,0.001384,0.000076,-0.027822,1
1773412222378121216,0.999612,0.001385,0.000078,-0.027821,1
1773412222388000256,0.999612,0.001385,0.000077,-0.027822,1
1773412222397784064,0.999612,0.001381,0.000074,-0.027820,1
1773412222407501312,0.999612,0.001382,0.000074,-0.027823,1
1773412222417094656,0.999612,0.001381,0.000074,-0.027825,1
1773412222427009536,0.999612,0.001383,0.000075,-0.027827,1
1773412222437244672,0.999612,0.001383,0.000075,-0.027828,1
1773412222447383808,0.999612,0.001383,0.000073,-0.027827,1
1773412222457425152,0.999612,0.001383,0.000071,-0.027827,1
1773412222467369984,0.999612,0.001382,0.000071,-0.027826,1
1773412222477218560,0.999612,0.001382,0.000070,-0.027825,1
1773412222486972928,0.999612,0.001381,0.000073,-0.027825,1
1773412222496694016,0.999612,0.001378,0.000076,-0.027825,1
1773412222506271488,0.999612,0.001378,0.000078,-0.027824,1
1773412222516489472,0.999612,0.001377,0.000076,-0.027822,1
1773412222526692608,0.999612,0.001380,0.000075,-0.027820,1
1773412222536800256,0.999612,0.001379,0.000078,-0.027821,1
1773412222546812672,0.999612,0.001379,0.000076,-0.027820,1
