FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/12/26 20:13:44.584119808
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:deltaThetaX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
0.000000000,5.409021468949504e-06,-1.973708322111634e-06,2.159488531106035e-06,0.0009086693753488362,-5.381525988923386e-05,-0.009921475313603878
0.010178816,4.032268861919874e-06,-6.879006377857877e-06,7.05480942997383e-06,0.0009135428699664772,-5.921914635109715e-05,-0.009919661097228527
0.020262400,-1.448819375582389e-06,-4.137975338380784e-06,4.886722308583558e-06,0.0009215422905981541,-5.951844286755659e-05,-0.009923161938786507
0.030247169,5.286688065098133e-06,-8.072052878560498e-06,-1.690027943368477e-06,0.0009098451700992882,-5.755228994530626e-05,-0.009923914447426796
0.040133633,3.823630322585814e-06,4.745224941871129e-06,5.232444891589694e-06,0.0009088866645470262,-5.781355866929516e-05,-0.009919029660522938
0.049924351,7.931953405204695e-07,-3.190341203662683e-06,3.339760269227554e-06,0.0008964437292888761,-6.125668733147904e-05,-0.009928804822266102
0.059619840,1.561142994432885e-06,-3.414040520510753e-06,-1.487277245360019e-06,0.000894178228918463,-5.809940921608359e-05,-0.009923617355525494
0.069302782,1.464471438339388e-06,7.48440288589336e-06,3.014826233993517e-06,0.0008988569024950266,-6.090463648433797e-05,-0.009923192672431469
0.079645440,5.42383941137814e-06,-2.353441232116893e-06,-6.294104650805821e-07,0.0009066127240657806,-6.123236380517483e-05,-0.009923600591719151
0.089892611,4.929853275825735e-06,-7.170155527091993e-07,2.320752400919446e-06,0.0009118805755861104,-6.29036730970256e-05,-0.009919637814164162
0.100041725,8.97735844773706e-07,1.639739707570698e-06,1.128786948356719e-06,0.0009220793144777417,-5.410031008068472e-05,-0.009925404563546181
0.110095613,3.156801767545403e-06,-5.649583272315795e-06,-3.092138967986102e-06,0.0009154393919743598,-5.917304224567488e-05,-0.009927375242114067
0.120061949,4.427724434208358e-06,-3.455691057752119e-06,2.505511702111107e-06,0.0009093584376387298,-6.637535261688754e-05,-0.009925180114805698
0.129935876,3.647096718850662e-06,1.509580215497408e-06,9.554573807690758e-06,0.000905434659216553,-5.868313019163907e-05,-0.009922496974468231
0.139712766,1.645226319624271e-07,-8.522499229002278e-06,5.177414095669519e-06,0.0008979581180028617,-5.954548760200851e-05,-0.00992794893682003
0.149394944,2.321307874808554e-06,-2.645050244609592e-06,4.973433533450589e-06,0.00090000283671543,-5.428939766716212e-05,-0.009927171282470226
0.159391493,-1.159309476861381e-06,-3.78787558474869e-06,4.282423105905764e-06,0.000901870836969465,-6.210256105987355e-05,-0.00992216169834137
0.169698298,-4.474523507269623e-07,-8.907091796572786e-06,3.434327254581149e-06,0.0009179013432003558,-5.627235805150121e-05,-0.00992371141910553
0.179905280,-4.947033630742226e-06,1.77963067926612e-06,-3.108918349425949e-07,0.0009174743317998946,-5.543814040720463e-05,-0.009924137033522129
0.190013438,2.771129857137566e-06,-3.618317350628786e-06,3.755025090868003e-07,0.0009135328000411391,-5.598649295279756e-05,-0.009919293224811554
0.200021759,-5.185208920011064e-06,1.785034669410379e-06,1.547564124848577e-06,0.00091038818936795,-6.009236312820576e-05,-0.009917698800563812
0.209932804,3.057260300920461e-06,-1.088351928046905e-05,5.31844079887378e-07,0.0009102346375584602,-6.038671199348755e-05,-0.009924780577421188
0.219750151,5.698720997315831e-06,-8.213791033995221e-07,4.378892754175467e-06,0.0009016297408379614,-5.67748757021036e-05,-0.009925841353833675
0.229472771,4.318823357607471e-06,-9.584016424923902e-07,4.436334165802691e-06,0.0009022515150718391,-5.897712981095538e-05,-0.009925170801579952
0.239100933,-1.425163759449788e-06,-2.600775587779935e-06,4.597015504259616e-06,0.0009074482368305326,-5.728995893150568e-05,-0.009923616424202919
0.249393150,-1.665037530074187e-06,-4.983428425475722e-06,5.995660103508271e-06,0.0009106670622713864,-5.966869503026828e-05,-0.009920979849994183
0.259669751,9.528932423563674e-06,-5.593381047219737e-06,5.221191258897306e-06,0.0009099927265197039,-6.039688378223218e-05,-0.009919357486069202
0.269859314,-4.68068083137041e-06,1.428501150257944e-06,1.377775902255962e-06,0.0009114420972764492,-5.969828634988517e-05,-0.009920989163219929
0.279954940,-3.957146418542834e-06,-4.085478394699749e-06,-2.018136910919566e-07,0.0009071079548448324,-5.737566243624315e-05,-0.009919499047100544
0.289953530,-2.721796761306905e-07,-7.388862286461517e-06,4.437835741555318e-06,0.0009083251934498549,-6.065968045732006e-05,-0.00992426835000515
0.299858689,-1.354768755845726e-06,-2.723182205954799e-06,9.620709988666931e-07,0.0009105787612497807,-5.701856935047545e-05,-0.00992539431899786
0.309672713,-8.267047633125912e-06,-1.507237811892992e-06,2.731394488364458e-06,0.0009117526933550835,-5.370361395762302e-05,-0.009926892817020416
0.319390714,1.232236286341504e-06,-9.775480066309683e-06,3.070016646233853e-06,0.0009093073313124478,-5.49886972294189e-05,-0.009921408258378506
0.329175025,3.848425876640249e-06,3.631684421634418e-06,4.329246621637139e-06,0.0009155283914878964,-5.860397868673317e-05,-0.009925782680511475
0.339506954,3.237887312934618e-06,-3.944747732020915e-06,-4.171579803369241e-06,0.000910590635612607,-5.41353365406394e-05,-0.009926866739988327
0.349739015,-1.1833144526463e-06,-4.591683591570472e-06,3.443647983658593e-06,0.0009146521333605051,-5.822025923407637e-05,-0.009923562407493591
0.359872252,5.103649527882226e-06,2.01171383196197e-06,8.318025720654987e-06,0.0009069840889424086,-5.983646406093612e-05,-0.009920762851834297
0.369907469,6.067623417038703e-07,1.325735610180345e-07,2.75157663054415e-06,0.0009072233224287629,-6.533158011734486e-05,-0.00991680845618248
0.379843831,3.206147312084795e-06,5.526233053387841e-06,1.431758505532343e-06,0.0009043206227943301,-5.539740959648043e-05,-0.009922783821821213
0.389683187,-9.792407809072756e-07,-1.515191797807347e-06,3.026886815860053e-06,0.0009068134240806103,-5.54240687051788e-05,-0.009924252517521381
0.399431169,6.558261702593882e-06,9.258242812393291e-07,4.267376880306983e-06,0.0009069807128980756,-5.571807196247391e-05,-0.009926383383572102
0.409084678,-7.83682207838865e-06,-1.620105194888311e-06,-3.146643393847626e-06,0.0009085702477023005,-5.465821959660389e-05,-0.009925391525030136
0.419146508,-1.329900328528311e-06,-2.214997039118316e-06,3.843813829007559e-06,0.0009105212520807981,-5.662691182806157e-05,-0.009923482313752174
0.429444104,1.080755538396261e-07,-3.538624696375336e-06,4.485150384425651e-06,0.0009093880653381348,-5.769146082457155e-05,-0.009924495592713356
0.439640582,-6.093771389714675e-06,-3.809243480645819e-06,-8.044532364692714e-07,0.0009044347680173814,-6.012642916175537e-05,-0.009920792654156685
