Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773411660504330240,-2.127118705175235e-06,-1.272653889827779e-06,4.242229351802962e-06,-7.130494850571267e-06,-2.065029184450395e-05,-0.009951953776180744
1773411660514587392,-2.65160247181484e-06,2.817527047227486e-06,2.102790631397511e-06,-1.39639496410382e-07,-1.998735933739226e-05,-0.009971131570637226
1773411660524746240,-4.274467301002005e-06,-6.452319212257862e-06,1.328935582023405e-06,-1.924475327541586e-06,-1.499124300607946e-05,-0.009958880022168159
1773411660534807808,7.105705662979744e-06,7.306769589376927e-07,2.207163106504595e-06,-3.611701231420739e-06,-1.97243680304382e-05,-0.00996371079236269
1773411660544782080,2.077186422866362e-08,-2.55149507211172e-06,9.160669833363499e-06,-4.63277274320717e-06,-2.438194860587828e-05,-0.009957385249435902
1773411660554661376,3.553756869223434e-06,-2.345800339753623e-06,1.353447942165076e-06,-5.031090040574782e-06,-1.831393092288636e-05,-0.009954776614904404
1773411660564451072,3.052165595818224e-07,-1.814043798731291e-06,5.410882977230358e-07,-3.881859356624773e-06,-1.595242611074354e-05,-0.009964241646230221
1773411660574201856,4.09457970818039e-06,1.927343873830978e-06,-1.422095238012844e-06,-3.356701199663803e-06,-1.342703217233066e-05,-0.009961321949958801
1773411660584128256,-4.002712103101658e-06,-3.722322844623704e-06,3.687564174015279e-07,-3.202652351319557e-06,-1.669527773628943e-05,-0.009961937554180622
1773411660594441216,4.605034519045148e-06,-3.201673962394125e-06,4.582528617902426e-06,-4.442538738658186e-06,-1.84370219358243e-05,-0.009956837631762028
1773411660604660224,-5.049183982919203e-06,-3.280980081399321e-06,1.15107914311352e-08,-3.61392812919803e-06,-1.876139322121162e-05,-0.009954704903066158
1773411660614781184,-1.561187673360109e-06,-5.219104423304088e-06,5.124000836076448e-06,-6.416986252588686e-06,-1.755269295244943e-05,-0.009970230981707573
1773411660624805888,2.642996150825638e-06,-1.351906689706084e-06,-1.344352540399996e-06,-5.638702532451134e-06,-1.821660771383904e-05,-0.009959839284420013
1773411660634737152,-4.150969743932365e-06,-4.874843284596864e-07,6.586375093320385e-06,-3.80832580049173e-06,-1.467723996029235e-05,-0.00997056532651186
1773411660644584192,-2.465847956045764e-06,3.698653472383739e-06,-2.23276902033831e-06,-5.225368568062549e-06,-1.367301229038276e-05,-0.009957838803529739
1773411660654336512,-2.882344688259764e-06,-4.52461381428293e-06,1.136747528107662e-06,-3.077264409512281e-06,-1.530051667941734e-05,-0.009962322190403938
1773411660664024064,-2.76253672382154e-07,-9.88556621450698e-07,5.075390163256088e-06,-5.523877462110249e-06,-1.770528615452349e-05,-0.009958372451364994
1773411660674235136,9.871198017208371e-06,-6.709084345857264e-07,5.135609171702527e-06,-5.052367669122759e-06,-1.841709308791906e-05,-0.009963016025722027
1773411660684509952,1.324849108641502e-06,2.701460459775262e-07,6.573813152499497e-06,-5.513372343557421e-06,-1.711766890366562e-05,-0.009974261745810509
1773411660694685184,-1.067478751792805e-05,-5.718318902836472e-07,2.21685104406788e-06,-2.634755219332874e-06,-1.784686173778027e-05,-0.009951825253665447
1773411660704766208,-2.633888016134733e-06,-4.239723239152227e-06,4.112591796001652e-06,-4.294438895158237e-06,-1.555163180455565e-05,-0.00996082741767168
1773411660714760192,8.805666595890216e-08,2.475485644026776e-06,2.92266895485227e-06,-1.762558326845465e-06,-1.541318124509417e-05,-0.009954654611647129
1773411660724658176,-1.442161021714128e-07,1.43104614380718e-06,2.256637571917963e-06,-7.278315933945123e-06,-1.831237386795692e-05,-0.00996358972042799
1773411660734461440,-6.267817298066802e-06,-4.659582828026032e-06,2.367919705648092e-06,-5.41310782864457e-07,-2.273294740007259e-05,-0.009963395074009895
1773411660753902848,-7.501791515096556e-06,-4.292380253900774e-06,3.046287247343571e-06,-2.066787374133128e-06,-1.684750168351457e-05,-0.009968741796910763
1773411660764239360,-9.253136568077025e-07,-2.710311946430011e-06,1.012542998068966e-05,-1.39250039410399e-06,-1.731789052428212e-05,-0.009950850158929825
1773411660774478336,-1.172095153378905e-06,3.113095772278029e-06,2.509588966859155e-06,-3.36833704750461e-06,-2.162204509659205e-05,-0.00995983462780714
1773411660784617984,-1.028789370138838e-06,-5.648799287882866e-06,4.019580046588089e-06,-3.717172376127564e-06,-2.099423545587342e-05,-0.00996321439743042
1773411660794668288,2.645396364187036e-07,-6.362532985804137e-06,2.897331569329253e-06,-3.878161805914715e-06,-1.981297100428492e-05,-0.009973610751330853
1773411660804627200,-5.66427297599148e-06,3.5290900086693e-06,2.599325171104283e-06,-5.526509994524531e-06,-1.879776209534612e-05,-0.009963564574718475
1773411660814490880,-4.88589739688905e-06,-7.466345323337009e-06,6.543228209920926e-06,-3.091916823905194e-06,-1.217222234117799e-05,-0.009950380772352219
1773411660824260864,-1.632849603083741e-06,-6.744440725015011e-06,6.723237675032578e-06,-7.172550795075949e-06,-1.400056407874217e-05,-0.009963083080947399
1773411660833937664,2.795693262669374e-06,-3.178210818077787e-06,4.607210939866491e-06,-2.745369556578225e-06,-1.755866651365068e-05,-0.009952571243047714
