Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773426542806444544,2.111441426677629e-05,-6.306819705059752e-05,-0.009958911687135696
1773426542816418816,1.614963002793957e-05,-7.513339369324967e-05,-0.009956134483218193
1773426542826295552,2.013163430092391e-05,-6.858050619484857e-05,-0.009957979433238506
1773426542836075776,2.476487134117633e-05,-6.939060403965414e-05,-0.009965131059288979
1773426542846334464,2.496685556252487e-05,-6.943986954865977e-05,-0.009960684925317764
1773426542856738560,2.736411624937318e-05,-6.880042201373726e-05,-0.009971576742827892
1773426542867041280,2.228992525488138e-05,-7.585743151139468e-05,-0.009963521733880043
1773426542877246720,2.784641583275516e-05,-6.945718632778153e-05,-0.009960868395864964
1773426542887351808,2.189222868764773e-05,-6.878034037072212e-05,-0.00995822437107563
1773426542897358336,2.748550650721882e-05,-6.377079989761114e-05,-0.009962763637304306
1773426542907266816,2.422303259663749e-05,-5.957351459073834e-05,-0.009965255856513977
1773426542917079296,2.397157004452311e-05,-6.817523535573855e-05,-0.00996103510260582
1773426542926878720,2.576418955868576e-05,-6.728169682901353e-05,-0.009958496317267418
1773426542937335552,2.267745549033862e-05,-6.933495751582086e-05,-0.009954930283129215
1773426542947694080,2.270004006277304e-05,-6.591517740162089e-05,-0.009959680959582329
1773426542957953280,1.957588938239496e-05,-6.606616807403043e-05,-0.009962422773241997
1773426542968113664,2.363205021538306e-05,-6.91465538693592e-05,-0.00996757298707962
1773426542978183168,2.566055263741873e-05,-6.648440466960892e-05,-0.009965157136321068
1773426542988161536,2.497579043847509e-05,-6.798432150389999e-05,-0.009954228065907955
1773426542998045952,2.243383823952172e-05,-7.128067954909056e-05,-0.009961602278053761
1773426543007845120,2.142458288290072e-05,-6.839472916908562e-05,-0.009953033179044724
1773426543018112256,2.754380693659186e-05,-6.609609408769757e-05,-0.009960344061255455
1773426543028523008,2.346395922359079e-05,-7.434895815094933e-05,-0.009968788363039494
1773426543038838272,2.475477958796546e-05,-6.818502151872963e-05,-0.009965476579964161
1773426543049056512,2.548460543039255e-05,-7.516785990446806e-05,-0.009962419979274273
1773426543059175424,2.588950519566424e-05,-7.167986041167751e-05,-0.009955506771802902
1773426543069206784,2.79850464721676e-05,-6.648563430644572e-05,-0.009961678646504879
1773426543079142912,2.335294630029239e-05,-7.220246334327385e-05,-0.009957017377018929
1773426543088984576,2.609908187878318e-05,-6.495659181382507e-05,-0.009965775534510612
1773426543098814720,2.390982444921974e-05,-7.435020233970135e-05,-0.009961501695215702
1773426543109274624,2.233987834188156e-05,-7.075306348269805e-05,-0.0099641103297472
1773426543119636224,2.571896220615599e-05,-7.494945748476312e-05,-0.00995329488068819
1773426543129900544,2.085378946503624e-05,-7.701520371483639e-05,-0.009948087856173515
1773426543140071424,2.326972753508016e-05,-6.308136653387919e-05,-0.009964989498257637
1773426543150142464,2.245451651106123e-05,-7.142567483242601e-05,-0.009964786469936371
1773426543160116224,2.291246710228734e-05,-6.251547165447846e-05,-0.009966205805540085
1773426543169993728,2.387010499660391e-05,-6.880040018586442e-05,-0.009963396936655045
1773426543179774464,2.490965925971977e-05,-6.70406807330437e-05,-0.009955568239092827
1773426543189955072,2.473348649800755e-05,-7.81034177634865e-05,-0.00996087584644556
1773426543200368384,3.050297709705774e-05,-6.099851816543378e-05,-0.00996820442378521
1773426543210684672,2.622671672725119e-05,-6.516163557535037e-05,-0.009959773160517216
1773426543220905728,2.375210533500649e-05,-6.759808456990868e-05,-0.009959952905774117
1773426543231029760,2.014835808950011e-05,-7.763966277707368e-05,-0.009955227375030518
1773426543241056512,2.177876922360156e-05,-6.961263716220856e-05,-0.009957244619727135
1773426543250988032,2.567208503023721e-05,-6.523332558572292e-05,-0.009956754744052887
1773426543260823040,2.802643939503469e-05,-6.54026007396169e-05,-0.009964484721422195
1773426543270644736,2.392087662883569e-05,-6.545730138896033e-05,-0.009958417154848576
1773426543281107712,2.5711371563375e-05,-6.864651368232444e-05,-0.009965855628252029
1773426543291472896,2.147755003534257e-05,-7.062565418891609e-05,-0.009955981746315956
1773426543301739520,2.221985596406739e-05,-6.414859672077e-05,-0.009961126372218132
1773426543311906816,2.312529250048101e-05,-7.252561772475019e-05,-0.009962713345885277
1773426543321980416,2.299732477695215e-05,-6.05803907092195e-05,-0.009952199645340443
1773426543331959808,2.714992479013745e-05,-5.984392191749066e-05,-0.009967952035367489
1773426543341842176,2.110659806930926e-05,-7.762948371237144e-05,-0.00996291171759367
1773426543351627776,2.24036139115924e-05,-7.16961149009876e-05,-0.009956717491149902
1773426543361811712,3.106502845184878e-05,-6.71799571136944e-05,-0.009949917905032635
1773426543372226048,2.492894418537617e-05,-6.972780101932585e-05,-0.009957951493561268
1773426543382539776,2.5111894501606e-05,-6.909338844707236e-05,-0.009958121925592422
1773426543392755456,2.546455471019726e-05,-6.947362271603197e-05,-0.009962908923625946
1773426543402873856,2.180460433010012e-05,-6.556717562489212e-05,-0.009965788573026657
