Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1773427747770151936,0.999998,0.001999,-0.000074,0.000365,1
1773427747870151936,0.999998,0.001999,-0.000066,0.000367,1
1773427747970151936,0.999998,0.001998,-0.000076,0.000367,1
1773427748070151936,0.999998,0.002012,-0.000068,0.000379,1
1773427748170151680,0.999969,0.002177,-0.000084,0.007546,1
1773427748270151680,0.999960,0.004147,-0.001007,0.007828,1
1773427748370151424,0.999955,0.003045,-0.000563,0.008930,1
1773427748469950800,0.999952,0.004660,-0.001221,0.008535,1
1773427748569950720,0.999822,0.017848,-0.001274,0.006014,1
1773427748669950720,0.999240,0.036280,-0.001329,0.014216,1
1773427748769950464,0.998920,0.038242,-0.001061,0.026361,1
1773427748869950464,0.999539,0.018509,-0.001237,0.024028,1
1773427748969950464,0.999974,0.002945,-0.001012,0.006438,1
1773427749069950208,0.999984,0.001499,-0.000463,0.005511,1
1773427749169950208,0.999984,0.001537,-0.000468,0.005470,1
1773427749269950208,0.999982,0.001475,-0.000446,0.005873,1
1773427749369813500,0.999982,0.001430,-0.000425,0.005840,1
1773427749469813760,0.999982,0.001375,-0.000407,0.005793,1
1773427749569813760,0.999982,0.001327,-0.000394,0.005753,1
1773427749669813504,0.999983,0.001292,-0.000384,0.005714,1
1773427749769813504,0.999983,0.001268,-0.000367,0.005676,1
1773427749869813248,0.999983,0.001242,-0.000358,0.005646,1
1773427749969812992,0.999983,0.001203,-0.000343,0.005622,1
1773427750069812736,0.999984,0.001180,-0.000333,0.005587,1
1773427750169812480,0.999984,0.001163,-0.000329,0.005561,1
1773427750270248300,0.999984,0.001139,-0.000324,0.005532,1
1773427750370247424,0.999984,0.001090,-0.000306,0.005494,1
1773427750470246912,0.999985,0.001056,-0.000308,0.005458,1
1773427750570246400,0.999985,0.001026,-0.000295,0.005419,1
1773427750670245632,0.999985,0.001004,-0.000280,0.005393,1
1773427750770244864,0.999985,0.000974,-0.000274,0.005356,1
1773427750870244096,0.999985,0.000935,-0.000261,0.005329,1
1773427750970243072,0.999985,0.000925,-0.000268,0.005303,1
1773427751070242304,0.999986,0.000912,-0.000265,0.005271,1
1773427751169448600,0.999986,0.000896,-0.000262,0.005242,1
1773427751269448704,0.999986,0.000896,-0.000266,0.005212,1
1773427751369448704,0.999986,0.000895,-0.000257,0.005177,1
1773427751469448704,0.999986,0.000869,-0.000254,0.005149,1
1773427751569448704,0.999986,0.000863,-0.000249,0.005121,1
1773427751669448704,0.999987,0.000842,-0.000237,0.005091,1
1773427751769448704,0.999987,0.000836,-0.000236,0.005056,1
1773427751869448704,0.999987,0.000804,-0.000226,0.005025,1
1773427751969448704,0.999987,0.000781,-0.000228,0.005000,1
1773427752069413400,0.999987,0.000755,-0.000223,0.004975,1
1773427752169413120,0.999987,0.000728,-0.000214,0.004943,1
1773427752269412864,0.999988,0.000737,-0.000208,0.004922,1
1773427752369412608,0.999943,0.000731,-0.000183,0.010602,1
1773427752469413376,0.999596,0.000192,-0.000029,0.028412,1
1773427752569414144,0.999015,-0.002107,0.000218,0.044328,1
1773427752669414912,0.998809,-0.002170,0.000671,0.048738,1
1773427752769415680,0.998927,-0.001253,0.001163,0.046273,1
1773427752869416448,0.999363,-0.003094,0.001764,0.035512,1
1773427752970157900,0.999811,-0.000029,0.002385,0.019308,1
1773427753070158080,0.999914,-0.003674,0.003089,0.012216,1
1773427753170158080,0.999831,0.000728,0.003400,0.018064,1
1773427753270157824,0.999934,0.001532,0.003575,0.010833,1
1773427753370157824,0.999961,-0.004137,0.003795,0.006887,1
1773427753470157824,0.999947,-0.005749,0.003648,0.007695,1
1773427753570157824,0.999943,-0.005820,0.003466,0.008232,1
1773427753670157568,0.999944,-0.005795,0.003195,0.008265,1
1773427753770157312,0.999949,-0.005012,0.002991,0.008288,1
1773427753869991700,0.999866,-0.008958,0.002592,0.013429,1
1773427753969991680,0.999729,-0.011864,0.002355,0.019872,1
1773427754069991680,0.999735,-0.011306,0.002217,0.019945,1
1773427754169991680,0.999777,-0.008658,0.002095,0.019145,1
1773427754269992448,0.999867,-0.007621,0.002039,0.014264,1
1773427754369992192,0.999908,-0.006930,0.001977,0.011484,1
1773427754469992192,0.999920,-0.004636,0.001994,0.011641,1
1773427754569992192,0.999700,-0.003461,0.001869,0.024170,1
1773427754669991936,0.994096,-0.010937,0.000381,0.107948,1
1773427754769883500,0.977468,-0.028373,-0.004449,0.209123,1
1773427754869883392,0.957713,0.000381,0.001723,0.287719,1
1773427754969883392,0.936905,0.004035,0.002924,0.349548,1
1773427755069883136,0.915246,0.003876,0.003254,0.402865,1
1773427755169883136,0.908318,0.003379,0.003383,0.418253,1
1773427755269882880,0.895075,0.004072,0.003637,0.445882,1
1773427755369882624,0.867525,0.003886,0.003675,0.497366,1
1773427755469882624,0.843754,0.003383,0.003531,0.536707,1
1773427755569882368,0.818534,0.003091,0.003347,0.574440,1
1773427755669790300,0.802131,0.002918,0.003161,0.597133,1
1773427755769789952,0.785630,0.001899,0.002298,0.618690,1
1773427755869789952,0.778346,0.002064,0.002505,0.627827,1
1773427755969789696,0.785884,0.001108,0.001561,0.618371,1
1773427756069789440,0.778524,0.002313,0.002159,0.627607,1
1773427756169789184,0.770013,0.001716,0.001520,0.638024,1
1773427756269788928,0.761509,0.002084,0.001448,0.648150,1
