Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1773414770092023040,0.994688,0.002479,-0.000082,-0.102904,1
1773414770102278656,0.994688,0.002476,-0.000081,-0.102903,1
1773414770112434176,0.994688,0.002472,-0.000080,-0.102902,1
1773414770122494720,0.994689,0.002474,-0.000078,-0.102901,1
1773414770132462848,0.994689,0.002476,-0.000079,-0.102900,1
1773414770142333696,0.994688,0.002476,-0.000078,-0.102902,1
1773414770152109056,0.994689,0.002477,-0.000077,-0.102901,1
1773414770162204160,0.994688,0.002476,-0.000074,-0.102901,1
1773414770172614912,0.994689,0.002475,-0.000071,-0.102899,1
1773414770182924032,0.994689,0.002474,-0.000066,-0.102899,1
1773414770193133312,0.994689,0.002474,-0.000065,-0.102897,1
1773414770203245568,0.994689,0.002470,-0.000066,-0.102899,1
1773414770213262336,0.994689,0.002469,-0.000068,-0.102898,1
1773414770223181312,0.994689,0.002470,-0.000068,-0.102898,1
1773414770233003776,0.994689,0.002467,-0.000068,-0.102896,1
1773414770242813696,0.994689,0.002464,-0.000067,-0.102897,1
1773414770253279488,0.994689,0.002459,-0.000065,-0.102900,1
1773414770263644928,0.994689,0.002465,-0.000066,-0.102898,1
1773414770273915136,0.994689,0.002474,-0.000070,-0.102898,1
1773414770284086784,0.994689,0.002476,-0.000067,-0.102896,1
1773414770294158848,0.994689,0.002474,-0.000066,-0.102895,1
1773414770304135424,0.994689,0.002476,-0.000068,-0.102894,1
1773414770314018816,0.994689,0.002482,-0.000070,-0.102892,1
1773414770323818240,0.994689,0.002484,-0.000068,-0.102893,1
1773414770333928448,0.994689,0.002487,-0.000072,-0.102894,1
1773414770344344832,0.994689,0.002490,-0.000073,-0.102894,1
1773414770354657280,0.994689,0.002488,-0.000070,-0.102894,1
1773414770364869120,0.994689,0.002490,-0.000073,-0.102895,1
1773414770374983168,0.994689,0.002491,-0.000069,-0.102894,1
1773414770385005312,0.994689,0.002496,-0.000065,-0.102893,1
1773414770394928896,0.994689,0.002502,-0.000071,-0.102895,1
1773414770404755456,0.994689,0.002502,-0.000071,-0.102894,1
1773414770414570752,0.994689,0.002501,-0.000071,-0.102891,1
