Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1773414803814229760,0.999948,0.001365,0.000008,-0.010095,1
1773414803823965184,0.999948,0.001365,0.000008,-0.010088,1
1773414803833606656,0.999948,0.001366,0.000006,-0.010079,1
1773414803854209280,0.999948,0.001368,0.000003,-0.010063,1
1773414803864382464,0.999949,0.001368,0.000003,-0.010054,1
1773414803874456832,0.999949,0.001367,0.000002,-0.010045,1
1773414803884434432,0.999949,0.001367,-0.000002,-0.010037,1
1773414803894317824,0.999949,0.001366,-0.000004,-0.010029,1
1773414803904107008,0.999949,0.001369,-0.000004,-0.010023,1
1773414803913809664,0.999949,0.001367,-0.000002,-0.010015,1
1773414803923663360,0.999949,0.001364,-0.000003,-0.010007,1
1773414803933991936,0.999949,0.001361,-0.000003,-0.009997,1
1773414803944221440,0.999949,0.001359,-0.000005,-0.009990,1
1773414803954356736,0.999949,0.001355,-0.000006,-0.009979,1
1773414803964396288,0.999949,0.001354,-0.000003,-0.009972,1
1773414803974338560,0.999949,0.001352,-0.000005,-0.009966,1
1773414803984185856,0.999950,0.001350,-0.000005,-0.009958,1
1773414803993937920,0.999950,0.001346,-0.000006,-0.009951,1
1773414804003595520,0.999950,0.001350,-0.000006,-0.009945,1
1773414804013819648,0.999950,0.001352,-0.000007,-0.009937,1
1773414804024086784,0.999950,0.001356,-0.000006,-0.009935,1
1773414804034286848,0.999950,0.001359,-0.000009,-0.009927,1
1773414804044389376,0.999950,0.001359,-0.000011,-0.009918,1
1773414804054397440,0.999950,0.001359,-0.000013,-0.009913,1
1773414804064320768,0.999950,0.001363,-0.000009,-0.009904,1
1773414804074147584,0.999950,0.001368,-0.000009,-0.009893,1
1773414804083878912,0.999950,0.001370,-0.000010,-0.009885,1
1773414804093678336,0.999950,0.001372,-0.000010,-0.009875,1
1773414804104029952,0.999950,0.001375,-0.000014,-0.009867,1
1773414804114211072,0.999950,0.001378,-0.000017,-0.009859,1
1773414804124369920,0.999951,0.001380,-0.000020,-0.009850,1
1773414804134432512,0.999951,0.001380,-0.000026,-0.009842,1
1773414804144409344,0.999951,0.001382,-0.000030,-0.009831,1
1773414804154296320,0.999951,0.001377,-0.000031,-0.009825,1
1773414804164090112,0.999951,0.001377,-0.000033,-0.009817,1
1773414804173792000,0.999951,0.001380,-0.000035,-0.009808,1
1773414804183880960,0.999951,0.001379,-0.000036,-0.009800,1
1773414804194190080,0.999951,0.001380,-0.000034,-0.009791,1
1773414804204397824,0.999951,0.001377,-0.000036,-0.009786,1
1773414804214504704,0.999951,0.001376,-0.000035,-0.009781,1
1773414804224512512,0.999951,0.001378,-0.000035,-0.009774,1
1773414804234429440,0.999951,0.001376,-0.000037,-0.009767,1
1773414804244252160,0.999951,0.001382,-0.000039,-0.009758,1
1773414804253977600,0.999951,0.001383,-0.000039,-0.009751,1
1773414804263692032,0.999952,0.001385,-0.000040,-0.009742,1
1773414804274062080,0.999952,0.001382,-0.000041,-0.009734,1
1773414804284331776,0.999952,0.001384,-0.000043,-0.009727,1
1773414804294446848,0.999952,0.001386,-0.000044,-0.009718,1
1773414804304519424,0.999952,0.001386,-0.000042,-0.009710,1
1773414804314496000,0.999952,0.001392,-0.000044,-0.009703,1
1773414804324376064,0.999952,0.001392,-0.000043,-0.009694,1
1773414804334161152,0.999952,0.001391,-0.000045,-0.009684,1
1773414804343854336,0.999952,0.001389,-0.000044,-0.009677,1
1773414804353619968,0.999952,0.001389,-0.000045,-0.009667,1
1773414804363955456,0.999952,0.001391,-0.000046,-0.009657,1
1773414804374195200,0.999952,0.001388,-0.000046,-0.009650,1
1773414804384338688,0.999953,0.001385,-0.000044,-0.009640,1
1773414804394385408,0.999953,0.001384,-0.000050,-0.009631,1
1773414804404348928,0.999953,0.001382,-0.000051,-0.009623,1
1773414804414219008,0.999953,0.001383,-0.000051,-0.009614,1
1773414804423994880,0.999953,0.001383,-0.000052,-0.009607,1
1773414804433679872,0.999953,0.001385,-0.000053,-0.009597,1
1773414804443912960,0.999953,0.001384,-0.000053,-0.009589,1
1773414804454210816,0.999953,0.001386,-0.000051,-0.009583,1
1773414804464411648,0.999953,0.001386,-0.000050,-0.009575,1
1773414804474487552,0.999953,0.001387,-0.000052,-0.009568,1
1773414804484498688,0.999953,0.001387,-0.000052,-0.009558,1
1773414804494415616,0.999953,0.001385,-0.000056,-0.009551,1
1773414804504239360,0.999954,0.001386,-0.000059,-0.009543,1
1773414804513980160,0.999954,0.001387,-0.000061,-0.009531,1
1773414804523706112,0.999954,0.001389,-0.000063,-0.009520,1
1773414804534059008,0.999954,0.001389,-0.000063,-0.009513,1
1773414804544313344,0.999954,0.001389,-0.000064,-0.009506,1
1773414804554469888,0.999954,0.001392,-0.000062,-0.009499,1
1773414804564522240,0.999954,0.001392,-0.000063,-0.009491,1
1773414804574488576,0.999954,0.001391,-0.000065,-0.009483,1
1773414804584359168,0.999954,0.001389,-0.000066,-0.009474,1
1773414804594136320,0.999954,0.001392,-0.000062,-0.009466,1
1773414804603819264,0.999954,0.001392,-0.000059,-0.009461,1
1773414804613820416,0.999954,0.001392,-0.000059,-0.009450,1
1773414804624136704,0.999954,0.001390,-0.000060,-0.009444,1
1773414804634354688,0.999955,0.001387,-0.000062,-0.009435,1
1773414804654498560,0.999955,0.001381,-0.000067,-0.009416,1
1773414804664432640,0.999955,0.001377,-0.000067,-0.009409,1
1773414804674271232,0.999955,0.001374,-0.000064,-0.009399,1
1773414804684016640,0.999955,0.001370,-0.000061,-0.009392,1
