Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773412221350171136,1.828008748816501e-07,-5.736246748710983e-06,2.908838268922409e-06,-1.414001872035442e-06,-1.631916165933944e-05,-0.009955024346709251
1773412221359997952,1.007774130812322e-06,4.576766514219344e-06,3.180583462381037e-06,-1.181111429104931e-06,-1.948048884514719e-05,-0.009967183694243431
1773412221369731584,3.884599664161215e-06,-3.848914275295101e-06,3.396894044271903e-06,4.495934717851924e-06,-1.614406392036472e-05,-0.009954423643648624
1773412221379370752,-3.971206297137542e-06,-4.158150659350213e-06,2.007291186600924e-06,4.543639079201967e-06,-1.769899972714484e-05,-0.009953579865396023
1773412221389744896,1.521829972261912e-06,-3.392131702639745e-06,6.248820341170358e-07,-2.62159232988779e-06,-1.538623837404884e-05,-0.009965612553060055
1773412221400020736,-2.067144123429898e-06,-7.466126589861233e-06,2.124822231053258e-06,-2.125026867361157e-06,-1.743660322972573e-05,-0.009966133162379265
1773412221410198784,-6.412607490347e-06,-1.542399672871397e-06,3.536737040121807e-06,-5.224943834036821e-06,-2.10971793421777e-05,-0.009955176152288914
1773412221420261632,1.44473813179502e-06,-7.070715582813136e-06,1.80455424469983e-06,2.31123067351291e-06,-1.414673988620052e-05,-0.009944934397935867
1773412221430246400,2.197539060944109e-06,4.009031727036927e-06,2.659486654010834e-06,1.141360598921892e-06,-1.846032319008373e-05,-0.009963567368686199
1773412221440138752,-3.755804982574773e-06,-3.042530579477898e-06,3.797237923208741e-06,8.93022729542281e-07,-1.936680564540438e-05,-0.009966261684894562
1773412221449936128,-9.235355719283689e-06,-1.800387053663144e-06,3.601754542614799e-06,3.945903699786868e-06,-1.593108027009293e-05,-0.009958152659237385
1773412221459637760,3.960145022574579e-06,-7.003123755566776e-06,1.604604562999157e-06,4.55338249594206e-06,-1.919251553772483e-05,-0.009958157315850258
1773412221469410816,-1.454785206078668e-06,-1.049376464834495e-06,6.973148629185744e-06,-1.560581608828215e-06,-2.061510895146057e-05,-0.009958975948393345
1773412221479746816,5.485251222125953e-06,-2.331112455067341e-06,6.705229225190124e-06,-3.624289320214302e-06,-2.410574052191805e-05,-0.009964886121451855
1773412221489983232,-1.009126322060183e-06,-1.348002001577697e-06,1.541400138194149e-06,1.183070281740584e-07,-1.733227327349596e-05,-0.009953854605555534
1773412221500122368,6.961327017052099e-06,-1.838547291299619e-06,4.242266186338384e-06,1.086403358385724e-06,-1.764343505783472e-05,-0.009956061840057373
1773412221510157312,4.458097919268766e-06,-8.18997978058178e-06,2.381642389082117e-06,2.704692178667756e-06,-2.075567135761958e-05,-0.009969940409064293
1773412221520100352,-2.693768692552112e-06,-2.394795501459157e-06,6.047305305401096e-06,1.304352622355509e-06,-1.930305734276772e-05,-0.009968364611268044
1773412221529947648,-1.680431296335883e-06,-4.697526492236648e-06,7.127436219889205e-06,2.195340812249924e-06,-2.043454878730699e-05,-0.009953245520591736
