Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ
1773414803813768704,-7.237448244268307e-06,-2.269567812618334e-05,-0.009962764568626881,-4.532333264251065e-07,-2.739239107540925e-06,4.346152763901046e-06
1773414803823508480,-2.248036707896972e-06,-2.489219696144573e-05,-0.009955873712897301,-7.938309067867522e-07,3.673938522297249e-07,1.301459747082845e-06
1773414803833154560,-1.657302505009284e-06,-2.734598274400923e-05,-0.009971213527023792,7.64232709116186e-07,-4.279032509657554e-06,3.76577077076945e-06
1773414803853763072,-4.441683358891169e-06,-2.568482886999846e-05,-0.009969356469810009,2.968490662169643e-06,1.249623210242135e-06,1.973690359591274e-06
1773414803863938304,-6.870934157632291e-06,-2.089733061438892e-05,-0.009954879991710186,-1.067559082912339e-06,6.137863692856627e-07,3.384532192285405e-06
1773414803874017536,-6.979400495765731e-06,-2.287786628585309e-05,-0.00996575690805912,-2.619220367705566e-06,-2.532825646994752e-06,4.162878212810028e-06
1773414803883999232,2.435157739455462e-06,-2.519862027838826e-05,-0.009963765740394592,-7.221954660963092e-07,-7.062796612444799e-06,1.894695856208273e-06
1773414803893886208,-1.7659875766185e-06,-1.855792470450979e-05,-0.009961316362023354,-9.856742053671042e-07,-4.517368779488606e-06,2.124940010617138e-06
1773414803903678976,-1.666034563641006e-06,-2.168289393011946e-05,-0.009975944645702839,4.921374056721106e-06,7.099035315150104e-07,-2.192690772062633e-06
1773414803913385728,-3.611802640079986e-06,-1.989887641684618e-05,-0.009952625259757042,-4.646507022698643e-06,3.101561787843821e-06,1.834301201597555e-06
1773414803923162112,-5.358998805604642e-06,-2.765732278930955e-05,-0.009965125471353531,-7.545318567281356e-06,-1.855516984505812e-06,1.927370249177329e-06
1773414803933495552,-6.050663614587393e-07,-1.808626075217035e-05,-0.009955087676644325,-5.517372301255818e-06,-3.763437632642308e-07,5.234935542830499e-06
1773414803943729920,-5.349054390535457e-06,-2.26055271923542e-05,-0.009965210221707821,-4.158742740401067e-06,-3.620896677603014e-06,1.374370867779362e-06
1773414803953870336,-1.989292968573864e-06,-2.419792508590035e-05,-0.009964245371520519,-9.746483556227759e-06,-8.076111726040835e-07,6.148601642053109e-06
1773414803963914240,4.964675213159353e-07,-2.138017953257076e-05,-0.009956987574696541,-2.791252882161643e-06,4.465840447664959e-06,-2.149715427890442e-08
1773414803973861120,2.166265630876296e-06,-2.854290687537286e-05,-0.009967071935534477,-3.902670414390741e-06,-3.107920520051266e-06,-1.310241373175813e-06
1773414803983713024,-2.48360083787702e-06,-2.553739250288345e-05,-0.009952864609658718,-5.017179319111165e-06,-9.864988896879368e-07,1.070227312993666e-06
1773414803993469696,2.090710495394887e-06,-2.470896106387954e-05,-0.009966513141989708,-6.722681973769795e-06,-8.412815191150003e-07,-1.86422525416674e-07
1773414804003131904,-2.02996102416364e-06,-2.36760351981502e-05,-0.009960196912288666,6.088260761316633e-06,-6.190269346006971e-07,-1.482468633184908e-06
1773414804013360128,-3.000539663844393e-06,-2.664530620677397e-05,-0.009963500313460827,3.330249683131115e-06,-2.246043322884361e-06,1.303058752455399e-06
1773414804023660544,-7.158670541684842e-06,-2.29258366744034e-05,-0.009968189522624016,7.791502866894007e-06,2.014326128119137e-06,-8.474430615024175e-06
1773414804033865216,-1.869021275524574e-06,-2.561207293183543e-05,-0.009947002865374088,5.315628186508548e-06,-5.859047632839065e-06,3.782081989811559e-07
1773414804043972096,-8.220611562137492e-06,-2.832285645126831e-05,-0.009967918507754803,-1.433292737829106e-07,-2.705588485696353e-06,3.664106770884246e-06
1773414804053984000,1.557097220938886e-06,-2.764665623544715e-05,-0.009952929802238941,4.774834678755724e-07,-3.745868980331579e-06,-3.572978130250704e-06
1773414804063910912,5.90651836773759e-07,-2.547055919421837e-05,-0.009970248676836491,7.138730325095821e-06,8.178465577657335e-06,4.729577085527126e-06
1773414804073741824,-3.118144149993896e-06,-2.743104050750844e-05,-0.009962408803403378,9.674358807387762e-06,6.061767408027663e-07,6.726657375111245e-06
1773414804083477248,-4.02290970669128e-06,-2.116432551702019e-05,-0.009961552917957306,2.791696033455082e-06,-2.592453029137687e-06,2.98422514788399e-06
1773414804093280768,-1.640118284740311e-06,-2.202006726292893e-05,-0.009964926168322563,5.071873601991683e-06,-6.254333015931479e-07,6.077522812120151e-06
1773414804103635456,-2.143183337466326e-06,-2.59642765740864e-05,-0.009949745610356331,3.678774646687089e-06,-7.774805453664158e-06,7.106264661160822e-07
1773414804113844992,-3.878077677654801e-06,-2.267579657200258e-05,-0.009969691745936871,5.513539690582547e-06,-4.589193849824369e-06,2.565836439316627e-06
1773414804124006912,-1.931015845002548e-07,-2.220134410890751e-05,-0.009955429472029209,5.04852050653426e-06,-5.940859864494996e-06,4.592220193444518e-06
1773414804134073088,-2.209564627264626e-06,-2.690030669327825e-05,-0.00996593851596117,-1.656656309023674e-06,-1.337010507995728e-05,1.431795567441441e-06
1773414804144053248,-4.038106453663204e-06,-1.986500865314156e-05,-0.00996366236358881,5.067033271188848e-06,-7.02429679222405e-06,7.943483979033772e-06
1773414804153943808,-3.08468429466302e-06,-1.961210546141956e-05,-0.009947058744728565,-1.039526887325337e-05,-2.136142256858875e-06,-2.945886080851778e-06
1773414804163740928,-6.320940428850008e-06,-2.470358776918147e-05,-0.009966431185603142,-2.056364110103459e-06,-3.022061036972445e-06,3.202421567038982e-06
1773414804173445888,1.045921180775622e-06,-2.553443300712388e-05,-0.009953102096915245,6.437160209316062e-06,-4.686768534156727e-06,3.912740794476122e-06
1773414804183459072,-2.73419664154062e-06,-2.775549728539772e-05,-0.009973225183784962,-1.918552698043641e-06,-1.881396087810572e-06,8.934978836805385e-07
1773414804193770496,-2.111510639224434e-06,-2.318390943401027e-05,-0.009960750117897987,1.649886144150514e-06,4.768334292748477e-06,3.599014917199383e-06
1773414804203960064,-4.994929895474343e-06,-2.351281909795944e-05,-0.009957881644368172,-6.707994998578215e-06,-5.049255378253292e-06,-3.057614549106802e-06
1773414804214071040,5.035222727656219e-08,-2.1641413695761e-05,-0.009965189732611179,-1.775814098436967e-06,2.204098336733296e-06,-3.701805553646409e-06
1773414804224082944,1.080999822988815e-06,-1.740032166708261e-05,-0.009950460866093636,2.232680571978563e-06,9.949498007699731e-07,-1.737132151902188e-06
1773414804234003200,-4.036013706354424e-06,-2.385420884820633e-05,-0.009969678707420826,-3.116973402939038e-06,-5.013157078792574e-06,1.589441353644361e-06
1773414804243829760,-6.201268661243375e-06,-1.82221774593927e-05,-0.009956341236829758,1.03787633634056e-05,-3.479144879747764e-06,3.804171910815057e-06
1773414804253559040,1.815059476939496e-06,-2.531169957364909e-05,-0.009972150437533855,2.221223894594004e-06,1.87253377248453e-07,-5.399446649789752e-07
1773414804263194112,-1.269675294679473e-06,-2.951034548459575e-05,-0.009956410154700279,2.851632189049269e-06,-9.362379955746292e-07,4.149127562413923e-06
1773414804273568768,-2.913282060035272e-06,-1.808016349968966e-05,-0.009953546337783337,-6.623363333346788e-06,-2.389969949945225e-06,1.414562575519085e-06
1773414804283842816,-5.837686785525875e-06,-2.932255483756308e-05,-0.009969552978873253,5.531972419703379e-06,-3.515879370752373e-06,6.72249313993234e-07
1773414804293961472,-1.349889316770714e-06,-2.531435166019946e-05,-0.009951896034181118,2.796998387566418e-06,-1.964318926184205e-06,2.393500153630157e-06
1773414804304038656,-4.699078090197872e-06,-2.38608117797412e-05,-0.009975430555641651,3.968459338921093e-07,3.38506038133346e-06,2.223331648565363e-06
1773414804314020096,-6.658613074250752e-06,-2.108868284267373e-05,-0.009960022754967213,1.16421570055536e-05,-3.805217829722096e-06,2.144510631296725e-07
1773414804323904768,1.922971023304854e-06,-2.470508661644999e-05,-0.009958760812878609,-1.730579697323265e-06,2.162023520213552e-06,3.513361889417865e-06
1773414804333693952,-4.82138420920819e-06,-2.205691271228716e-05,-0.009952864609658718,-2.748222414084012e-06,-3.646910727184149e-06,6.863734597573057e-06
1773414804343391488,3.055498609683127e-06,-2.649490124895237e-05,-0.009963362477719784,-4.404143965075491e-06,1.463057401451806e-06,-9.132063105710131e-09
1773414804353161728,2.793810381263029e-06,-2.572531411715318e-05,-0.009971527382731438,-3.186840160651627e-07,-2.043946096819127e-06,6.29849819233641e-06
1773414804363500544,1.103326212614775e-07,-2.214737833128311e-05,-0.009956897236406803,3.547620508470573e-06,-1.812507662179996e-06,4.913518296234543e-06
1773414804373745408,1.825428398660733e-06,-2.236001637356821e-05,-0.009969579055905342,-5.013455393054755e-06,2.524716364860069e-07,1.211359176522819e-06
1773414804383892224,-1.725169795463444e-06,-2.640444108692463e-05,-0.009957632049918175,-6.31013244856149e-06,3.980707788286963e-06,4.47046795670758e-06
1773414804393944064,-3.920516064681578e-06,-2.205941746069584e-05,-0.009959782473742962,-3.232570634281728e-06,-1.21926968859043e-05,4.453315796126844e-06
1773414804403910912,-8.853025065036491e-06,-2.914313336077612e-05,-0.009962992742657661,-3.771918272832409e-06,-1.796084916350082e-06,1.318016074947082e-06
1773414804413784576,-3.084431909883278e-06,-1.990187411138322e-05,-0.009959720075130463,6.177427280817938e-07,1.186746089842927e-06,4.57036276202416e-06
1773414804423564544,-4.630871444533113e-06,-2.246313488285523e-05,-0.00996942725032568,1.371945700157085e-06,-2.963821771118091e-06,7.50174194763531e-07
1773414804433253376,-2.457826212776126e-06,-2.467390550009441e-05,-0.00995052233338356,3.49687684320088e-06,-1.341795496045961e-06,5.357616828405298e-06
1773414804443410944,-3.76531920665002e-06,-2.204980046371929e-05,-0.00996128935366869,-2.493937927283696e-06,1.044581878772988e-07,1.4517687532134e-06
1773414804453713408,-5.191353693589917e-07,-2.654915442690253e-05,-0.009953790344297886,2.728897243287065e-06,4.614280442183372e-06,-1.125199560192414e-06
1773414804463919104,3.722880819623242e-06,-2.694625800359063e-05,-0.009961207397282124,5.957699045211484e-07,1.344215434073703e-06,8.400172077926982e-07
1773414804473985280,1.522242541796004e-06,-2.410773595329374e-05,-0.009968176484107971,1.266692265744496e-06,-3.23249969369499e-06,1.355085714749293e-06
1773414804484001280,-1.701324435998686e-06,-2.079168552882038e-05,-0.009946142323315144,6.523987394757569e-07,-2.477333396200265e-07,4.784199063578853e-06
1773414804493922816,-5.38702215635567e-06,-2.351381044718437e-05,-0.009966021403670311,-4.611564236256527e-06,-8.560530659451615e-06,9.580866162650636e-07
1773414804503751168,-2.70270902547054e-07,-2.274924554512836e-05,-0.00995409581810236,2.110624564011232e-06,-5.318982857716037e-06,1.234776846104069e-06
1773414804513496320,-4.801345312444028e-06,-2.164519173675217e-05,-0.009967099875211716,1.049103843797639e-06,-5.003636488254415e-06,1.116624298447277e-05
1773414804523146752,-1.242644884769106e-07,-2.24765626626322e-05,-0.009963390417397022,3.8116065752547e-06,-2.233683972008293e-06,7.10468793840846e-06
1773414804533504768,1.445939119548711e-06,-1.949756369867828e-05,-0.009959202259778976,-4.53436086900183e-07,-1.606305772838823e-06,1.150122443505097e-06
1773414804543763968,-2.154760750272544e-06,-2.699706601561047e-05,-0.009975417517125607,-7.800804269209038e-07,-2.797744400595548e-07,-8.632290473542525e-07
1773414804553925120,-3.349457074364182e-06,-2.408836735412478e-05,-0.009947490878403187,5.509084076038562e-06,3.635813072833116e-06,9.916168437484885e-07
1773414804563982336,-5.913188033446204e-06,-2.407608553767204e-05,-0.009966246783733368,-7.98147141267691e-07,-1.955325387825724e-06,1.800450945665943e-06
1773414804573953536,-3.126094952676794e-06,-2.32488146139076e-05,-0.009951354004442692,-4.623050813279406e-07,-4.895172878605081e-06,8.642473403597251e-07
1773414804583828992,-1.143063855124637e-06,-2.149477586499415e-05,-0.009967309422791004,-5.656963367073331e-06,-3.510945418838674e-07,3.936137090931879e-06
1773414804593611520,-2.205419832534972e-06,-2.716558810789138e-05,-0.009968450292944908,5.742369467043318e-06,6.310982371360296e-06,3.000126980623463e-06
1773414804603299328,-2.114455583068775e-06,-2.738086368481163e-05,-0.009958121925592422,-6.039481377229095e-07,7.078111593727954e-06,-3.388313871255377e-06
1773414804613223424,-4.012536010122858e-06,-2.701895027712453e-05,-0.009965403005480766,-1.921630996548629e-07,-8.770945214564563e-07,6.998478511377471e-06
1773414804623545600,-2.492267867637565e-06,-2.181021227443125e-05,-0.009943824261426926,-3.5662430946104e-06,-8.654826046949893e-07,-2.103796532537672e-06
1773414804633768704,-2.811628974086489e-06,-2.66210081463214e-05,-0.009971031919121742,-6.264532657951349e-06,-3.994726739620091e-06,5.16774480274762e-06
1773414804653924352,1.097901190405537e-06,-2.720157681324054e-05,-0.009964068420231342,-4.760075626109028e-06,-6.578789907507598e-06,6.701185611746041e-06
1773414804663864064,-2.845991730282549e-06,-2.265059629280586e-05,-0.009963508695363998,-8.388826245209202e-06,-2.244910319859628e-07,3.783419231240259e-07
1773414804673708032,2.308612920387532e-06,-2.256858169857878e-05,-0.00995398685336113,-7.478135103156092e-06,5.985654297546716e-06,4.856138275499688e-06
1773414804683459072,-6.595495506189764e-06,-2.953016155515797e-05,-0.009980440139770508,-8.267275006801356e-06,6.558747827511979e-06,-6.18900799054245e-07
1773414804693115648,-1.198128870782966e-06,-2.066974593617488e-05,-0.009946404956281185,-4.850224740948761e-06,1.507382648924249e-06,1.421992692485219e-06
1773414804703333632,-4.39706400356954e-06,-2.671704896783922e-05,-0.009973164647817612,-1.042713665810879e-05,-2.202255700467504e-06,-2.881814907595981e-06
1773414804713619712,-4.828390501643298e-06,-2.725498416111805e-05,-0.009956946596503258,-1.141663415182848e-05,-2.489605776645476e-06,1.197509391204221e-06
1773414804723808768,-2.677748170754057e-06,-2.305797352164518e-05,-0.00995695311576128,-7.104085398168536e-06,-4.756400358019164e-07,-2.044277607637923e-06
1773414804733901056,-6.76325680615264e-06,-2.541591311455704e-05,-0.009962987154722214,4.049676363138133e-07,-1.321457375524915e-06,6.763550004507124e-07
1773414804743903488,2.05645687856304e-06,-2.258451058878563e-05,-0.009947238489985466,-1.201850318466313e-05,-8.98675079952227e-06,1.067866492121539e-06
1773414804753811200,-4.388892648421461e-06,-2.444658457534388e-05,-0.009978780522942543,-5.233745469013229e-06,1.79380322151701e-07,-6.324515311462164e-07
1773414804763625216,-5.232295279711252e-06,-2.341857543797232e-05,-0.009952658787369728,-2.9026134598098e-06,-1.074540023182635e-06,1.685904294390639e-06
1773414804773347584,-8.223379950322851e-07,-1.862782482930925e-05,-0.009963597171008587,3.406901896596537e-06,-5.087622866994934e-06,8.166596671799198e-06
1773414804783139328,-2.731160748226102e-06,-3.005906364705879e-05,-0.00995485857129097,6.749171006958932e-06,-1.214482736600075e-08,-1.002404474093055e-06
1773414804793483776,-7.056535650917795e-06,-1.999291271204129e-05,-0.009958473965525627,-3.90416289519635e-06,-3.282744955868111e-06,-7.592333872707968e-07
1773414804803727872,-2.455317371641286e-06,-2.498581852705684e-05,-0.009967426769435406,-5.040430096414639e-06,1.993867726923781e-06,4.375642390641588e-07
1773414804813878528,4.533846549747977e-06,-2.211855826317333e-05,-0.009950069710612297,9.539719485474052e-07,-6.997780701567535e-07,-9.906211744237226e-07
1773414804823929088,-4.813703526451718e-06,-2.455896174069494e-05,-0.009978849440813065,5.727349616790889e-06,2.526864136598306e-06,3.30255602420948e-06
