Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1773073609688229120,0.997541,0.032988,0.057242,-0.023387,1
1773073609698941952,0.997541,0.032989,0.057239,-0.023388,1
1773073609709551872,0.997541,0.032990,0.057238,-0.023385,1
1773073609720065024,0.997541,0.032993,0.057238,-0.023387,1
1773073609730480896,0.997541,0.032989,0.057235,-0.023383,1
1773073609740796416,0.997542,0.032983,0.057236,-0.023384,1
1773073609751015936,0.997542,0.032980,0.057233,-0.023384,1
1773073609761138176,0.997542,0.032981,0.057235,-0.023385,1
1773073609771163904,0.997541,0.032982,0.057239,-0.023386,1
1773073609781093888,0.997541,0.032985,0.057240,-0.023387,1
1773073609790931712,0.997541,0.032988,0.057242,-0.023387,1
1773073609800674560,0.997541,0.032993,0.057243,-0.023389,1
1773073609810324480,0.997541,0.032990,0.057244,-0.023388,1
1773073609819913472,0.997541,0.032990,0.057247,-0.023387,1
1773073609829414912,0.997541,0.032984,0.057248,-0.023387,1
1773073609838825216,0.997541,0.032981,0.057251,-0.023388,1
1773073609848438272,0.997541,0.032982,0.057252,-0.023387,1
1773073609859120128,0.997541,0.032982,0.057254,-0.023389,1
1773073609869700608,0.997540,0.032987,0.057254,-0.023388,1
1773073609880184832,0.997540,0.032989,0.057257,-0.023387,1
1773073609890567680,0.997540,0.032995,0.057258,-0.023388,1
1773073609900851968,0.997540,0.032996,0.057257,-0.023386,1
1773073609911037696,0.997540,0.032997,0.057257,-0.023388,1
1773073609921124864,0.997540,0.033000,0.057256,-0.023391,1
1773073609931115520,0.997540,0.033004,0.057257,-0.023392,1
1773073609941021440,0.997540,0.033003,0.057256,-0.023391,1
1773073609950847488,0.997539,0.033006,0.057259,-0.023393,1
1773073609960580864,0.997539,0.033005,0.057260,-0.023393,1
1773073609970222336,0.997539,0.033003,0.057262,-0.023392,1
1773073609979773440,0.997539,0.033002,0.057264,-0.023391,1
1773073609989233408,0.997540,0.033000,0.057260,-0.023391,1
1773073609998602752,0.997540,0.032999,0.057258,-0.023391,1
1773073610008618752,0.997540,0.032996,0.057256,-0.023390,1
1773073610019269120,0.997540,0.032992,0.057253,-0.023392,1
1773073610029819648,0.997540,0.032992,0.057250,-0.023392,1
1773073610040270080,0.997540,0.032992,0.057248,-0.023392,1
1773073610050619136,0.997541,0.032993,0.057245,-0.023391,1
1773073610060870656,0.997541,0.032992,0.057244,-0.023391,1
1773073610071022336,0.997541,0.032991,0.057247,-0.023391,1
1773073610081088512,0.997541,0.032991,0.057246,-0.023387,1
1773073610091070720,0.997541,0.032993,0.057245,-0.023385,1
1773073610100958208,0.997541,0.032995,0.057247,-0.023385,1
1773073610110750976,0.997540,0.032998,0.057250,-0.023384,1
1773073610120450048,0.997540,0.032998,0.057250,-0.023384,1
1773073610130055936,0.997540,0.032995,0.057250,-0.023383,1
1773073610139569408,0.997541,0.032992,0.057251,-0.023382,1
1773073610148994560,0.997540,0.032994,0.057252,-0.023382,1
1773073610158328832,0.997540,0.032990,0.057255,-0.023382,1
1773073610168762112,0.997540,0.032989,0.057254,-0.023383,1
1773073610179393024,0.997541,0.032987,0.057253,-0.023383,1
1773073610189922816,0.997541,0.032984,0.057252,-0.023386,1
1773073610200351744,0.997540,0.032989,0.057254,-0.023388,1
1773073610210685696,0.997540,0.032992,0.057253,-0.023389,1
1773073610220926976,0.997540,0.032993,0.057257,-0.023390,1
1773073610231070464,0.997540,0.032993,0.057258,-0.023391,1
1773073610241117696,0.997540,0.032993,0.057255,-0.023392,1
1773073610251070464,0.997540,0.032990,0.057256,-0.023393,1
1773073610260927488,0.997540,0.032989,0.057254,-0.023393,1
1773073610270690560,0.997540,0.032992,0.057252,-0.023395,1
1773073610280363264,0.997540,0.032993,0.057252,-0.023395,1
1773073610289942784,0.997540,0.032994,0.057250,-0.023397,1
1773073610299430912,0.997540,0.032998,0.057248,-0.023398,1
1773073610308834304,0.997540,0.033002,0.057244,-0.023398,1
