Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1773074089684481280,0.997476,0.048857,0.051506,0.001627,1
1773074089694005504,0.997475,0.048831,0.051543,0.001542,1
1773074089703437056,0.997475,0.048820,0.051563,0.001455,1
1773074089712776192,0.997474,0.048833,0.051563,0.001366,1
1773074089722781696,0.997474,0.048830,0.051574,0.001266,1
1773074089733444608,0.997473,0.048840,0.051581,0.001166,1
1773074089744008448,0.997472,0.048864,0.051574,0.001069,1
1773074089754471424,0.997474,0.048854,0.051563,0.000963,1
1773074089764832512,0.997475,0.048841,0.051557,0.000854,1
1773074089775094016,0.997474,0.048861,0.051552,0.000749,1
1773074089785263104,0.997475,0.048866,0.051538,0.000643,1
1773074089795335424,0.997477,0.048837,0.051522,0.000531,1
1773074089805311488,0.997479,0.048818,0.051508,0.000423,1
1773074089815192832,0.997478,0.048843,0.051493,0.000314,1
1773074089824979200,0.997479,0.048837,0.051482,0.000199,1
1773074089834671104,0.997481,0.048801,0.051488,0.000083,1
1773074089844272384,0.997481,0.048802,0.051485,-0.000023,1
1773074089853781760,0.997480,0.048815,0.051490,-0.000128,1
1773074089863199744,0.997480,0.048785,0.051513,-0.000245,1
1773074089872526848,0.997479,0.048762,0.051547,-0.000354,1
1773074089882969600,0.997477,0.048785,0.051565,-0.000456,1
1773074089893612544,0.997477,0.048770,0.051590,-0.000568,1
1773074089904154368,0.997477,0.048733,0.051615,-0.000680,1
1773074089914597120,0.997476,0.048738,0.051627,-0.000783,1
1773074089924940800,0.997474,0.048773,0.051628,-0.000902,1
1773074089935185408,0.997476,0.048746,0.051624,-0.001029,1
1773074089945338368,0.997475,0.048741,0.051636,-0.001146,1
1773074089955392256,0.997472,0.048809,0.051638,-0.001264,1
1773074089965349120,0.997469,0.048843,0.051655,-0.001395,1
1773074089975211008,0.997468,0.048840,0.051677,-0.001528,1
1773074089984977664,0.997465,0.048886,0.051673,-0.001654,1
1773074089994649600,0.997462,0.048965,0.051654,-0.001785,1
1773074090004227072,0.997463,0.048958,0.051653,-0.001926,1
1773074090013712640,0.997463,0.048941,0.051648,-0.002062,1
1773074090023106048,0.997459,0.049031,0.051636,-0.002195,1
1773074090032558592,0.997456,0.049088,0.051636,-0.002340,1
1773074090043283200,0.997457,0.049068,0.051625,-0.002485,1
1773074090053902848,0.997455,0.049125,0.051616,-0.002623,1
1773074090064418304,0.997451,0.049204,0.051593,-0.002767,1
1773074090074838784,0.997452,0.049212,0.051569,-0.002920,1
1773074090085160704,0.997451,0.049237,0.051546,-0.003068,1
