FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:deltaVelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:estAccelBiasY,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasZ,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasXUncert,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasYUncert,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasZUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasXUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasYUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasZUncert,Timeseries,,,,,,,
inertial-6286.188861:estAccelBiasX,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasY,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasX,Timeseries,,,,,,,
inertial-6286.188861:estGyroBiasZ,Timeseries,,,,,,,
inertial-6286.188861:timeInfo_deltaTime_ahrsImu,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,200Hz,,,,,,

DATA_START
Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:estAccelBiasY,inertial-6286.188861:estAccelBiasZ,inertial-6286.188861:estGyroBiasXUncert,inertial-6286.188861:estGyroBiasYUncert,inertial-6286.188861:estGyroBiasZUncert,inertial-6286.188861:estAccelBiasXUncert,inertial-6286.188861:estAccelBiasYUncert,inertial-6286.188861:estAccelBiasZUncert,inertial-6286.188861:estAccelBiasX,inertial-6286.188861:estGyroBiasY,inertial-6286.188861:estGyroBiasX,inertial-6286.188861:estGyroBiasZ,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ
0.000000000,2.726187994994689e-05,-2.794099782477133e-05,-0.004981191363185644,-2.11018758022874e-07,7.339992862398503e-07,-3.887497769028414e-06,,,,,,,,,,,,,0.005,0.00550887593999505,-0.005227575078606606,-0.9962964653968811
0.004911104,2.54047590715345e-05,-2.424993363092653e-05,-0.004983299877494574,1.692751993687125e-06,-3.467627038844512e-06,3.715009810889569e-08,,,,,,,,,,,,,0.005,0.005316105205565691,-0.005070414394140244,-0.9964106678962708
0.009799936,2.513408981030807e-05,-2.5606414055801e-05,-0.004973822273313999,-1.001683017420874e-06,2.618601001813659e-06,-1.189195359074802e-06,,,,,,,,,,,,,0.005,0.005211166106164455,-0.005083483178168535,-0.9956414103507996
0.014664448,2.77771341643529e-05,-2.181522722821683e-05,-0.004976744297891855,-5.808035894006025e-06,3.916592049790779e-06,-1.20421123028791e-06,,,,,,,,,,,,,0.005,0.005379343871027231,-0.004750992637127638,-0.9955624938011169
0.019505920,2.504450458218344e-05,-2.424902595521417e-05,-0.004980043973773718,-2.272337724207318e-06,-5.322565357346321e-07,-1.51237043155561e-06,,,,,,,,,,,,,0.005,0.005199451930820942,-0.004800583235919476,-0.9957298040390015
0.024326911,2.917863457696512e-05,-2.739180490607396e-05,-0.004982192069292068,-1.914325594043476e-06,-2.747214466580772e-06,1.433428451491636e-06,,,,,,,,,,,,,0.005,0.005498046055436134,-0.005091965198516846,-0.9960367679595947
0.029126400,2.805216354317963e-05,-2.409430453553796e-05,-0.004982249345630407,-5.343503744370537e-06,-6.769436822651187e-06,-3.835079951386433e-07,,,,,,,,,,,,,0.005,0.005533251445740461,-0.004963226616382599,-0.9962457418441772
0.033903360,2.674621464393567e-05,-2.09012196137337e-05,-0.00497962161898613,2.762980955139938e-07,-2.869690263196389e-08,1.721929720588378e-06,,,,,,,,,,,,,0.005,0.005445495247840881,-0.004598136525601149,-0.9961206912994385
0.038856193,2.715947630349547e-05,-2.51214351010276e-05,-0.004986132960766554,-2.537025878268651e-08,3.110201760136988e-06,2.821341809067235e-07,,,,,,,,,,,,,0.005,0.005398121662437916,-0.004814689047634602,-0.9966194033622742
0.044082433,2.785441938613076e-05,-2.295928788953461e-05,-0.004977693315595388,1.693168201200024e-06,-5.596029382104462e-07,-6.003796443110332e-06,,,,,,,,,,,,,0.005,0.005487863440066576,-0.004705625120550394,-0.9960997700691223
0.049284864,2.775251778075472e-05,-2.393382055743132e-05,-0.004979823715984821,-7.088661391208007e-07,-2.881083673855755e-07,-2.923865622506128e-06,,,,,,,,,,,,,0.005,0.005488259717822075,-0.004740794189274311,-0.9960528612136841
0.054462463,2.494215186743531e-05,-2.413232141407207e-05,-0.004980744794011116,4.056672423757846e-06,8.702488116796303e-07,1.047267573994759e-06,,,,,,,,,,,,,0.005,0.005292720161378384,-0.004799725022166967,-0.9960722327232361
0.059613951,2.836104613379575e-05,-2.281234446854796e-05,-0.004979624412953854,1.922022875078255e-06,-2.101235395457479e-06,1.095774564419116e-06,,,,,,,,,,,,,0.005,0.005442665424197912,-0.004672680981457233,-0.9959895014762878
0.064740352,2.60309134318959e-05,-2.152982597181108e-05,-0.004983094520866871,-1.811029733289615e-06,-1.656434506003279e-06,-1.734454372126493e-06,,,,,,,,,,,,,0.005,0.005359371658414602,-0.004516275599598885,-0.9962643980979919
0.069842435,2.69150023086695e-05,-2.364076317462604e-05,-0.004979708697646856,-1.073714429367101e-06,2.771776280496852e-06,2.839666876752744e-06,,,,,,,,,,,,,0.005,0.005354480352252722,-0.00458097318187356,-0.9961254000663757
0.074919939,2.666786167537794e-05,-2.331517316633835e-05,-0.004983254242688417,-1.845689780566317e-06,-1.244770714947663e-06,1.430199176866154e-06,,,,,,,,,,,,,0.005,0.005361375398933887,-0.004647906869649887,-0.9963642358779907
0.079973377,2.549525925132912e-05,-2.345033499295823e-05,-0.00498046912252903,1.220298258886032e-06,-3.396203283045907e-06,3.219463167170034e-07,,,,,,,,,,,,,0.005,0.005244760308414698,-0.004654792603105307,-0.9962391257286072
0.085001469,2.90681236947421e-05,-2.316436621185858e-05,-0.004982222802937031,2.734739190657365e-08,-1.071972974386881e-06,-4.822244363822392e-07,,,,,,,,,,,,,0.005,0.005521412938833237,-0.004656371660530567,-0.9963656067848206
0.090005249,2.616717029013671e-05,-2.301847052876838e-05,-0.004980658181011677,4.958816589351045e-06,-7.278890166162455e-07,-1.180844265036285e-06,,,,,,,,,,,,,0.005,0.005365190096199512,-0.004661332815885544,-0.996259868144989
0.094984703,2.973495429614559e-05,-2.255124854855239e-05,-0.004977756179869175,2.242157535192746e-07,3.195218369000941e-06,4.291004643164342e-06,,,,,,,,,,,,,0.005,0.005644372198730707,-0.004590690601617098,-0.9959264993667603
0.099940352,2.620432314870413e-05,-2.546663381508552e-05,-0.004981890320777893,-3.505999757180689e-07,-7.450548196175077e-07,-1.017242425405129e-06,,,,,,,,,,,,,0.005,0.005467356648296118,-0.004812170285731554,-0.9961023926734924
0.104879871,2.909070644818712e-05,-2.529830453568138e-05,-0.004980196710675955,1.725252673168143e-06,6.311317406471062e-07,-1.258526367564627e-06,,,,,,,,,,,,,0.005,0.005642994306981564,-0.004930018913000822,-0.9960153102874756
0.109796353,2.677288284758106e-05,-2.286130984430201e-05,-0.004979371558874846,2.4034227408265e-06,-6.127768301666947e-07,-3.115118033747422e-06,,,,,,,,,,,,,0.005,0.005498474463820457,-0.004751797299832106,-0.9959976077079773
0.114688516,3.072138133575208e-05,-2.126186518580653e-05,-0.004982726648449898,-3.358469939485076e-06,-9.933564797393046e-07,2.585075208116905e-06,,,,,,,,,,,,,0.005,0.005779665894806385,-0.004515322390943766,-0.996220588684082
0.119557120,2.547126678109635e-05,-2.28616627282463e-05,-0.004982825368642807,-9.610358802092378e-07,-1.340745939160115e-06,1.039015160131385e-06,,,,,,,,,,,,,0.005,0.005443867295980453,-0.004520765505731106,-0.9963716864585876
0.124402434,2.788337951642461e-05,-2.565460272307973e-05,-0.004981332924216986,-3.068927981075831e-06,-1.896380240395956e-06,-2.006400592335922e-07,,,,,,,,,,,,,0.005,0.00548281567171216,-0.004801888018846512,-0.9963150024414062
0.129224703,3.072926119784825e-05,-2.243119160993956e-05,-0.004979102872312069,-1.976110297619016e-06,-1.146223553405434e-06,-2.433265080981073e-06,,,,,,,,,,,,,0.005,0.005795530509203672,-0.004657026845961809,-0.9960785508155823
0.134023175,2.701121593418065e-05,-2.552895057306159e-05,-0.004978911951184273,8.856248179256454e-09,2.397211119387066e-06,-7.56825897951785e-07,,,,,,,,,,,,,0.005,0.005581042729318142,-0.004868270363658667,-0.995942234992981
0.138799101,2.804533141897991e-05,-2.427698382234666e-05,-0.004980923607945442,-3.974579158239067e-06,-9.427809573026025e-07,1.79755454610131e-06,,,,,,,,,,,,,0.005,0.005586467683315277,-0.004847678821533918,-0.996050238609314
0.143849477,2.636472345329821e-05,-2.215772474301048e-05,-0.004977480042725801,-4.793102448275022e-07,2.570413698776974e-06,1.422518721483357e-06,,,,,,,,,,,,,0.005,0.005470211617648602,-0.004653193987905979,-0.9958431124687195
0.149074435,3.019333234988153e-05,-2.389613291597925e-05,-0.004985983949154615,4.197095790914318e-07,3.534645998115593e-08,-2.027123855441459e-06,,,,,,,,,,,,,0.005,0.005736059974879026,-0.004735600668936968,-0.9964481592178345
0.154275075,2.714126094360836e-05,-2.382435741310474e-05,-0.004979806020855904,1.290689169763937e-06,3.728516048795427e-06,-4.775991442329541e-07,,,,,,,,,,,,,0.005,0.005579060409218073,-0.004718975629657507,-0.996191680431366
0.159449607,2.908866736106575e-05,-2.153437344531994e-05,-0.004984127823263407,-2.905588644352974e-06,-6.730147106281947e-07,-2.882162789319409e-06,,,,,,,,,,,,,0.005,0.005691614467650652,-0.004517288878560066,-0.9964867830276489
0.164599046,2.801068694679998e-05,-2.241594484075904e-05,-0.004982095211744308,-1.066407662619895e-06,8.70700603172736e-07,7.184112291724887e-07,,,,,,,,,,,,,0.005,0.005645273253321648,-0.0045209601521492,-0.9964454770088196
0.169725433,2.556395338615403e-05,-2.608943941595498e-05,-0.004981045611202717,-7.002515189924452e-07,4.337618065619608e-06,-1.851499860094918e-06,,,,,,,,,,,,,0.005,0.005419683642685413,-0.004835386294871569,-0.9963537454605103
0.174827516,2.745734127529431e-05,-2.328068330825772e-05,-0.004981937818229198,2.621819476189557e-06,3.21822585647169e-06,-8.334022254530282e-07,,,,,,,,,,,,,0.005,0.005431709345430136,-0.004729510750621557,-0.9963879585266113
