FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:timeInfo_deltaTime_ahrsImu,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,200Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,200Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,200Hz,,,,,,

DATA_START
Time,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
0.000000000,,,,,,,,,,,-0.03884189948439598,1,-0.03686659038066864,1,0.09793645143508911,1
0.003985408,0.005,-0.008409121073782444,-0.01714413799345493,-0.9970957040786743,-6.541586481034756e-05,-2.763735392363742e-05,-0.005027761682868004,-2.250869874842465e-05,4.323607572587207e-05,7.974894288054202e-06,,,,,,
0.005015296,,,,,,,,,,,0.001822676509618759,1,-0.01112197525799274,1,0.02675152383744717,1
0.009051904,0.005,-0.008021775633096695,-0.01440468430519104,-0.9989690184593201,-5.160375803825445e-05,-3.56037708115764e-05,-0.00500966515392065,7.552659099019365e-06,-1.098759003070882e-05,-6.825532182119787e-06,,,,,,
0.010025728,,,,,,,,,,,0.02858312427997589,1,-0.007381130009889603,1,0.008383092470467091,1
0.014094592,0.005,-0.0105992341414094,-0.01680996268987656,-0.9939954280853271,-9.929632506100461e-05,-6.878597196191549e-05,-0.00494035379961133,1.302843247685814e-05,-1.049842740030726e-05,1.855016307672486e-06,,,,,,
0.015031552,,,,,,,,,,,0.005021093413233757,1,-0.0326225534081459,1,0.05715695768594742,1
0.019114751,0.005,-0.009668946266174316,-0.01501522399485111,-0.9942945241928101,-6.54939649393782e-05,-4.455967791727744e-05,-0.004970039706677198,-8.837212590151466e-06,8.647111826576293e-06,1.993391151700052e-06,,,,,,
0.020033024,,,,,,,,,,,0.02260812185704708,1,-0.02348100207746029,1,0.05422345548868179,1
0.024111873,0.005,-0.007780245039612055,-0.01558008883148432,-0.9977099895477295,-7.975984772201627e-05,-2.768991544144228e-05,-0.00500960648059845,-5.453763606055873e-06,-7.857956916268449e-06,-4.874516889685765e-06,,,,,,
0.025029631,,,,,,,,,,,0.01707048714160919,1,-0.004989069420844316,1,0.0207294262945652,1
0.029086463,0.005,-0.007254966534674168,-0.0148419039323926,-0.9968186616897583,-7.172264304244891e-05,-3.234740870539099e-05,-0.004981116391718388,7.437654858222231e-06,4.284122496756027e-07,2.953850298581528e-06,,,,,,
0.030021887,,,,,,,,,,,0.02432018518447876,1,0.000162858865223825,1,0.02947026863694191,1
0.034038529,0.005,-0.008193164132535458,-0.01404078211635351,-0.9927448034286499,-6.329797906801105e-05,-4.643847569241188e-05,-0.004939276725053787,7.248037036333699e-06,-1.769153823261149e-05,8.492832421325147e-06,,,,,,
0.035009537,,,,,,,,,,,0.03222725540399551,1,-0.008995602838695049,1,0.06941980868577957,1
0.038967554,0.005,-0.007707518059760332,-0.01650599762797356,-0.9942988753318787,-9.838026744546369e-05,-3.646375989774242e-05,-0.00497722951695323,-1.600605173734948e-05,-4.92178003241861e-07,-6.090767328714719e-06,,,,,,
0.039992575,,,,,,,,,,,0.008124700747430325,1,-0.004241329152137041,1,0.05417835339903831,1
0.043874562,0.005,-0.007382969837635756,-0.01379716489464045,-0.9991815090179443,-5.476379010360688e-05,-3.469115472398698e-05,-0.00502622127532959,-6.609105639654445e-06,2.022613989538513e-05,-1.110306129703531e-05,,,,,,
0.044971518,,,,,,,,,,,0.03464994579553604,1,-0.001119165332056582,1,0.00629779975861311,1
0.048761088,0.005,-0.007301830220967531,-0.01350494287908077,-0.9975287318229675,-6.367839523591101e-05,-3.61334859917406e-05,-0.004979674238711596,1.189206341223326e-05,-8.509229701303411e-06,6.693123850709526e-06,,,,,,
0.049945857,,,,,,,,,,,0.03748540207743645,1,-0.0003242139937356114,1,0.02250606566667557,1
0.053624831,0.005,-0.007369223982095718,-0.01532430481165648,-0.9962149858474731,-8.729433466214687e-05,-3.727097646333277e-05,-0.004972059745341539,9.776254472626533e-08,-6.211761956365081e-06,-5.561357738770312e-06,,,,,,
0.054915585,,,,,,,,,,,0.01966660097241402,1,-0.000953346723690629,1,0.03538884967565536,1
0.058466047,0.005,-0.006176178343594074,-0.01541638560593128,-0.9955678582191467,-7.867862586863339e-05,-2.411734931229148e-05,-0.004974360577762127,-3.775719960685819e-06,5.365587185224285e-06,-9.735086678119842e-06,,,,,,
0.059880704,,,,,,,,,,,0.01876452937722206,1,0.01074136234819889,1,0.04173539951443672,1
0.063284993,0.005,-0.005975981708616018,-0.01385632902383804,-0.994802713394165,-5.898832023376599e-05,-2.87908005702775e-05,-0.004969102796167135,7.989369237293431e-07,-6.022180059517268e-06,-1.044054442900233e-06,,,,,,
0.064841472,,,,,,,,,,,0.03406253084540367,1,0.01270901877433062,1,0.04923820495605469,1
0.068098046,0.005,-0.00614243233576417,-0.01543486304581165,-0.9949325323104858,-8.620703010819852e-05,-3.147014285787009e-05,-0.004975658375769854,-8.155992873071227e-06,-5.40698283657548e-06,-4.623257609637221e-06,,,,,,
0.069883645,,,,,,,,,,,0.01862364262342453,1,0.01105858199298382,1,0.04796469956636429,1
0.073303297,0.005,-0.007350424770265818,-0.01582616195082664,-0.9945986270904541,-8.192418317776173e-05,-4.432422065292485e-05,-0.004970645532011986,6.625956302741542e-06,3.673868377518374e-06,4.704857019532938e-06,,,,,,
0.074921474,,,,,,,,,,,0.01480109430849552,1,-0.0007912986911833286,1,0.05123967677354813,1
0.078485504,0.005,-0.006795605178922415,-0.01536148972809315,-0.9951481223106384,-7.428318349411711e-05,-3.090822792728432e-05,-0.00497835036367178,-9.04669923329493e-06,4.550524863589089e-06,-7.862559868954122e-06,,,,,,
0.079954691,,,,,,,,,,,0.01933704875409603,1,0.004637314938008785,1,0.04585126787424088,1
0.083646722,0.005,-0.008479807525873184,-0.01663561910390854,-0.9972227811813354,-8.992655784823e-05,-5.175538535695523e-05,-0.004998383112251759,-2.457285063428571e-06,4.088539753865916e-06,1.936672333613387e-06,,,,,,
0.084984317,,,,,,,,,,,0.006814855616539717,1,-0.01191142108291388,1,0.02550681866705418,1
0.088787965,0.005,-0.006569082848727703,-0.01774979755282402,-0.9981207847595215,-9.585931547917426e-05,-2.376269185333513e-05,-0.004997078329324722,-1.671646941758809e-06,1.067524135578424e-05,1.139452888310188e-05,,,,,,
0.090009600,,,,,,,,,,,-0.004166595172137022,1,0.006806991994380951,1,0.01670127175748348,1
0.093904898,0.005,-0.005232866387814283,-0.01751114055514336,-0.996225118637085,-8.593592792749405e-05,-1.547253850731067e-05,-0.004971535410732031,7.748703865217976e-06,-1.23778881970793e-05,-1.102991427615052e-05,,,,,,
0.095030017,,,,,,,,,,,-0.001823173253796995,1,0.01992605067789555,1,0.03529117256402969,1
0.099000320,0.005,-0.007271062582731247,-0.01959529705345631,-0.9921756386756897,-0.0001104176408261992,-4.892069773632102e-05,-0.004935306496918201,6.894975285831606e-06,-4.120701305510011e-06,9.392545507580508e-06,,,,,,
0.100046083,,,,,,,,,,,-0.02220699936151505,1,-5.228444933891296e-06,1,0.0750013068318367,1
0.104071938,0.005,-0.006616292521357536,-0.01922851614654064,-0.9964951872825623,-9.514387784292921e-05,-3.029323306691367e-05,-0.005004595033824444,-1.721352964523248e-05,1.498734945926117e-05,4.445694230525987e-06,,,,,,
0.105057538,,,,,,,,,,,-0.01863318867981434,1,0.006405040621757507,1,0.03264175355434418,1
0.109119743,0.005,-0.006015441380441189,-0.01973213255405426,-0.999695897102356,-0.0001006337552098557,-2.556817344157025e-05,-0.005021076183766127,-7.470180776181223e-07,-2.170419520552969e-06,-8.915874786907807e-06,,,,,,
0.110064641,,,,,,,,,,,-0.02359884977340698,1,0.01225041318684816,1,0.001254429924301803,1
0.114146046,0.005,-0.007865821942687035,-0.01890407875180244,-0.9939425587654114,-9.044227044796571e-05,-4.933007221552543e-05,-0.004937680438160896,2.610974115668796e-05,-4.352248652139679e-06,9.397680514666717e-06,,,,,,
0.115067139,,,,,,,,,,,-0.01548316515982151,1,-0.005836560390889645,1,0.05767460912466049,1
0.119149566,0.005,-0.0102426502853632,-0.02016753330826759,-0.9922686219215393,-0.0001065664691850543,-6.649873830610886e-05,-0.00494654243811965,-1.299546329391887e-05,-4.803099272976397e-06,-3.458818582657841e-06,,,,,,
0.120065026,,,,,,,,,,,-0.02784506790339947,1,-0.0290971715003252,1,0.07408970594406128,1
0.124129027,0.005,-0.007903588935732841,-0.02042180299758911,-0.999048113822937,-0.0001060957292793319,-2.650915484991856e-05,-0.005035380367189646,-1.83646370714996e-05,2.875552490877453e-05,3.596963551899535e-06,,,,,,
0.125058308,,,,,,,,,,,-0.03040145337581635,1,-0.006223434116691351,1,0.007606877014040947,1
0.129085183,0.005,-0.006762239616364241,-0.01663526892662048,-0.9965031147003174,-5.898582094232552e-05,-2.490690530976281e-05,-0.004972864873707294,1.839388642110862e-05,-7.374778306257213e-06,4.53309894510312e-06,,,,,,
0.130046725,,,,,,,,,,,0.006645526736974716,1,0.004961765371263027,1,0.03256674855947495,1
0.134018049,0.005,-0.01006111409515142,-0.02015883661806583,-0.9900603890419006,-0.0001193950593005866,-6.873106758575886e-05,-0.004908400122076273,5.230561328062322e-06,-2.66787174041383e-05,2.497700279491255e-06,,,,,,
0.135030523,,,,,,,,,,,-0.02783599495887756,1,-0.02732568420469761,1,0.09574676305055618,1
0.138929918,0.005,-0.01012804638594389,-0.02075687237083912,-0.9963295459747314,-0.0001107730058720335,-5.340071584214456e-05,-0.005015401169657707,-2.89650652121054e-05,2.984823913720902e-05,2.884155264837318e-06,,,,,,
0.140010238,,,,,,,,,,,-0.03370778262615204,1,-0.02803607098758221,1,0.0342683419585228,1
0.143820032,0.005,-0.007982401177287102,-0.01687078736722469,-1.000331163406372,-5.97437028773129e-05,-2.583359673735686e-05,-0.00502965971827507,8.25022561912192e-06,9.147229320660699e-06,6.782180435038754e-07,,,,,,
0.144985348,,,,,,,,,,,0.004298414569348097,1,-0.007054005283862352,1,-0.004972045309841633,1
0.148687869,0.005,-0.01065318752080202,-0.01837617345154285,-0.9946448802947998,-9.854866948444396e-05,-6.796861271141097e-05,-0.004941914230585098,2.49688182520913e-05,-2.687938649614807e-05,2.941529828603962e-06,,,,,,
0.149955839,,,,,,,,,,,-0.01044790353626013,1,-0.03317531570792198,1,0.05079040676355362,1
0.153550595,0.005,-0.01160093862563372,-0.02019652351737022,-0.9927155375480652,-0.0001129706433857791,-6.554932770086452e-05,-0.004947756417095661,-9.856929864326958e-06,3.382371687621344e-06,8.529944352630991e-06,,,,,,
0.154925317,,,,,,,,,,,-0.02824414148926735,1,-0.04241572320461273,1,0.06970913708209991,1
0.158391550,0.005,-0.008643859066069126,-0.01880235597491264,-0.9980413317680359,-8.66667105583474e-05,-2.644560299813747e-05,-0.005022550467401743,-1.434533987776376e-05,1.425472601113142e-05,-6.11516441040294e-07,,,,,,
0.159890428,,,,,,,,,,,-0.01460910122841597,1,-0.01345196552574635,1,0.01748237758874893,1
0.163210243,0.005,-0.007717449683696032,-0.01808717846870422,-0.9961678385734558,-8.549197809770703e-05,-3.112477133981884e-05,-0.004973099566996098,1.57884496729821e-05,-7.920291864138562e-06,5.015914439354674e-07,,,,,,
0.164933115,,,,,,,,,,,-0.007614706642925739,1,-0.004367417190223932,1,0.0358552448451519,1
0.168418050,0.005,-0.009551016613841057,-0.01836430095136166,-0.9925536513328552,-9.336726361652836e-05,-5.896460788790137e-05,-0.004938898142427206,2.729072775764507e-06,-9.174666956823785e-06,3.836431005765917e-06,,,,,,
0.169971198,,,,,,,,,,,-0.01029432751238346,1,-0.02229895070195198,1,0.07129736989736557,1
0.173601285,0.005,-0.008845808915793896,-0.01928978227078915,-0.9957110285758972,-0.0001021373172989115,-4.078725760336965e-05,-0.004994278773665428,-1.630551741982345e-05,-6.975839141887263e-07,-2.615521452753455e-06,,,,,,
0.175004929,,,,,,,,,,,-0.01933758147060871,1,-0.01539929956197739,1,0.04033343121409416,1
0.178763524,0.005,-0.007523883599787951,-0.01775090768933296,-0.9991799592971802,-8.053783676587045e-05,-2.935879092547111e-05,-0.005019528325647116,-7.058028586470755e-06,5.555646112043178e-06,-5.326629434421193e-06,,,,,,
0.180034310,,,,,,,,,,,-0.004254000727087259,1,-0.002500354079529643,1,0.006314986851066351,1
0.183901951,0.005,-0.008462053723633289,-0.01674908399581909,-0.9958903789520264,-7.622964039910585e-05,-4.725347389467061e-05,-0.004961222875863314,1.169775168818887e-05,-1.690393582975958e-05,-2.961521431643632e-06,,,,,,
0.185058817,,,,,,,,,,,0.005604462698101997,1,-0.01169757731258869,1,0.03857487440109253,1
0.189016581,0.005,-0.008352916687726974,-0.01815345138311386,-0.9938617944717407,-9.944758494384587e-05,-4.214591535856016e-05,-0.004955303855240345,-6.561373083968647e-06,-8.526377314410638e-06,-1.885933329504041e-06,,,,,,
0.190078974,,,,,,,,,,,-0.008087372407317162,1,-0.01062190812081099,1,0.05846703425049782,1
0.194107130,0.005,-0.006992771755903959,-0.01717299781739712,-0.9957423806190491,-8.120732672978193e-05,-2.659711935848463e-05,-0.004989170003682375,-5.105410309624858e-06,1.116270050260937e-05,-4.553595317702275e-06,,,,,,
0.195094272,,,,,,,,,,,0.00154290976934135,1,0.002686223015189171,1,0.04002465680241585,1
0.199173629,0.005,-0.006927637849003077,-0.0152806369587779,-0.9963645339012146,-6.43390667391941e-05,-3.394937448319979e-05,-0.004987012129276991,-1.691861029939901e-06,-4.505826382228406e-06,-6.851046236988623e-06,,,,,,
0.200104967,,,,,,,,,,,0.02009490877389908,1,0.00329784001223743,1,0.03392378613352776,1
0.204217091,0.005,-0.006679575424641371,-0.01559259742498398,-0.9948819875717163,-7.905543316155672e-05,-3.239728903281502e-05,-0.004965334199368954,3.444085677983821e-06,-1.216598593600793e-05,2.971916728711221e-06,,,,,,
0.205111042,,,,,,,,,,,0.01708470284938812,1,0.005735076032578945,1,0.0484614335000515,1
0.209238529,0.005,-0.00778241828083992,-0.01606330275535583,-0.9961711764335632,-8.365850953850895e-05,-4.482306030695327e-05,-0.004986891988664865,2.422092620690819e-06,-4.274765615264187e-06,-8.670388069731416e-07,,,,,,
0.210112259,,,,,,,,,,,0.01252153422683477,1,-0.00507201487198472,1,0.03581706434488297,1
0.214235649,0.005,-0.007210616953670979,-0.01642606407403946,-0.9985949993133545,-8.495479414705187e-05,-3.407184703974053e-05,-0.005008548963814974,-9.304655577579979e-06,1.862348767645017e-06,2.520187990739942e-06,,,,,,
0.215109125,,,,,,,,,,,0.008993549272418022,1,0.0005254035349935293,1,0.01204682793468237,1
0.219209477,0.005,-0.006910969037562609,-0.01612325198948383,-0.9962826371192932,-7.783695764373988e-05,-3.140549961244687e-05,-0.004969230387359858,4.96246639158926e-06,-4.833329057873925e-06,1.291020817006938e-05,,,,,,
0.220101118,,,,,,,,,,,0.01199004985392094,1,0.003454350400716066,1,0.0347229391336441,1
0.224160001,0.005,-0.007528277579694986,-0.01722435280680656,-0.9928640127182007,-9.278850484406576e-05,-4.288553827791475e-05,-0.004943307023495436,-1.656551262385619e-06,-3.416709887460456e-06,6.662912710453384e-06,,,,,,
0.225088507,,,,,,,,,,,0.001225358340889215,1,-0.002596696140244603,1,0.06824845820665359,1
0.229092613,0.005,-0.006123902276158333,-0.01700061000883579,-0.99319988489151,-8.459250966552645e-05,-2.146675069525372e-05,-0.004966860637068748,-4.699242708738893e-06,3.831883077509701e-06,-9.026030966197141e-06,,,,,,
0.230073601,,,,,,,,,,,0.003429685486480594,1,0.01115800719708204,1,0.06495484709739685,1
0.234010115,0.005,-0.00728337187319994,-0.01649082824587822,-0.995993971824646,-7.842546619940549e-05,-4.318313222029246e-05,-0.004995675757527351,-4.530591468210332e-06,1.002165390673326e-05,9.857869372353889e-06,,,,,,
0.235054329,,,,,,,,,,,0.008394503034651279,1,-0.0002338601043447852,1,0.03755533695220947,1
0.238904834,0.005,-0.006907813251018524,-0.01733623072504997,-0.9993434548377991,-9.220041829394177e-05,-3.318664312246256e-05,-0.005016852635890245,-2.766066700132797e-06,1.777906845745747e-06,4.147600066062296e-06,,,,,,
0.240030468,,,,,,,,,,,6.06511312071234e-05,1,0.003413660684600472,1,0.004708847496658564,1
0.243777797,0.005,-0.005601753946393728,-0.01732059568166733,-0.9980458617210388,-8.651032840134576e-05,-1.937818342412356e-05,-0.004984902683645487,9.879045137495268e-06,-7.283950708369957e-06,-5.077255082142074e-06,,,,,,
0.245001987,,,,,,,,,,,0.0002044515131274238,1,0.01623103208839893,1,0.01743394695222378,1
0.248628229,0.005,-0.007752968464046717,-0.01782877556979656,-0.9936708211898804,-9.22143372008577e-05,-5.099108602735214e-05,-0.004940840881317854,2.291726332259714e-06,-1.124378286476713e-05,2.207811803600634e-06,,,,,,
0.249969155,,,,,,,,,,,-0.004735575988888741,1,-0.004821294918656349,1,0.06033759191632271,1
0.253456384,0.005,-0.008532545529305935,-0.01892704702913761,-0.9954985380172729,-0.000100811681477353,-4.839638495468535e-05,-0.004985099192708731,-1.905216049635783e-05,2.898649654525798e-06,-1.946784777828725e-06,,,,,,
0.254931718,,,,,,,,,,,-0.01546957809478045,1,-0.0125004556030035,1,0.04241349175572395,1
0.258263052,0.005,-0.005222522653639317,-0.01775056309998035,-0.998394787311554,-8.318042091559619e-05,-6.887095423735445e-06,-0.005012332927435637,-6.076916179154068e-06,2.248796772619244e-05,2.640869524839218e-06,,,,,,
0.259974658,,,,,,,,,,,-0.003984862472862005,1,0.01988158747553825,1,0.01401183754205704,1
0.263470083,0.005,-0.007451110519468784,-0.01687021180987358,-0.9912823438644409,-7.602494588354602e-05,-4.65900739072822e-05,-0.004916293546557426,2.874953497666866e-05,-1.278070430998923e-05,2.260525207020692e-06,,,,,,
0.265012741,,,,,,,,,,,0.004602302331477404,1,-0.001929859630763531,1,0.08376184105873108,1
0.268653065,0.005,-0.01021597068756819,-0.02109167724847794,-0.9918317794799805,-0.0001321742893196642,-7.09852683939971e-05,-0.00495605356991291,-1.936517946887761e-05,-1.650480839998636e-06,-1.280226661037887e-05,,,,,,
0.270045966,,,,,,,,,,,-0.03676766157150269,1,-0.02901379019021988,1,0.07837259024381638,1
0.273811698,0.005,-0.007110722362995148,-0.01701256260275841,-1.001925349235535,-6.362912245094776e-05,-1.684104790911078e-05,-0.005071589257568121,-1.64526700245915e-05,2.792476152535528e-05,-7.996983185876161e-06,,,,,,
0.275074571,,,,,,,,,,,0.003143994137644768,1,0.001341562252491713,1,-0.02060921676456928,1
0.278947085,0.005,-0.00787572655826807,-0.01613390818238258,-0.9996240735054016,-7.164126873249188e-05,-4.263208757038228e-05,-0.004990419372916222,2.026553374889772e-05,-2.002011206059251e-05,8.267966222774703e-06,,,,,,
0.280098289,,,,,,,,,,,0.01171579118818045,1,-0.006155040115118027,1,0.001958675682544708,1
0.284057587,0.005,-0.009118599817156792,-0.02037029527127743,-0.9924078583717346,-0.0001283973251702264,-5.315415182849392e-05,-0.004915930330753326,2.569672005847679e-06,-2.219518137280829e-05,-9.600988960301038e-06,,,,,,
0.285117447,,,,,,,,,,,-0.02973193675279617,1,-0.01828818023204803,1,0.07272404432296753,1
0.289146364,0.005,-0.008876318112015724,-0.01958875171840191,-0.9931091070175171,-9.432581282453611e-05,-4.40134244854562e-05,-0.004967867862433195,-1.242690905201016e-05,4.428454758453881e-06,7.602791356475791e-07,,,,,,
0.290132999,,,,,,,,,,,-0.0219972487539053,1,-0.01592881605029106,1,0.06584573537111282,1
0.294215173,0.005,-0.007949495688080788,-0.01851985417306423,-0.9969335198402405,-8.584164606872946e-05,-3.386064054211602e-05,-0.005006797611713409,-4.87367287860252e-06,2.653909859873238e-06,4.984598490409553e-06,,,,,,
0.295143932,,,,,,,,,,,-0.0114849004894495,1,-0.006853724364191294,1,0.02834062278270721,1
0.299259663,0.005,-0.00809958390891552,-0.01928913593292236,-0.996944785118103,-0.0001003871293505654,-4.165015707258135e-05,-0.004987633321434259,1.026461904984899e-05,-9.115339707932435e-06,-1.052559036907041e-05,,,,,,
0.300150275,,,,,,,,,,,-0.01897679641842842,1,-0.008315738290548325,1,0.02823001332581043,1
0.304281354,0.005,-0.007953643798828125,-0.01873917132616043,-0.9935351610183716,-9.194615995511413e-05,-3.958878005505539e-05,-0.004947073291987181,4.961750164511614e-06,6.633779776166193e-06,8.67157996253809e-06,,,,,,
0.305151731,,,,,,,,,,,-0.0135608846321702,1,-0.006833672523498535,1,0.06166600063443184,1
0.309279233,0.005,-0.008155648596584797,-0.01819244958460331,-0.9943519830703735,-8.557071851100773e-05,-4.190893014310859e-05,-0.004974156152456999,-1.205440639751032e-05,-4.487052592594409e-06,-3.099341938650468e-06,,,,,,
0.310148597,,,,,,,,,,,-0.008191144093871117,1,-0.008812018670141697,1,0.05365567281842232,1
0.314253062,0.005,-0.006701483856886625,-0.01953168772161007,-0.9994887113571167,-0.0001080721849575639,-2.626764216984157e-05,-0.005029130727052689,-8.178249117918313e-06,1.428201539965812e-05,9.528140481052105e-07,,,,,,
0.315140873,,,,,,,,,,,-0.02134148962795734,1,0.005395380780100822,1,0.003282212652266026,1
0.319204599,0.005,-0.005075626540929079,-0.01544775255024433,-0.9959779977798462,-5.303115540300496e-05,-1.371395683236187e-05,-0.004963592626154423,1.501238421042217e-05,9.617989462640253e-07,1.101585439755581e-05,,,,,,
0.320128500,,,,,,,,,,,0.0186404176056385,1,0.02134559489786625,1,0.03771185874938965,1
0.324132353,0.005,-0.007929673418402672,-0.01815140433609486,-0.9906749725341797,-0.0001038346672430634,-5.599246287602e-05,-0.004918475635349751,3.327566219013534e-06,-3.712698890012689e-05,4.218509729980724e-06,,,,,,
0.325111300,,,,,,,,,,,-0.00777976680546999,1,-0.006588379852473736,1,0.08971424400806427,1
0.329036802,0.005,-0.007815469987690449,-0.01969254389405251,-0.9963242411613464,-0.0001123214096878655,-4.041706415591761e-05,-0.005011942703276873,-2.173261782445479e-05,2.765532917692326e-05,-1.530264739812992e-06,,,,,,
0.330089480,,,,,,,,,,,-0.02284815162420273,1,-0.005501812323927879,1,0.03431330621242523,1
