FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/17/26 00:57:20.980851456
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:orientQuaternion,Matrix,200Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:orientQuaternion[0-0],inertial-6286.188861:orientQuaternion[0-1],inertial-6286.188861:orientQuaternion[0-2],inertial-6286.188861:orientQuaternion[0-3]
0.000000000,0.999435,-0.001085,0.006682,0.032912
0.005141760,0.999435,-0.001081,0.006682,0.032912
0.010259200,0.999435,-0.001080,0.006684,0.032912
0.015351296,0.999435,-0.001080,0.006684,0.032913
0.020422911,0.999435,-0.001077,0.006682,0.032913
0.025469951,0.999435,-0.001078,0.006683,0.032913
0.030492673,0.999435,-0.001078,0.006683,0.032913
0.035492353,0.999435,-0.001076,0.006683,0.032913
0.040467456,0.999435,-0.001076,0.006684,0.032914
0.045419522,0.999435,-0.001075,0.006684,0.032913
0.050347775,0.999435,-0.001076,0.006685,0.032914
0.055251714,0.999435,-0.001075,0.006682,0.032913
0.060132608,0.999435,-0.001074,0.006685,0.032913
0.064990208,0.999435,-0.001073,0.006684,0.032914
0.069824770,0.999435,-0.001073,0.006684,0.032914
0.074636802,0.999435,-0.001073,0.006684,0.032913
0.079761922,0.999435,-0.001074,0.006685,0.032911
0.084946685,0.999435,-0.001076,0.006684,0.032910
0.090106621,0.999435,-0.001075,0.006684,0.032910
0.095241986,0.999435,-0.001074,0.006684,0.032910
0.100353025,0.999435,-0.001076,0.006683,0.032911
0.105438463,0.999435,-0.001074,0.006681,0.032912
0.110502653,0.999435,-0.001076,0.006681,0.032913
0.115543038,0.999435,-0.001077,0.006681,0.032914
0.120558590,0.999435,-0.001076,0.006683,0.032915
0.125550598,0.999435,-0.001078,0.006682,0.032915
0.130518779,0.999435,-0.001076,0.006679,0.032917
