FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/17/26 00:56:20.982467840
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,200Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,200Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
0.000000000,0.999996,0.001005,0.002275,0.001222,1
0.004976384,0.999996,0.001006,0.002275,0.001222,1
0.009947648,0.999996,0.001007,0.002275,0.001220,1
0.014914304,0.999996,0.001007,0.002274,0.001220,1
0.019875839,0.999996,0.001005,0.002275,0.001220,1
0.024917761,0.999996,0.001006,0.002275,0.001222,1
0.029954815,0.999996,0.001008,0.002276,0.001224,1
0.034987263,0.999996,0.001008,0.002275,0.001225,1
0.040014848,0.999996,0.001008,0.002272,0.001225,1
0.045037311,0.999996,0.001007,0.002271,0.001225,1
0.050055169,0.999996,0.001008,0.002272,0.001223,1
0.055068161,0.999996,0.001007,0.002272,0.001225,1
0.060076289,0.999996,0.001005,0.002273,0.001226,1
0.065080322,0.999996,0.001008,0.002274,0.001227,1
0.070079491,0.999996,0.001010,0.002274,0.001228,1
0.075074047,0.999996,0.001008,0.002276,0.001228,1
0.080063485,0.999996,0.001008,0.002276,0.001227,1
0.085048318,0.999996,0.001010,0.002277,0.001227,1
0.090028286,0.999996,0.001011,0.002277,0.001227,1
0.095003650,0.999996,0.001009,0.002277,0.001227,1
0.099974401,0.999996,0.001011,0.002279,0.001227,1
0.104940034,0.999996,0.001012,0.002278,0.001226,1
0.109901056,0.999996,0.001010,0.002279,0.001227,1
0.114941441,0.999996,0.001008,0.002280,0.001226,1
0.119977213,0.999996,0.001007,0.002283,0.001228,1
0.125007868,0.999996,0.001008,0.002282,0.001229,1
0.130033657,0.999996,0.001010,0.002280,0.001229,1
0.135054842,0.999996,0.001010,0.002279,0.001231,1
