FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/17/26 00:57:20.982009088
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,200Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,200Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
0.000000000,0.999993,0.003420,0.001001,-0.000619,1
0.005025280,0.999993,0.003425,0.001001,-0.000621,1
0.010045696,0.999993,0.003426,0.001003,-0.000622,1
0.015062016,0.999993,0.003426,0.001003,-0.000624,1
0.020073729,0.999993,0.003428,0.001001,-0.000626,1
0.025080577,0.999993,0.003428,0.001003,-0.000627,1
0.030082816,0.999993,0.003428,0.001003,-0.000629,1
0.035079937,0.999993,0.003430,0.001003,-0.000631,1
0.040072192,0.999993,0.003430,0.001005,-0.000632,1
0.045059841,0.999993,0.003431,0.001004,-0.000635,1
0.050042626,0.999993,0.003430,0.001005,-0.000636,1
0.055020802,0.999993,0.003431,0.001003,-0.000638,1
0.059994113,0.999993,0.003432,0.001005,-0.000640,1
0.064962558,0.999993,0.003433,0.001005,-0.000642,1
0.069926657,0.999993,0.003433,0.001004,-0.000643,1
0.074885890,0.999993,0.003433,0.001005,-0.000647,1
0.079924479,0.999993,0.003432,0.001006,-0.000650,1
0.084958211,0.999993,0.003431,0.001006,-0.000653,1
0.089987330,0.999993,0.003432,0.001005,-0.000655,1
0.095011584,0.999993,0.003432,0.001005,-0.000657,1
0.100030720,0.999993,0.003431,0.001005,-0.000658,1
0.105045252,0.999993,0.003432,0.001002,-0.000658,1
0.110055424,0.999993,0.003430,0.001003,-0.000659,1
0.115060993,0.999993,0.003429,0.001003,-0.000660,1
0.120061696,0.999993,0.003430,0.001005,-0.000662,1
0.125057280,0.999993,0.003429,0.001004,-0.000663,1
0.130048260,0.999993,0.003430,0.001001,-0.000663,1
0.135034367,0.999993,0.003428,0.001001,-0.000664,1
0.140015870,0.999993,0.003428,0.001000,-0.000667,1
0.144992515,0.999993,0.003428,0.000998,-0.000670,1
0.149964288,0.999993,0.003429,0.000997,-0.000672,1
0.154931203,0.999993,0.003429,0.000999,-0.000675,1
0.159893498,0.999993,0.003429,0.001003,-0.000677,1
0.164935425,0.999993,0.003428,0.001002,-0.000679,1
0.169972479,0.999993,0.003425,0.001002,-0.000679,1
0.175005183,0.999993,0.003425,0.001002,-0.000681,1
0.180032775,0.999993,0.003426,0.001002,-0.000683,1
0.185055494,0.999993,0.003425,0.001002,-0.000684,1
0.190073594,0.999993,0.003426,0.001000,-0.000685,1
0.195086598,0.999993,0.003425,0.000999,-0.000687,1
0.200094715,0.999993,0.003425,0.000999,-0.000688,1
0.205098495,0.999993,0.003425,0.000997,-0.000692,1
0.210098177,0.999993,0.003426,0.000998,-0.000693,1
0.215093255,0.999993,0.003429,0.000999,-0.000696,1
0.220083207,0.999993,0.003430,0.000999,-0.000699,1
0.225068539,0.999993,0.003430,0.000998,-0.000700,1
0.230048761,0.999993,0.003431,0.000998,-0.000701,1
0.235024378,0.999993,0.003433,0.001000,-0.000702,1
0.239995137,0.999993,0.003435,0.001000,-0.000703,1
0.244961023,0.999993,0.003436,0.001001,-0.000707,1
0.249922305,0.999993,0.003437,0.001001,-0.000708,1
0.254962683,0.999993,0.003438,0.001002,-0.000713,1
0.259998471,0.999993,0.003437,0.001001,-0.000715,1
0.265029371,0.999993,0.003439,0.000999,-0.000717,1
0.270055175,0.999993,0.003439,0.000999,-0.000720,1
0.275076866,0.999993,0.003440,0.000999,-0.000722,1
0.280093431,0.999993,0.003441,0.000998,-0.000722,1
0.285105139,0.999993,0.003444,0.000996,-0.000724,1
0.290112257,0.999993,0.003444,0.000998,-0.000726,1
0.295114487,0.999993,0.003444,0.000997,-0.000727,1
0.300111860,0.999993,0.003445,0.000995,-0.000727,1
0.305104375,0.999993,0.003443,0.000996,-0.000728,1
0.310092300,0.999993,0.003443,0.000994,-0.000730,1
0.315075338,0.999993,0.003444,0.000992,-0.000732,1
0.320053518,0.999993,0.003442,0.000994,-0.000733,1
0.325026810,0.999993,0.003443,0.000993,-0.000734,1
0.329995513,0.999993,0.003441,0.000993,-0.000735,1
0.334959358,0.999993,0.003440,0.000992,-0.000736,1
0.339918584,0.999993,0.003437,0.000992,-0.000739,1
0.344957709,0.999993,0.003437,0.000991,-0.000739,1
0.349991947,0.999993,0.003437,0.000989,-0.000741,1
0.355021298,0.999993,0.003436,0.000990,-0.000744,1
0.360046089,0.999993,0.003437,0.000990,-0.000745,1
0.365065724,0.999993,0.003437,0.000989,-0.000747,1
0.370080501,0.999993,0.003438,0.000987,-0.000748,1
0.375090688,0.999993,0.003437,0.000986,-0.000750,1
0.380095989,0.999993,0.003432,0.000985,-0.000752,1
0.385096699,0.999993,0.003430,0.000985,-0.000753,1
0.390092283,0.999993,0.003430,0.000984,-0.000754,1
0.395083278,0.999993,0.003431,0.000984,-0.000757,1
0.400071949,0.999993,0.003429,0.000985,-0.000759,1
0.405055732,0.999993,0.003428,0.000983,-0.000762,1
0.410034686,0.999993,0.003427,0.000982,-0.000764,1
0.415009022,0.999993,0.003425,0.000981,-0.000765,1
0.419978499,0.999993,0.003425,0.000980,-0.000765,1
0.424943358,0.999993,0.003426,0.000982,-0.000766,1
0.429903358,0.999993,0.003428,0.000981,-0.000767,1
0.434941173,0.999993,0.003430,0.000979,-0.000770,1
0.439974397,0.999993,0.003428,0.000980,-0.000773,1
0.445002764,0.999993,0.003428,0.000980,-0.000774,1
