Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
0.000000000,0.999947,0.001789,-0.010088,0.000478,1
0.004995072,0.999947,0.001790,-0.010087,0.000475,1
0.009985024,0.999947,0.001790,-0.010085,0.000475,1
0.014970368,0.999947,0.001788,-0.010087,0.000474,1
0.019950593,0.999947,0.001787,-0.010087,0.000474,1
0.024927488,0.999947,0.001787,-0.010086,0.000475,1
0.029899521,0.999947,0.001788,-0.010086,0.000475,1
0.034866687,0.999947,0.001787,-0.010085,0.000475,1
0.039828993,0.999947,0.001787,-0.010086,0.000475,1
0.044786688,0.999947,0.001787,-0.010088,0.000477,1
0.049830142,0.999947,0.001787,-0.010090,0.000480,1
0.054868992,0.999947,0.001788,-0.010093,0.000480,1
0.059903231,0.999947,0.001790,-0.010092,0.000480,1
0.064933121,0.999947,0.001791,-0.010094,0.000483,1
0.069958404,0.999947,0.001792,-0.010095,0.000481,1
0.074978814,0.999947,0.001792,-0.010094,0.000481,1
0.079995133,0.999947,0.001793,-0.010097,0.000480,1
0.085006595,0.999947,0.001795,-0.010097,0.000481,1
0.090013698,0.999947,0.001797,-0.010099,0.000482,1
0.095015936,0.999947,0.001797,-0.010097,0.000483,1
0.100013316,0.999947,0.001797,-0.010097,0.000483,1
0.105006337,0.999947,0.001797,-0.010100,0.000481,1
0.109994754,0.999947,0.001799,-0.010099,0.000480,1
0.114978559,0.999947,0.001798,-0.010101,0.000482,1
0.119957507,0.999947,0.001800,-0.010102,0.000482,1
0.124931842,0.999947,0.001799,-0.010101,0.000481,1
0.129901573,0.999947,0.001799,-0.010100,0.000481,1
0.134867206,0.999947,0.001798,-0.010101,0.000481,1
0.139828220,0.999947,0.001794,-0.010098,0.000480,1
0.144871935,0.999947,0.001793,-0.010097,0.000478,1
0.149911046,0.999947,0.001793,-0.010095,0.000479,1
0.154945284,0.999947,0.001793,-0.010095,0.000482,1
0.159974918,0.999947,0.001791,-0.010095,0.000483,1
0.164999679,0.999947,0.001792,-0.010094,0.000484,1
0.170019582,0.999947,0.001791,-0.010094,0.000484,1
0.175034881,0.999947,0.001789,-0.010093,0.000484,1
0.180045575,0.999947,0.001790,-0.010091,0.000484,1
0.185051396,0.999947,0.001790,-0.010092,0.000485,1
0.190052614,0.999947,0.001789,-0.010091,0.000486,1
0.195048705,0.999947,0.001791,-0.010091,0.000488,1
0.200040698,0.999947,0.001794,-0.010091,0.000491,1
0.205030918,0.999947,0.001794,-0.010089,0.000490,1
0.210016519,0.999947,0.001795,-0.010088,0.000489,1
0.214997247,0.999947,0.001793,-0.010086,0.000490,1
0.219973370,0.999947,0.001795,-0.010087,0.000491,1
0.224944636,0.999947,0.001796,-0.010088,0.000492,1
0.229911551,0.999947,0.001797,-0.010089,0.000493,1
0.234873593,0.999947,0.001797,-0.010087,0.000494,1
0.239917561,0.999947,0.001796,-0.010086,0.000493,1
0.244956672,0.999947,0.001798,-0.010087,0.000492,1
0.249991164,0.999947,0.001799,-0.010087,0.000493,1
0.255021065,0.999947,0.001797,-0.010089,0.000495,1
0.260046095,0.999947,0.001798,-0.010088,0.000493,1
0.265066743,0.999947,0.001798,-0.010090,0.000495,1
0.270082563,0.999947,0.001799,-0.010091,0.000495,1
0.275093764,0.999947,0.001798,-0.010090,0.000492,1
0.280100614,0.999947,0.001799,-0.010089,0.000490,1
0.285102606,0.999947,0.001799,-0.010088,0.000489,1
0.290100217,0.999947,0.001801,-0.010087,0.000488,1
0.295094520,0.999947,0.001799,-0.010087,0.000490,1
0.300084472,0.999947,0.001798,-0.010088,0.000490,1
0.305069834,0.999947,0.001796,-0.010087,0.000490,1
0.310050547,0.999947,0.001796,-0.010086,0.000489,1
0.315026700,0.999947,0.001798,-0.010085,0.000489,1
