FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/18/26 00:06:30.231862016
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,200Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,200Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
0.000000000,0.996860,0.006199,-0.009228,0.078396,1
0.004992000,0.996860,0.006197,-0.009228,0.078396,1
0.009979392,0.996860,0.006198,-0.009226,0.078398,1
0.014961920,0.996860,0.006198,-0.009225,0.078399,1
0.019940097,0.996860,0.006197,-0.009224,0.078400,1
0.024913408,0.996860,0.006197,-0.009225,0.078402,1
0.029884160,0.996860,0.006200,-0.009224,0.078405,1
0.034850303,0.996860,0.006200,-0.009225,0.078406,1
0.039811838,0.996859,0.006201,-0.009226,0.078407,1
0.044854529,0.996859,0.006201,-0.009227,0.078409,1
0.049892351,0.996859,0.006200,-0.009228,0.078409,1
0.054925568,0.996859,0.006199,-0.009227,0.078410,1
0.059954431,0.996859,0.006197,-0.009225,0.078410,1
0.064978689,0.996859,0.006196,-0.009226,0.078412,1
0.069998339,0.996859,0.006198,-0.009224,0.078414,1
0.075013377,0.996859,0.006199,-0.009223,0.078416,1
0.080023549,0.996859,0.006199,-0.009222,0.078417,1
0.085029632,0.996859,0.006197,-0.009221,0.078419,1
0.090031102,0.996859,0.006197,-0.009220,0.078418,1
0.095028736,0.996858,0.006198,-0.009221,0.078421,1
0.100021504,0.996858,0.006200,-0.009224,0.078421,1
0.105009921,0.996858,0.006200,-0.009225,0.078422,1
0.109993473,0.996858,0.006199,-0.009226,0.078424,1
0.114972413,0.996858,0.006201,-0.009226,0.078426,1
0.119946495,0.996858,0.006201,-0.009224,0.078427,1
0.124915965,0.996858,0.006203,-0.009223,0.078428,1
0.129880577,0.996858,0.006203,-0.009224,0.078430,1
0.134840578,0.996857,0.006204,-0.009225,0.078432,1
0.139883518,0.996857,0.006204,-0.009224,0.078433,1
0.144921854,0.996857,0.006204,-0.009225,0.078434,1
0.149955586,0.996857,0.006202,-0.009227,0.078436,1
0.154984444,0.996857,0.006202,-0.009227,0.078437,1
0.160008967,0.996857,0.006200,-0.009228,0.078439,1
0.165028602,0.996857,0.006199,-0.009225,0.078441,1
0.170043647,0.996857,0.006200,-0.009224,0.078441,1
0.175053567,0.996857,0.006200,-0.009224,0.078443,1
0.180058882,0.996857,0.006200,-0.009223,0.078444,1
0.185059324,0.996857,0.006199,-0.009224,0.078444,1
0.190056443,0.996857,0.006195,-0.009222,0.078445,1
0.195048705,0.996856,0.006195,-0.009223,0.078446,1
0.200036347,0.996856,0.006194,-0.009225,0.078448,1
0.205019385,0.996856,0.006191,-0.009224,0.078447,1
0.209997565,0.996856,0.006189,-0.009224,0.078449,1
0.214971140,0.996856,0.006188,-0.009224,0.078448,1
0.219940349,0.996856,0.006188,-0.009225,0.078449,1
0.224904701,0.996856,0.006189,-0.009223,0.078448,1
0.229864448,0.996856,0.006188,-0.009225,0.078448,1
0.234819323,0.996856,0.006187,-0.009225,0.078449,1
0.239858180,0.996856,0.006187,-0.009225,0.078453,1
0.244892418,0.996856,0.006186,-0.009225,0.078455,1
0.249922052,0.996856,0.006186,-0.009225,0.078455,1
0.254947066,0.996856,0.006185,-0.009225,0.078456,1
0.259967238,0.996855,0.006186,-0.009226,0.078458,1
0.264984071,0.996855,0.006187,-0.009227,0.078461,1
0.269996017,0.996855,0.006188,-0.009229,0.078464,1
0.275003642,0.996855,0.006188,-0.009230,0.078467,1
0.280006409,0.996855,0.006187,-0.009230,0.078469,1
0.285004288,0.996855,0.006186,-0.009230,0.078469,1
0.289998084,0.996855,0.006186,-0.009229,0.078469,1
0.294987023,0.996855,0.006184,-0.009228,0.078470,1
0.299971342,0.996854,0.006184,-0.009227,0.078471,1
0.304950774,0.996854,0.006184,-0.009230,0.078475,1
0.309925884,0.996854,0.006182,-0.009230,0.078476,1
0.314897150,0.996854,0.006181,-0.009233,0.078477,1
0.319863796,0.996854,0.006181,-0.009235,0.078479,1
0.324825853,0.996854,0.006183,-0.009235,0.078479,1
0.329783052,0.996854,0.006182,-0.009236,0.078480,1
0.334822148,0.996854,0.006180,-0.009235,0.078480,1
0.339856386,0.996854,0.006181,-0.009232,0.078480,1
0.344886273,0.996854,0.006179,-0.009233,0.078482,1
0.349911302,0.996854,0.006179,-0.009232,0.078483,1
0.354931712,0.996854,0.006182,-0.009231,0.078483,1
0.359948546,0.996854,0.006181,-0.009231,0.078483,1
0.364960760,0.996854,0.006180,-0.009230,0.078481,1
0.369968385,0.996854,0.006181,-0.009229,0.078482,1
0.374971122,0.996854,0.006182,-0.009227,0.078483,1
0.379969537,0.996853,0.006182,-0.009229,0.078486,1
0.384963334,0.996853,0.006181,-0.009231,0.078489,1
0.389952242,0.996853,0.006184,-0.009230,0.078491,1
0.394936830,0.996853,0.006186,-0.009231,0.078492,1
0.399916798,0.996853,0.006185,-0.009228,0.078493,1
0.404892147,0.996853,0.006187,-0.009227,0.078494,1
0.409863412,0.996853,0.006186,-0.009227,0.078495,1
0.414830089,0.996852,0.006187,-0.009228,0.078497,1
0.419792116,0.996852,0.006188,-0.009227,0.078498,1
0.424749315,0.996852,0.006188,-0.009229,0.078499,1
0.429788917,0.996852,0.006188,-0.009229,0.078501,1
0.434823930,0.996852,0.006189,-0.009227,0.078504,1
0.439854324,0.996852,0.006188,-0.009229,0.078504,1
0.444880128,0.996852,0.006189,-0.009229,0.078504,1
0.449901044,0.996852,0.006188,-0.009230,0.078505,1
0.454917371,0.996852,0.006188,-0.009232,0.078508,1
0.459929079,0.996851,0.006189,-0.009231,0.078510,1
0.464937478,0.996851,0.006189,-0.009232,0.078510,1
0.469940990,0.996851,0.006190,-0.009231,0.078512,1
0.474940151,0.996851,0.006191,-0.009231,0.078514,1
0.479934454,0.996851,0.006193,-0.009231,0.078515,1
0.484924167,0.996851,0.006190,-0.009232,0.078515,1
0.489909261,0.996851,0.006191,-0.009231,0.078517,1
0.494889736,0.996851,0.006193,-0.009234,0.078520,1
0.499865353,0.996850,0.006195,-0.009234,0.078522,1
0.504836380,0.996850,0.006193,-0.009232,0.078523,1
0.509802520,0.996850,0.006192,-0.009232,0.078524,1
0.514764309,0.996850,0.006195,-0.009233,0.078526,1
0.519721210,0.996850,0.006196,-0.009233,0.078527,1
0.524761319,0.996850,0.006195,-0.009233,0.078528,1
0.529796600,0.996850,0.006193,-0.009233,0.078529,1
0.534827530,0.996850,0.006192,-0.009235,0.078530,1
0.539853573,0.996850,0.006192,-0.009237,0.078531,1
0.544875801,0.996850,0.006192,-0.009236,0.078532,1
0.549893379,0.996849,0.006194,-0.009236,0.078533,1
0.554906368,0.996849,0.006192,-0.009236,0.078534,1
0.559915006,0.996849,0.006191,-0.009235,0.078533,1
0.564918756,0.996849,0.006191,-0.009236,0.078534,1
0.569917977,0.996849,0.006189,-0.009236,0.078534,1
0.574912786,0.996849,0.006188,-0.009236,0.078534,1
0.579902709,0.996849,0.006189,-0.009235,0.078534,1
0.584888041,0.996849,0.006190,-0.009235,0.078534,1
0.589868784,0.996849,0.006190,-0.009234,0.078536,1
0.594844699,0.996849,0.006190,-0.009233,0.078537,1
0.599816680,0.996849,0.006191,-0.009232,0.078539,1
0.604783893,0.996849,0.006190,-0.009233,0.078538,1
0.609746695,0.996849,0.006191,-0.009232,0.078539,1
0.614704669,0.996849,0.006192,-0.009232,0.078539,1
0.619745016,0.996849,0.006192,-0.009232,0.078540,1
0.624780774,0.996849,0.006191,-0.009234,0.078541,1
0.629812241,0.996849,0.006190,-0.009234,0.078541,1
0.634838760,0.996849,0.006191,-0.009233,0.078543,1
0.639860749,0.996849,0.006191,-0.009235,0.078544,1
0.644878089,0.996849,0.006188,-0.009235,0.078546,1
0.649891853,0.996848,0.006188,-0.009235,0.078547,1
0.654900968,0.996848,0.006190,-0.009236,0.078548,1
0.659905255,0.996848,0.006190,-0.009234,0.078548,1
0.664904952,0.996848,0.006188,-0.009236,0.078549,1
0.669900060,0.996848,0.006189,-0.009238,0.078550,1
0.674890518,0.996848,0.006191,-0.009238,0.078550,1
0.679876089,0.996848,0.006190,-0.009239,0.078551,1
0.684857070,0.996848,0.006189,-0.009238,0.078553,1
0.689833462,0.996848,0.006188,-0.009236,0.078556,1
0.694805264,0.996848,0.006186,-0.009236,0.078557,1
0.699772656,0.996848,0.006187,-0.009236,0.078556,1
0.704735518,0.996848,0.006188,-0.009235,0.078557,1
0.709693432,0.996848,0.006188,-0.009238,0.078558,1
0.714734316,0.996847,0.006187,-0.009239,0.078561,1
0.719770610,0.996847,0.006186,-0.009237,0.078564,1
0.724802315,0.996847,0.006186,-0.009238,0.078567,1
0.729829371,0.996847,0.006188,-0.009239,0.078568,1
0.734852612,0.996847,0.006187,-0.009239,0.078571,1
0.739871204,0.996847,0.006187,-0.009238,0.078570,1
0.744885266,0.996847,0.006186,-0.009236,0.078571,1
0.749894679,0.996847,0.006182,-0.009235,0.078571,1
0.754899204,0.996847,0.006182,-0.009234,0.078571,1
0.759899378,0.996847,0.006184,-0.009232,0.078571,1
0.764894962,0.996847,0.006184,-0.009233,0.078571,1
0.769885719,0.996846,0.006184,-0.009235,0.078572,1
0.774871826,0.996846,0.006183,-0.009235,0.078573,1
0.779853284,0.996846,0.006181,-0.009236,0.078572,1
0.784830987,0.996846,0.006180,-0.009236,0.078573,1
0.789804041,0.996846,0.006179,-0.009238,0.078574,1
0.794772506,0.996846,0.006180,-0.009240,0.078577,1
0.799736321,0.996846,0.006182,-0.009242,0.078578,1
0.804695308,0.996846,0.006182,-0.009240,0.078580,1
0.809736431,0.996846,0.006181,-0.009239,0.078582,1
0.814772725,0.996846,0.006178,-0.009239,0.078583,1
0.819804430,0.996846,0.006176,-0.009239,0.078583,1
0.824831247,0.996846,0.006176,-0.009239,0.078583,1
0.829853177,0.996845,0.006175,-0.009241,0.078584,1
0.834871829,0.996845,0.006174,-0.009242,0.078587,1
0.839885831,0.996845,0.006175,-0.009240,0.078587,1
0.844895005,0.996845,0.006175,-0.009239,0.078586,1
0.849899769,0.996845,0.006175,-0.009238,0.078587,1
0.854899704,0.996845,0.006175,-0.009244,0.078586,1
0.859895289,0.996845,0.006177,-0.009242,0.078588,1
0.864886045,0.996845,0.006176,-0.009244,0.078591,1
0.869872153,0.996845,0.006178,-0.009246,0.078594,1
0.874853373,0.996845,0.006177,-0.009247,0.078595,1
0.879830003,0.996844,0.006174,-0.009246,0.078597,1
0.884802580,0.996845,0.006173,-0.009247,0.078596,1
0.889770508,0.996845,0.006173,-0.009248,0.078596,1
0.894733846,0.996844,0.006172,-0.009247,0.078599,1
0.899692297,0.996844,0.006173,-0.009245,0.078602,1
0.904733956,0.996844,0.006174,-0.009243,0.078602,1
0.909771025,0.996844,0.006174,-0.009243,0.078603,1
0.914803207,0.996844,0.006173,-0.009241,0.078603,1
0.919831038,0.996844,0.006173,-0.009242,0.078603,1
0.924855053,0.996844,0.006171,-0.009241,0.078605,1
0.929874420,0.996844,0.006171,-0.009241,0.078607,1
0.934889197,0.996844,0.006169,-0.009242,0.078608,1
0.939899147,0.996844,0.006169,-0.009242,0.078610,1
0.944904685,0.996844,0.006169,-0.009240,0.078609,1
0.949905694,0.996844,0.006168,-0.009241,0.078610,1
0.954901993,0.996843,0.006167,-0.009241,0.078612,1
0.959893525,0.996843,0.006168,-0.009241,0.078613,1
0.964880407,0.996843,0.006169,-0.009242,0.078616,1
0.969862640,0.996843,0.006168,-0.009243,0.078617,1
0.974841058,0.996843,0.006167,-0.009241,0.078617,1
0.979814887,0.996843,0.006167,-0.009242,0.078619,1
0.984784126,0.996843,0.006169,-0.009244,0.078622,1
0.989748478,0.996842,0.006170,-0.009242,0.078623,1
0.994708240,0.996842,0.006171,-0.009243,0.078624,1
0.999750137,0.996843,0.006172,-0.009244,0.078623,1
1.004787445,0.996842,0.006171,-0.009246,0.078623,1
1.009819865,0.996842,0.006171,-0.009247,0.078623,1
1.014848471,0.996842,0.006170,-0.009248,0.078626,1
1.019872308,0.996842,0.006170,-0.009249,0.078629,1
1.024891376,0.996842,0.006172,-0.009251,0.078630,1
1.029905915,0.996842,0.006173,-0.009252,0.078630,1
1.034915566,0.996842,0.006170,-0.009252,0.078631,1
1.039920926,0.996842,0.006170,-0.009252,0.078632,1
1.044921637,0.996841,0.006169,-0.009251,0.078635,1
1.049917698,0.996841,0.006167,-0.009252,0.078638,1
1.054908633,0.996841,0.006165,-0.009255,0.078638,1
1.059895277,0.996841,0.006166,-0.009256,0.078639,1
1.064876795,0.996841,0.006166,-0.009258,0.078640,1
1.069854498,0.996841,0.006167,-0.009259,0.078643,1
1.074827313,0.996841,0.006166,-0.009261,0.078642,1
1.079795480,0.996841,0.006169,-0.009260,0.078644,1
1.084758759,0.996841,0.006172,-0.009261,0.078645,1
1.089720011,0.996841,0.006172,-0.009258,0.078645,1
1.094762444,0.996841,0.006174,-0.009255,0.078645,1
1.099800348,0.996840,0.006172,-0.009256,0.078647,1
1.104833245,0.996840,0.006171,-0.009257,0.078647,1
1.109861612,0.996840,0.006171,-0.009256,0.078650,1
1.114886403,0.996840,0.006176,-0.009256,0.078650,1
1.119906306,0.996840,0.006177,-0.009252,0.078652,1
1.124921799,0.996840,0.006176,-0.009252,0.078653,1
1.129932523,0.996840,0.006177,-0.009251,0.078655,1
1.134938359,0.996840,0.006175,-0.009251,0.078657,1
1.139940143,0.996840,0.006176,-0.009253,0.078658,1
1.144936919,0.996839,0.006179,-0.009252,0.078660,1
1.149929166,0.996839,0.006178,-0.009252,0.078660,1
1.154916644,0.996839,0.006178,-0.009252,0.078661,1
1.159899592,0.996839,0.006179,-0.009252,0.078662,1
1.164878368,0.996839,0.006179,-0.009253,0.078666,1
1.169852376,0.996839,0.006181,-0.009254,0.078669,1
1.174822450,0.996839,0.006181,-0.009254,0.078670,1
1.179787517,0.996839,0.006181,-0.009254,0.078671,1
1.184748054,0.996839,0.006180,-0.009254,0.078670,1
1.189790249,0.996838,0.006180,-0.009255,0.078672,1
1.194827795,0.996838,0.006179,-0.009256,0.078674,1
1.199860692,0.996838,0.006179,-0.009254,0.078674,1
1.204889655,0.996838,0.006178,-0.009253,0.078674,1
1.209913850,0.996838,0.006177,-0.009252,0.078673,1
1.214933276,0.996838,0.006177,-0.009252,0.078672,1
1.219948053,0.996838,0.006177,-0.009254,0.078673,1
1.224958181,0.996838,0.006177,-0.009254,0.078673,1
1.229963541,0.996838,0.006180,-0.009256,0.078675,1
1.234964252,0.996838,0.006180,-0.009255,0.078677,1
1.239960074,0.996838,0.006179,-0.009256,0.078678,1
1.244951606,0.996838,0.006179,-0.009259,0.078679,1
1.249938130,0.996838,0.006181,-0.009258,0.078679,1
1.254920244,0.996838,0.006178,-0.009258,0.078680,1
1.259897828,0.996838,0.006177,-0.009258,0.078682,1
1.264870882,0.996837,0.006175,-0.009258,0.078685,1
1.269839048,0.996837,0.006177,-0.009257,0.078686,1
1.274806261,0.996837,0.006181,-0.009256,0.078687,1
1.279768825,0.996837,0.006180,-0.009257,0.078688,1
1.284811497,0.996837,0.006180,-0.009257,0.078689,1
1.289849639,0.996837,0.006180,-0.009258,0.078690,1
1.294883370,0.996837,0.006180,-0.009258,0.078692,1
1.299912453,0.996837,0.006179,-0.009256,0.078695,1
1.304936647,0.996837,0.006177,-0.009254,0.078697,1
1.309956551,0.996836,0.006180,-0.009255,0.078698,1
1.314971447,0.996836,0.006181,-0.009257,0.078701,1
1.319981575,0.996836,0.006182,-0.009258,0.078702,1
1.324987173,0.996836,0.006185,-0.009259,0.078704,1
1.329988122,0.996836,0.006186,-0.009258,0.078706,1
1.334984183,0.996836,0.006187,-0.009259,0.078706,1
1.339975476,0.996836,0.006187,-0.009256,0.078707,1
1.344962001,0.996835,0.006187,-0.009255,0.078709,1
1.349946618,0.996835,0.006186,-0.009255,0.078709,1
1.354926586,0.996835,0.006188,-0.009255,0.078710,1
1.359901905,0.996835,0.006189,-0.009254,0.078709,1
1.364872456,0.996835,0.006188,-0.009255,0.078711,1
1.369838357,0.996835,0.006186,-0.009257,0.078710,1
1.374799371,0.996835,0.006186,-0.009256,0.078713,1
1.379842281,0.996835,0.006186,-0.009255,0.078714,1
1.384880662,0.996835,0.006187,-0.009255,0.078717,1
1.389914870,0.996835,0.006187,-0.009254,0.078718,1
1.394944310,0.996835,0.006185,-0.009255,0.078718,1
1.399968743,0.996835,0.006186,-0.009256,0.078721,1
1.404988885,0.996834,0.006187,-0.009258,0.078722,1
1.410004258,0.996834,0.006187,-0.009259,0.078725,1
1.415014625,0.996834,0.006185,-0.009256,0.078727,1
1.420020461,0.996834,0.006185,-0.009256,0.078727,1
1.425022721,0.996834,0.006185,-0.009256,0.078728,1
