Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
1771442110241246208,0.999919,-0.009654,0.006146,0.005567,1
1771442110341245440,0.999919,-0.009653,0.006140,0.005545,1
1771442110441243136,0.999919,-0.009637,0.006133,0.005523,1
1771442110541241600,0.999920,-0.009629,0.006130,0.005499,1
1771442110641237248,0.999920,-0.009620,0.006121,0.005486,1
1771442110741233408,0.999920,-0.009605,0.006114,0.005472,1
1771442110841229824,0.999920,-0.009605,0.006116,0.005447,1
1771442110941225728,0.999921,-0.009595,0.006117,0.005428,1
1771442111041222400,0.999921,-0.009582,0.006116,0.005397,1
1771442111141218048,0.999921,-0.009568,0.006114,0.005383,1
1771442111241213184,0.999921,-0.009565,0.006113,0.005363,1
1771442111341209088,0.999921,-0.009560,0.006112,0.005343,1
1771442111441203968,0.999922,-0.009557,0.006104,0.005327,1
1771442111541200896,0.999922,-0.009552,0.006096,0.005309,1
1771442111641202944,0.999922,-0.009547,0.006091,0.005293,1
1771442111741203968,0.999922,-0.009539,0.006095,0.005284,1
1771442111841205248,0.999922,-0.009530,0.006083,0.005259,1
1771442111941206016,0.999923,-0.009512,0.006077,0.005243,1
1771442112041205760,0.999923,-0.009498,0.006068,0.005223,1
1771442112141207040,0.999923,-0.009488,0.006065,0.005210,1
1771442112241206016,0.999923,-0.009487,0.006055,0.005195,1
1771442112341204736,0.999923,-0.009480,0.006050,0.005183,1
1771442112441204736,0.999924,-0.009469,0.006045,0.005161,1
1771442112541202688,0.999924,-0.009461,0.006048,0.005135,1
1771442112641203968,0.999924,-0.009442,0.006057,0.005120,1
1771442112741202944,0.999924,-0.009432,0.006054,0.005102,1
1771442112841200896,0.999924,-0.009431,0.006041,0.005087,1
1771442112941200384,0.999925,-0.009421,0.006035,0.005068,1
1771442113041198336,0.999925,-0.009413,0.006030,0.005050,1
1771442113141194752,0.999925,-0.009396,0.006029,0.005027,1
1771442113241192192,0.999925,-0.009387,0.006021,0.005004,1
1771442113341188608,0.999925,-0.009389,0.006022,0.004982,1
1771442113441185792,0.999926,-0.009383,0.006016,0.004961,1
1771442113541182208,0.999926,-0.009379,0.006020,0.004945,1
1771442113641181696,0.999926,-0.009366,0.006011,0.004921,1
1771442113741181440,0.999926,-0.009355,0.006016,0.004909,1
1771442113841179648,0.999926,-0.009341,0.006007,0.004893,1
1771442113941178112,0.999927,-0.009337,0.005999,0.004877,1
1771442114041177600,0.999927,-0.009335,0.005997,0.004859,1
